skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Typescript,Basic,What are TypeScript's main benefits?,Introduction,Features,Static typing,Type safety,Main benefits include static typing,"type safety, better IDE support, early error detection",and improved code maintainability.,https://www.typescriptlang.org/why-create-app,https://youtube.com/results?search_query=typescript+benefits,https://youtube.com/results?search_query=typescript+ke+fayde,https://youtube.com/results?search_query=typescript+gunagalu,https://youtube.com/results?search_query=typescript+payangal,https://youtube.com/results?search_query=typescript+upayogalu
Typescript,Basic,How do you create a simple TypeScript file?,Syntax,Files,Hello World,Create a file with `.ts` extension and write TypeScript code,e.g.,"`let message: string = Hello, TypeScript!;`",https://www.typescriptlang.org/docs/handbook/typescript-tooling-in-5-minutes.html,https://youtube.com/results?search_query=typescript+create+file,https://youtube.com/results?search_query=typescript+file+kaise+banaye,https://youtube.com/results?search_query=typescript+create+file+hege,https://youtube.com/results?search_query=typescript+create+file+epadi,https://youtube.com/results?search_query=typescript+create+file+ela
Typescript,Basic,What are the basic types in TypeScript?,Data Types,Fundamentals,Primitive types,Basic types include: `number`,`string`,"`boolean`, `null`, `undefined`, `void`, `any`, `unknown`, `never`",and object types.,https://www.typescriptlang.org/docs/handbook/2/everyday-types.html,https://youtube.com/results?search_query=typescript+basic+types,https://youtube.com/results?search_query=typescript+basic+types+kitne+hai,https://youtube.com/results?search_query=typescript+basic+types+hege,https://youtube.com/results?search_query=typescript+basic+types+epadi,https://youtube.com/results?search_query=typescript+basic+types+ela
Typescript,Basic,How do you declare an array of numbers?,Data Types,Array,Number array,Use `let numbers: number[] = [1,2,"3];` or `let numbers: Array<number> = [1, 2",3];`,https://www.typescriptlang.org/docs/handbook/2/everyday-types.html#arrays,https://youtube.com/results?search_query=typescript+number+array,https://youtube.com/results?search_query=typescript+me+number+array+kaise+declare+kare,https://youtube.com/results?search_query=typescript+number+array+hege,https://youtube.com/results?search_query=typescript+number+array+epadi,https://youtube.com/results?search_query=typescript+number+array+ela
Typescript,Basic,How do you declare an enum?,Data Types,Enum,Declaration,Use `enum Direction { Up,Down,Left,Right }`,https://www.typescriptlang.org/docs/handbook/enums.html,https://youtube.com/results?search_query=typescript+declare+enum,https://youtube.com/results?search_query=typescript+me+enum+kaise+declare+kare,https://youtube.com/results?search_query=typescript+declare+enum+hege,https://youtube.com/results?search_query=typescript+declare+enum+epadi,https://youtube.com/results?search_query=typescript+declare+enum+ela
Typescript,Basic,What is the `target` compiler option?,Configuration,Compiler,Target JavaScript version,The `target` option specifies the JavaScript version that the TypeScript code will be compiled to (e.g.,ES5,ES6,ES2020).,https://www.typescriptlang.org/tsconfig#target,https://youtube.com/results?search_query=typescript+target+option,https://youtube.com/results?search_query=typescript+me+target+option+kya+hai,https://youtube.com/results?search_query=typescript+target+option+hege,https://youtube.com/results?search_query=typescript+target+option+epadi,https://youtube.com/results?search_query=typescript+target+option+ela
Typescript,Basic,What is the `module` compiler option?,Configuration,Compiler,Module system,The `module` option specifies the module system for the generated code (e.g.,commonjs,es6,amd).,https://www.typescriptlang.org/tsconfig#module,https://youtube.com/results?search_query=typescript+module+option,https://youtube.com/results?search_query=typescript+me+module+option+kya+hai,https://youtube.com/results?search_query=typescript+module+option+hege,https://youtube.com/results?search_query=typescript+module+option+epadi,https://youtube.com/results?search_query=typescript+module+option+ela
Typescript,Basic,What is a decorator?,Decorators,Fundamentals,Meta-programming,Decorators are a special kind of declaration that can be attached to classes,methods,properties,or parameters to modify their behavior.,https://www.typescriptlang.org/docs/handbook/decorators.html,https://youtube.com/results?search_query=typescript+decorators,https://youtube.com/results?search_query=typescript+me+decorator+kya+hai,https://youtube.com/results?search_query=typescript+decorators+hege,https://youtube.com/results?search_query=typescript+decorators+epadi,https://youtube.com/results?search_query=typescript+decorators+ela



TypeScript,Basic,What is the main purpose of TypeScript?,To replace JavaScript completely,To add static types to JavaScript,To make JavaScript run faster in the browser,To remove the need for transpilation,B,TypeScript is a superset of JavaScript that adds optional static typing,What is TypeScript,https://www.typescriptlang.org/docs/handbook/typescript-tooling-in-5-minutes.html,https://youtube.com/results?search_query=what+is+typescript+beginner,https://youtube.com/results?search_query=typescript+introduction+hindi,https://youtube.com/results?search_query=typescript+introduction+kannada,https://youtube.com/results?search_query=typescript+introduction+tamil,https://youtube.com/results?search_query=typescript+introduction+telugu
TypeScript,Basic,Who created TypeScript?,Google,Microsoft,Facebook,Apple,B,TypeScript was created and is maintained by Microsoft,Who created TypeScript,https://www.typescriptlang.org/,https://youtube.com/results?search_query=who+created+typescript,https://youtube.com/results?search_query=typescript+creator+hindi,https://youtube.com/results?search_query=typescript+creator+kannada,https://youtube.com/results?search_query=typescript+creator+tamil,https://youtube.com/results?search_query=typescript+creator+telugu
TypeScript,Basic,Why was TypeScript invented?,To make large JavaScript applications easier to manage and less error-prone,To replace all existing JavaScript code,To make JavaScript run in older browsers,To remove async/await from JavaScript,A,TypeScript helps catch errors early in large codebases,Why TypeScript exists,https://www.typescriptlang.org/docs/handbook/why-typescript.html,https://youtube.com/results?search_query=why+use+typescript,https://youtube.com/results?search_query=why+typescript+hindi,https://youtube.com/results?search_query=why+typescript+kannada,https://youtube.com/results?search_query=why+typescript+tamil,https://youtube.com/results?search_query=why+typescript+telugu
TypeScript,Basic,When should you use TypeScript instead of plain JavaScript?,When building medium to large applications or teams,When writing small scripts under 100 lines,When you want faster runtime performance,When you don't want any build step,A,TypeScript shines in bigger projects and teams,When to use TypeScript,https://www.typescriptlang.org/docs/handbook/why-typescript.html,https://youtube.com/results?search_query=when+to+use+typescript,https://youtube.com/results?search_query=when+typescript+hindi,https://youtube.com/results?search_query=when+typescript+kannada,https://youtube.com/results?search_query=when+typescript+tamil,https://youtube.com/results?search_query=when+typescript+telugu
TypeScript,Basic,How do you tell TypeScript that a variable must be a string?,let name: string;,let name = string;,let name as string;,string name = let;,A,The colon syntax declares the type,Variable type annotation,https://www.typescriptlang.org/docs/handbook/2/everyday-types.html,https://youtube.com/results?search_query=typescript+type+annotation+basic,https://youtube.com/results?search_query=type+annotation+hindi,https://youtube.com/results?search_query=type+annotation+kannada,https://youtube.com/results?search_query=type+annotation+tamil,https://youtube.com/results?search_query=type+annotation+telugu
TypeScript,Basic,What happens if you write let age: number = "25";?,Type error at compile time,No error – string is converted to number,Runtime error when you use age,Error only in strict mode,A,TypeScript catches the wrong type during compilation,Type mismatch error,https://www.typescriptlang.org/docs/handbook/2/everyday-types.html,https://youtube.com/results?search_query=typescript+type+error+example,https://youtube.com/results?search_query=type+error+hindi,https://youtube.com/results?search_query=type+error+kannada,https://youtube.com/results?search_query=type+error+tamil,https://youtube.com/results?search_query=type+error+telugu
TypeScript,Basic,Which symbol is used to separate type from variable name?,colon :,equals =,arrow =>,pipe |,A,Colon (:) is used in type annotations,type colon syntax,https://www.typescriptlang.org/docs/handbook/2/everyday-types.html,https://youtube.com/results?search_query=typescript+colon+type,https://youtube.com/results?search_query=typescript+colon+hindi,https://youtube.com/results?search_query=typescript+colon+kannada,https://youtube.com/results?search_query=typescript+colon+tamil,https://youtube.com/results?search_query=typescript+colon+telugu
TypeScript,Basic,What is the most flexible type in TypeScript?,any,unknown,never,void,A,any disables type checking completely,any type,https://www.typescriptlang.org/docs/handbook/2/everyday-types.html#any,https://youtube.com/results?search_query=typescript+any+type+explained,https://youtube.com/results?search_query=typescript+any+hindi,https://youtube.com/results?search_query=typescript+any+kannada,https://youtube.com/results?search_query=typescript+any+tamil,https://youtube.com/results?search_query=typescript+any+telugu
TypeScript,Basic,Why do many TypeScript developers avoid using the any type?,It removes most of the safety that TypeScript provides,It makes code run slower,It is not allowed in modern projects,It cannot be used with interfaces,A,any turns off type checking — defeats the main purpose of TypeScript,Why avoid any,https://www.typescriptlang.org/docs/handbook/2/everyday-types.html#any,https://youtube.com/results?search_query=why+avoid+any+in+typescript,https://youtube.com/results?search_query=avoid+any+hindi,https://youtube.com/results?search_query=avoid+any+kannada,https://youtube.com/results?search_query=avoid+any+tamil,https://youtube.com/results?search_query=avoid+any+telugu
