skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Css,Advanced,Which selector has higher specificity: #id .class:hover or :where(#id) .class:hover?,#id .class:hover,:where(#id) .class:hover,Both same,:where has 0 specificity, so :where(#id) .class:hover has lower specificity (0-1-1),A,The :where() pseudo-class resets the specificity of its contents to 0, making it very useful for overriding without increasing weight.,https://developer.mozilla.org/en-US/docs/Web/CSS/:where,https://youtube.com/results?search_query=css+where+selector+specificity,https://youtube.com/results?search_query=css+where+hindi,https://youtube.com/results?search_query=css+where+kannada,https://youtube.com/results?search_query=css+where+tamil,https://youtube.com/results?search_query=css+where+telugu
Css,Advanced,What is the specificity of :is(#header, .main) a.active?,0-1-1-1 (ID + class + pseudo-class),0-0-2-1 (two classes + pseudo-class),0-1-0-1 (only ID),0-0-1-1 (only class),A,:is() takes the specificity of the most specific selector inside it → here #header gives 0-1-0-0, plus .active (0-0-1-0) and a (0-0-0-1) = 0-1-1-1.,https://developer.mozilla.org/en-US/docs/Web/CSS/:is,https://youtube.com/results?search_query=css+is+selector+specificity,https://youtube.com/results?search_query=css+is+hindi,https://youtube.com/results?search_query=css+is+kannada,https://youtube.com/results?search_query=css+is+tamil,https://youtube.com/results?search_query=css+is+telugu
Css,Advanced,Why is @layer useful when combining third-party CSS with your own styles?,It completely disables third-party specificity,It lets you define the global order of cascade layers regardless of source order,B,It has no effect on specificity,C,@layer allows you to control cascade order at a layer level — e.g. base → vendor → theme → utilities.,https://developer.mozilla.org/en-US/docs/Web/CSS/@layer,https://youtube.com/results?search_query=css+cascade+layers+advanced,https://youtube.com/results?search_query=css+layer+hindi,https://youtube.com/results?search_query=css+layer+kannada,https://youtube.com/results?search_query=css+layer+tamil,https://youtube.com/results?search_query=css+layer+telugu
Css,Advanced,What happens when you declare a custom property inside @layer base and then override it in @layer utilities?,The utilities layer always wins because it is declared later,The base layer wins because it has lower specificity,The last declaration in source order wins regardless of layer,It throws a syntax error,B,Layers are ordered explicitly with @layer declaration order or @layer statement — later layers override earlier ones.,https://developer.mozilla.org/en-US/docs/Web/CSS/@layer,https://youtube.com/results?search_query=css+layer+override,https://youtube.com/results?search_query=css+layer+override+hindi,https://youtube.com/results?search_query=css+layer+override+kannada,https://youtube.com/results?search_query=css+layer+override+tamil,https://youtube.com/results?search_query=css+layer+override+telugu
Css,Advanced,Which is the correct way to define a custom property that supports type checking in modern browsers?,@property --main-color { syntax: "<color>"; inherits: true; initial-value: transparent; },@custom --main-color { type: color; inherit: true; default: transparent; },@define --main-color color inherit true initial transparent;,--main-color: color inherit true initial transparent;,A,@property (Houdini) allows typed custom properties with syntax, inheritance, and initial value control.,https://developer.mozilla.org/en-US/docs/Web/CSS/@property,https://youtube.com/results?search_query=css+property+houdini,https://youtube.com/results?search_query=css+property+hindi,https://youtube.com/results?search_query=css+property+kannada,https://youtube.com/results?search_query=css+property+tamil,https://youtube.com/results?search_query=css+property+telugu
Css,Advanced,What is the main benefit of using container queries instead of media queries for component styling?,They respond to viewport size,They respond to the size of the parent container,B,They are slower than media queries,C,Container queries make components truly reusable regardless of where they are placed in the layout.,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_container_queries,https://youtube.com/results?search_query=css+container+queries+vs+media+queries,https://youtube.com/results?search_query=css+container+queries+hindi,https://youtube.com/results?search_query=css+container+queries+kannada,https://youtube.com/results?search_query=css+container+queries+tamil,https://youtube.com/results?search_query=css+container+queries+telugu
Css,Advanced,Which container query unit is relative to the container’s inline size?,cqw,cqi,cqh,cqb,B,cqi = 1% of container’s inline size (width in horizontal writing mode).,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_container_queries/Container_query_length_units,https://youtube.com/results?search_query=css+container+query+units+cqi,https://youtube.com/results?search_query=css+cqi+hindi,https://youtube.com/results?search_query=css+cqi+kannada,https://youtube.com/results?search_query=css+cqi+tamil,https://youtube.com/results?search_query=css+cqi+telugu
Css,Advanced,How do you apply different styles when a container is narrower than 400px?,@container (width < 400px) { … },@media (max-width: 400px) { … },@container (max-width: 400px) { … },@container-size (width < 400px) { … },A,Container queries use (width < 400px) or (inline-size < 400px).,https://developer.mozilla.org/en-US/docs/Web/CSS/@container,https://youtube.com/results?search_query=css+container+query+syntax,https://youtube.com/results?search_query=css+container+syntax+hindi,https://youtube.com/results?search_query=css+container+syntax+kannada,https://youtube.com/results?search_query=css+container+syntax+tamil,https://youtube.com/results?search_query=css+container+syntax+telugu
Css,Advanced,What does subgrid do in CSS Grid?,It lets a grid item inherit the parent grid’s tracks,It creates a nested grid with its own tracks,It merges adjacent grid cells,It automatically fills empty grid cells,A,subgrid allows child grid to use the parent’s row/column tracks — perfect for aligned layouts.,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_grid_layout/Subgrid,https://youtube.com/results?search_query=css+grid+subgrid,https://youtube.com/results?search_query=css+subgrid+hindi,https://youtube.com/results?search_query=css+subgrid+kannada,https://youtube.com/results?search_query=css+subgrid+tamil,https://youtube.com/results?search_query=css+subgrid+telugu
Css,Advanced,Which value of grid-auto-flow fills columns before rows?,row,column,dense,sparse,B,grid-auto-flow: column; places items column-by-column instead of row-by-row.,https://developer.mozilla.org/en-US/docs/Web/CSS/grid-auto-flow,https://youtube.com/results?search_query=css+grid-auto-flow+column,https://youtube.com/results?search_query=css+grid+auto+flow+hindi,https://youtube.com/results?search_query=css+grid+auto+flow+kannada,https://youtube.com/results?search_query=css+grid+auto+flow+tamil,https://youtube.com/results?search_query=css+grid+auto+flow+telugu
