skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
SQL,Advanced,What is a Recursive CTE and when would you use it? Provide an example.,Recursive CTEs,Hierarchical Data,Recursive CTE references itself to process hierarchical data like org charts, bill of materials. Example: WITH RECURSIVE org_tree AS (SELECT id, name," manager_id FROM employees WHERE manager_id IS NULL UNION ALL SELECT e.id, e.name", e.manager_id FROM employees e INNER JOIN org_tree o ON e.manager_id = o.id) SELECT * FROM org_tree;,https://www.postgresql.org/docs/current/queries-with.html,https://youtube.com/results?search_query=sql+recursive+cte,https://youtube.com/results?search_query=sql+recursive+cte+hindi,https://youtube.com/results?search_query=sql+recursive+cte+kannada,https://youtube.com/results?search_query=sql+recursive+cte+tamil,https://youtube.com/results?search_query=sql+recursive+cte+telugu
SQL,Advanced,What are Indexes and how do they improve query performance? Explain different types of indexes.,Indexing,Performance,Indexes are data structures that speed up data retrieval. Types: B-tree (default), Hash (equality), GiST, GIN, BRIN for specific data types. Improves SELECT but may slow down INSERT/UPDATE/DELETE.,https://www.postgresql.org/docs/current/indexes.html,https://youtube.com/results?search_query=sql+indexes+explained,https://youtube.com/results?search_query=sql+indexes+hindi,https://youtube.com/results?search_query=sql+indexes+kannada,https://youtube.com/results?search_query=sql+indexes+tamil,https://youtube.com/results?search_query=sql+indexes+telugu
SQL,Advanced,Explain EXPLAIN ANALYZE and how to interpret its output for query optimization.,Query Planning,Performance,EXPLAIN ANALYZE shows query execution plan with actual runtime statistics. Key metrics: cost, rows, loops," actual time. Look for: sequential scans (bad), index scans (good), high cost operations", missing indexes.,https://www.postgresql.org/docs/current/using-explain.html,https://youtube.com/results?search_query=sql+explain+analyze,https://youtube.com/results?search_query=sql+explain+hindi,https://youtube.com/results?search_query=sql+explain+kannada,https://youtube.com/results?search_query=sql+explain+tamil,https://youtube.com/results?search_query=sql+explain+telugu
SQL,Advanced,What is Database Normalization? Explain 1NF, 2NF, and 3NF with examples.,Normalization,Database Design,Normalization eliminates data redundancy. 1NF: atomic values," no repeating groups. 2NF: meets 1NF, no partial dependency on composite key. 3NF: meets 2NF", no transitive dependency (non-key columns independent).,https://www.guru99.com/database-normalization.html,https://youtube.com/results?search_query=sql+normalization,https://youtube.com/results?search_query=sql+normalization+hindi,https://youtube.com/results?search_query=sql+normalization+kannada,https://youtube.com/results?search_query=sql+normalization+tamil,https://youtube.com/results?search_query=sql+normalization+telugu
SQL,Advanced,Explain different Transaction Isolation Levels and their trade-offs.,Transactions,Concurrency,Levels: Read Uncommitted (dirty reads), Read Committed (default, no dirty reads)," Repeatable Read (consistent snapshot), Serializable (strictest, prevents anomalies). Higher isolation = more locking", lower concurrency.,https://www.postgresql.org/docs/current/transaction-iso.html,https://youtube.com/results?search_query=sql+transaction+isolation+levels,https://youtube.com/results?search_query=sql+transaction+hindi,https://youtube.com/results?search_query=sql+transaction+kannada,https://youtube.com/results?search_query=sql+transaction+tamil,https://youtube.com/results?search_query=sql+transaction+telugu
SQL,Advanced,Explain the difference between TRUNCATE, DELETE, and DROP.,DDL,DML,TRUNCATE removes all rows quickly," can't rollback, resets identity. DELETE removes rows with WHERE clause, can rollback", slower. DROP removes entire table structure.,https://www.w3schools.com/sql/sql_delete.asp,https://youtube.com/results?search_query=sql+truncate+vs+delete+vs+drop,https://youtube.com/results?search_query=sql+delete+truncate+hindi,https://youtube.com/results?search_query=sql+delete+truncate+kannada,https://youtube.com/results?search_query=sql+delete+truncate+tamil,https://youtube.com/results?search_query=sql+delete+truncate+telugu
SQL,Advanced,What are Stored Procedures and Functions? Explain differences and use cases.,Programming,Reusability,Stored Procedures perform actions, can have multiple output parameters, can't be used in SELECT. Functions return a value, can be used in SELECT, should have no side effects. Both encapsulate logic in database.,https://www.postgresql.org/docs/current/xfunc.html,https://youtube.com/results?search_query=sql+stored+procedures+functions,https://youtube.com/results?search_query=sql+stored+procedures+hindi,https://youtube.com/results?search_query=sql+stored+procedures+kannada,https://youtube.com/results?search_query=sql+stored+procedures+tamil,https://youtube.com/results?search_query=sql+stored+procedures+telugu
SQL,Advanced,What are Triggers and when should they be used?,Automation,Integrity,Triggers automatically execute code when DML events occur (INSERT, UPDATE, DELETE). Use for audit trails, data validation, maintaining derived columns. Can cause performance issues if overused.,https://www.postgresql.org/docs/current/triggers.html,https://youtube.com/results?search_query=sql+triggers+explained,https://youtube.com/results?search_query=sql+triggers+hindi,https://youtube.com/results?search_query=sql+triggers+kannada,https://youtube.com/results?search_query=sql+triggers+tamil,https://youtube.com/results?search_query=sql+triggers+telugu
SQL,Advanced,Explain the difference between CHAR, VARCHAR, and TEXT data types.,Data Types,Storage,CHAR fixed length," padded with spaces. VARCHAR variable length up to limit. TEXT unlimited length. CHAR for fixed-length codes, VARCHAR for variable strings", TEXT for large content.,https://www.postgresql.org/docs/current/datatype-character.html,https://youtube.com/results?search_query=sql+char+varchar+text,https://youtube.com/results?search_query=sql+data+types+hindi,https://youtube.com/results?search_query=sql+data+types+kannada,https://youtube.com/results?search_query=sql+data+types+tamil,https://youtube.com/results?search_query=sql+data+types+telugu
SQL,Advanced,What is the difference between FLOAT, DOUBLE, and DECIMAL/NUMERIC data types?,Data Types,Precision,FLOAT/Double approximate floating-point," fast but rounding errors. DECIMAL/NUMERIC exact precision, slower but accurate for money. Use DECIMAL for financial data", FLOAT for scientific.,https://www.postgresql.org/docs/current/datatype-numeric.html,https://youtube.com/results?search_query=sql+float+decimal+difference,https://youtube.com/results?search_query=sql+numeric+types+hindi,https://youtube.com/results?search_query=sql+numeric+types+kannada,https://youtube.com/results?search_query=sql+numeric+types+tamil,https://youtube.com/results?search_query=sql+numeric+types+telugu
