skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Topic,Difficulty,Question,Tag1,Tag2,Tag3,Tag4,Correct Option,Explanation,Category,Doc URL,Video Search EN,Video Search HI,Video Search KN,Video Search TA,Video Search TE
Linux,Advanced,What is the difference between cgroups v1 and v2 in Linux kernel resource management?,Kernel,cgroups,Resource Management,Containers,A,"cgroups v2 has unified hierarchy, enhanced delegation, pressure stall information; v1 has multiple independent hierarchies with limited delegation.",Resource Management,https://www.kernel.org/doc/html/latest/admin-guide/cgroup-v2.html,https://youtube.com/results?search_query=linux+cgroups+v1+vs+v2,https://youtube.com/results?search_query=linux+cgroups+v1+vs+v2+hindi,https://youtube.com/results?search_query=linux+cgroups+v1+vs+v2+kannada,https://youtube.com/results?search_query=linux+cgroups+v1+vs+v2+tamil,https://youtube.com/results?search_query=linux+cgroups+v1+vs+v2+telugu
Linux,Advanced,How does Linux namespaces provide process isolation for containers?,Kernel,Namespaces,Containers,Isolation,A,"Namespaces isolate global system resources (PID, network, mount, IPC, UTS, user, cgroup, time) allowing processes to have different views of the system.",Containers,https://man7.org/linux/man-pages/man7/namespaces.7.html,https://youtube.com/results?search_query=linux+namespaces+container+isolation,https://youtube.com/results?search_query=linux+namespaces+container+isolation+hindi,https://youtube.com/results?search_query=linux+namespaces+container+isolation+kannada,https://youtube.com/results?search_query=linux+namespaces+container+isolation+tamil,https://youtube.com/results?search_query=linux+namespaces+container+isolation+telugu
Linux,Advanced,What is the purpose of eBPF (Extended Berkeley Packet Filter) in the Linux kernel?,Kernel,eBPF,Tracing,Networking,A,"eBPF allows running sandboxed programs in kernel without modifying kernel source, enabling advanced networking, tracing, and security monitoring.",Kernel Extensions,https://ebpf.io/what-is-ebpf/,https://youtube.com/results?search_query=linux+ebpf+kernel+tracing,https://youtube.com/results?search_query=linux+ebpf+kernel+tracing+hindi,https://youtube.com/results?search_query=linux+ebpf+kernel+tracing+kannada,https://youtube.com/results?search_query=linux+ebpf+kernel+tracing+tamil,https://youtube.com/results?search_query=linux+ebpf+kernel+tracing+telugu
Linux,Advanced,How does the Linux kernel's OOM (Out Of Memory) killer select processes to terminate?,Kernel,OOM Killer,Memory Management,Process Termination,A,"OOM killer calculates badness score based on memory usage, CPU time, niceness, and user privileges, selecting highest-scoring process to kill.",Memory Management,https://www.kernel.org/doc/gorman/html/understand/understand016.html,https://youtube.com/results?search_query=linux+oom+killer+selection,https://youtube.com/results?search_query=linux+oom+killer+selection+hindi,https://youtube.com/results?search_query=linux+oom+killer+selection+kannada,https://youtube.com/results?search_query=linux+oom+killer+selection+tamil,https://youtube.com/results?search_query=linux+oom+killer+selection+telugu
Linux,Advanced,What is the difference between swapiness and vfs_cache_pressure in Linux memory management?,Kernel,Swappiness,vfs_cache_pressure,Memory,A,Swappiness (0-100) controls tendency to swap out anonymous memory; vfs_cache_pressure controls tendency to reclaim dentry/inode caches.,Memory Management,https://www.kernel.org/doc/html/latest/admin-guide/sysctl/vm.html,https://youtube.com/results?search_query=linux+swappiness+vs+vfs_cache_pressure,https://youtube.com/results?search_query=linux+swappiness+vs+vfs_cache_pressure+hindi,https://youtube.com/results?search_query=linux+swappiness+vs+vfs_cache_pressure+kannada,https://youtube.com/results?search_query=linux+swappiness+vs+vfs_cache_pressure+tamil,https://youtube.com/results?search_query=linux+swappiness+vs+vfs_cache_pressure+telugu
Linux,Advanced,How does Linux's transparent huge pages (THP) improve memory performance?,Kernel,THP,Memory Performance,Huge Pages,A,THP automatically promotes regular pages to huge pages (2MB/1GB) reducing TLB misses and page walk overhead for large memory allocations.,Memory Management,https://www.kernel.org/doc/html/latest/admin-guide/mm/transhuge.html,https://youtube.com/results?search_query=linux+transparent+huge+pages+performance,https://youtube.com/results?search_query=linux+transparent+huge+pages+performance+hindi,https://youtube.com/results?search_query=linux+transparent+huge+pages+performance+kannada,https://youtube.com/results?search_query=linux+transparent+huge+pages+performance+tamil,https://youtube.com/results?search_query=linux+transparent+huge+pages+performance+telugu
Linux,Advanced,What is the purpose of the Linux kernel's SLUB allocator and how does it differ from SLAB?,Kernel,SLUB Allocator,Memory Allocation,SLAB,A,"SLUB (Unqueued Allocator) is simpler, more scalable successor to SLAB with better debugging, reduced fragmentation, and per-CPU partial lists.",Memory Management,https://www.kernel.org/doc/html/latest/vm/slub.html,https://youtube.com/results?search_query=linux+slub+vs+slab+allocator,https://youtube.com/results?search_query=linux+slub+vs+slab+allocator+hindi,https://youtube.com/results?search_query=linux+slub+vs+slab+allocator+kannada,https://youtube.com/results?search_query=linux+slub+vs+slab+allocator+tamil,https://youtube.com/results?search_query=linux+slub+vs+slab+allocator+telugu
Linux,Advanced,How does the Linux kernel's Completely Fair Scheduler (CFS) implement fairness?,Kernel,CFS,Scheduler,Fairness,A,"CFS uses virtual runtime (vruntime) tracking, red-black tree for O(log n) scheduling, and aims to provide fair CPU time based on process weight.",Process Scheduling,https://www.kernel.org/doc/html/latest/scheduler/sched-design-CFS.html,https://youtube.com/results?search_query=linux+cfs+scheduler+fairness,https://youtube.com/results?search_query=linux+cfs+scheduler+fairness+hindi,https://youtube.com/results?search_query=linux+cfs+scheduler+fairness+kannada,https://youtube.com/results?search_query=linux+cfs+scheduler+fairness+tamil,https://youtube.com/results?search_query=linux+cfs+scheduler+fairness+telugu
Linux,Advanced,What is the difference between real-time scheduling policies SCHED_FIFO and SCHED_RR?,Kernel,Real-time Scheduling,SCHED_FIFO,SCHED_RR,A,SCHED_FIFO runs until voluntary yield or preemption by higher priority; SCHED_RR uses time quantum for round-robin within same priority.,Process Scheduling,https://man7.org/linux/man-pages/man7/sched.7.html,https://youtube.com/results?search_query=linux+sched_fifo+vs+sched_rr,https://youtube.com/results?search_query=linux+sched_fifo+vs+sched_rr+hindi,https://youtube.com/results?search_query=linux+sched_fifo+vs+sched_rr+kannada,https://youtube.com/results?search_query=linux+sched_fifo+vs+sched_rr+tamil,https://youtube.com/results?search_query=linux+sched_fifo+vs+sched_rr+telugu
