skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Selenium,Basic,What are the main components of Selenium?,Architecture,Components,Selenium IDE,WebDriver,Grid,"Selenium consists of: 1) Selenium IDE (record and playback), 2) Selenium WebDriver (API for browser control)", 3) Selenium Grid (parallel testing on multiple machines).,https://www.selenium.dev/documentation/,https://youtube.com/results?search_query=selenium+components,https://youtube.com/results?search_query=selenium+components+hindi,https://youtube.com/results?search_query=selenium+components+kannada,https://youtube.com/results?search_query=selenium+components+tamil,https://youtube.com/results?search_query=selenium+components+telugu
Selenium,Basic,Which programming languages does Selenium support?,Setup,Languages,Java,Python,C#,"JavaScript,Ruby,Selenium supports multiple programming languages including Java, Python, C#, JavaScript (Node.js), Ruby", and Kotlin.,https://www.selenium.dev/documentation/webdriver/getting_started/,https://youtube.com/results?search_query=selenium+supported+languages,https://youtube.com/results?search_query=selenium+supported+languages+hindi,https://youtube.com/results?search_query=selenium+supported+languages+kannada,https://youtube.com/results?search_query=selenium+supported+languages+tamil,https://youtube.com/results?search_query=selenium+supported+languages+telugu
Selenium,Basic,What is a WebDriver 'driver'?,Core Concepts,WebDriver,Object,Instance,The WebDriver 'driver' is an object that represents the browser instance. You use its methods to interact with the browser (e.g.," get(), findElement()", quit()).,https://www.selenium.dev/documentation/webdriver/browsers/,https://youtube.com/results?search_query=webdriver+driver+object,https://youtube.com/results?search_query=webdriver+driver+object+hindi,https://youtube.com/results?search_query=webdriver+driver+object+kannada,https://youtube.com/results?search_query=webdriver+driver+object+tamil,https://youtube.com/results?search_query=webdriver+driver+object+telugu
Selenium,Basic,Name common locator strategies in Selenium.,Locators,Strategies,ID,Name,XPath,"CSS,Common locators are: By.id(), By.name(), By.className(), By.tagName(), By.linkText(), By.partialLinkText(), By.xpath()", By.cssSelector().,https://www.selenium.dev/documentation/webdriver/elements/locators/,https://youtube.com/results?search_query=selenium+locators,https://youtube.com/results?search_query=selenium+locators+hindi,https://youtube.com/results?search_query=selenium+locators+kannada,https://youtube.com/results?search_query=selenium+locators+tamil,https://youtube.com/results?search_query=selenium+locators+telugu
Selenium,Basic,How do you get the value of an attribute (e.g., href, class)?,Basic Commands,Get Information,Attribute,Value,Use the `getAttribute("attributeName")` method on a WebElement: `String link = driver.findElement(By.id("link")).getAttribute("href");`,https://www.selenium.dev/documentation/webdriver/elements/information/,https://youtube.com/results?search_query=getattribute+selenium,https://youtube.com/results?search_query=getattribute+selenium+hindi,https://youtube.com/results?search_query=getattribute+selenium+kannada,https://youtube.com/results?search_query=getattribute+selenium+tamil,https://youtube.com/results?search_query=getattribute+selenium+telugu
Selenium,Basic,What is CSS Selector?,Locators,CSS Selector,Style,Cascade,CSS Selector is a pattern used to select HTML elements based on their id," class, type, attribute", etc. It's often faster than XPath and recommended for locating elements.,https://www.selenium.dev/documentation/webdriver/elements/locators/#css-selectors,https://youtube.com/results?search_query=css+selector+selenium,https://youtube.com/results?search_query=css+selector+selenium+hindi,https://youtube.com/results?search_query=css+selector+selenium+kannada,https://youtube.com/results?search_query=css+selector+selenium+tamil,https://youtube.com/results?search_query=css+selector+selenium+telugu
Selenium,Basic,What is the difference between absolute and relative XPath?,Locators,XPath,Absolute,Relative,Dynamic,"Absolute XPath starts from the root HTML node (e.g., /html/body/div[1]/...). It is brittle. Relative XPath starts from anywhere in the document (e.g.", //div[@id='content']). It is more reliable and recommended.,https://www.selenium.dev/documentation/webdriver/elements/locators/#relative-locators,https://youtube.com/results?search_query=absolute+vs+relative+xpath,https://youtube.com/results?search_query=absolute+vs+relative+xpath+hindi,https://youtube.com/results?search_query=absolute+vs+relative+xpath+kannada,https://youtube.com/results?search_query=absolute+vs+relative+xpath+tamil,https://youtube.com/results?search_query=absolute+vs+relative+xpath+telugu
Selenium,Basic,What is the purpose of the `WebDriverManager` library?,Setup,WebDriverManager,Driver Management,Auto-download,`WebDriverManager` (a third-party library) automates the management of driver executables (e.g., chromedriver). It downloads the correct version and sets the path, eliminating manual setup.,https://github.com/bonigarcia/webdrivermanager,https://youtube.com/results?search_query=webdrivermanager,https://youtube.com/results?search_query=webdrivermanager+hindi,https://youtube.com/results?search_query=webdrivermanager+kannada,https://youtube.com/results?search_query=webdrivermanager+tamil,https://youtube.com/results?search_query=webdrivermanager+telugu
Selenium,Basic,How do you set browser window size?,Basic Commands,Window,Manage,Set Size,Resolution,Use `driver.manage().window().setSize(new Dimension(1024, 768));` (Java).,https://www.selenium.dev/documentation/webdriver/browser/windows/,https://youtube.com/results?search_query=set+window+size+selenium,https://youtube.com/results?search_query=set+window+size+selenium+hindi,https://youtube.com/results?search_query=set+window+size+selenium+kannada,https://youtube.com/results?search_query=set+window+size+selenium+tamil,https://youtube.com/results?search_query=set+window+size+selenium+telugu
Selenium,Basic,What is the difference between `type` and `sendKeys` in Selenium IDE?,Selenium IDE,Record,Type,SendKeys,In Selenium IDE (the older IDE)," `type` is used to set the value of an input field, replacing any existing content. `sendKeys` simulates typing keys into an element. In WebDriver", only `sendKeys()` exists.,https://www.selenium.dev/selenium-ide/docs/en/introduction/getting-started,https://youtube.com/results?search_query=selenium+ide+type+vs+sendkeys,https://youtube.com/results?search_query=selenium+ide+type+vs+sendkeys+hindi,https://youtube.com/results?search_query=selenium+ide+type+vs+sendkeys+kannada,https://youtube.com/results?search_query=selenium+ide+type+vs+sendkeys+tamil,https://youtube.com/results?search_query=selenium+ide+type+vs+sendkeys+telugu
Selenium,Basic,What is the purpose of the `By` class?,Locators,By,Class,Selector,The `By` class is used to specify the locator strategy (e.g., By.id, By.name) to find elements. It provides mechanisms to locate elements on a page.,https://www.selenium.dev/documentation/webdriver/elements/locators/,https://youtube.com/results?search_query=by+class+selenium,https://youtube.com/results?search_query=by+class+selenium+hindi,https://youtube.com/results?search_query=by+class+selenium+kannada,https://youtube.com/results?search_query=by+class+selenium+tamil,https://youtube.com/results?search_query=by+class+selenium+telugu
Selenium,Basic,How do you simulate pressing keyboard keys (e.g., ENTER, TAB)?,Advanced Interactions,Keys,Keyboard,"Enter,Tab",Use the `Keys` enum: `driver.findElement(By.id("field")).sendKeys(Keys.ENTER);` or `sendKeys(Keys.TAB);`,https://www.selenium.dev/documentation/webdriver/actions_api/keyboard/,https://youtube.com/results?search_query=sendkeys+enter+selenium,https://youtube.com/results?search_query=sendkeys+enter+selenium+hindi,https://youtube.com/results?search_query=sendkeys+enter+selenium+kannada,https://youtube.com/results?search_query=sendkeys+enter+selenium+tamil,https://youtube.com/results?search_query=sendkeys+enter+selenium+telugu
Selenium,Basic,What is an explicit wait?,Synchronization,Wait,Explicit,WebDriverWait,FluentWait,"An explicit wait is code you define to wait for a certain condition (e.g., element visible) before proceeding. It is more flexible than implicit wait. Example: `WebDriverWait wait = new WebDriverWait(driver", Duration.ofSeconds(10)); wait.until(ExpectedConditions.visibilityOfElementLocated(By.id("foo")));`,https://www.selenium.dev/documentation/webdriver/waits/#explicit-wait,https://youtube.com/results?search_query=explicit+wait+selenium,https://youtube.com/results?search_query=explicit+wait+selenium+hindi,https://youtube.com/results?search_query=explicit+wait+selenium+kannada,https://youtube.com/results?search_query=explicit+wait+selenium+tamil,https://youtube.com/results?search_query=explicit+wait+selenium+telugu
