skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Redis,Advanced,How does Redis handle memory fragmentation and what strategies minimize it?,Performance,Memory Management,Memory fragmentation, compaction, Jemalloc,"Redis uses the Jemalloc memory allocator which helps reduce fragmentation. Strategies include: using 32-bit Redis for small datasets, setting appropriate maxmemory, using memory-purge policies", and monitoring mem_fragmentation_ratio.,https://redis.io/topics/memory-optimization,https://youtube.com/results?search_query=redis+memory+fragmentation,https://youtube.com/results?search_query=redis+memory+fragmentation+hindi,https://youtube.com/results?search_query=redis+memory+fragmentation+kannada,https://youtube.com/results?search_query=redis+memory+fragmentation+tamil,https://youtube.com/results?search_query=redis+memory+fragmentation+telugu
Redis,Advanced,Explain Redis Streams implementation and how it differs from Kafka,Data Structures,Messaging,Streams, consumer groups, message persistence,"Redis Streams is a log-like data structure with unique IDs, consumer groups, and acknowledgment mechanisms. Unlike Kafka, it's in-memory first, has simpler deployment, supports at-most-once and at-least-once delivery", but lacks Kafka's partitioning and replication out-of-the-box.,https://redis.io/topics/streams-intro,https://youtube.com/results?search_query=redis+streams+vs+kafka,https://youtube.com/results?search_query=redis+streams+vs+kafka+hindi,https://youtube.com/results?search_query=redis+streams+vs+kafka+kannada,https://youtube.com/results?search_query=redis+streams+vs+kafka+tamil,https://youtube.com/results?search_query=redis+streams+vs+kafka+telugu
Redis,Advanced,What is Redis Module API and how can you extend Redis functionality?,Architecture,Extensibility,Modules, Redis Module API, C extensions,"The Redis Module API allows writing C extensions to add new data types, commands, and capabilities. Examples include RedisJSON, RediSearch", RedisGraph. Modules are loaded via MODULE LOAD and can implement custom memory management.,https://redis.io/topics/modules-intro,https://youtube.com/results?search_query=redis+modules+api,https://youtube.com/results?search_query=redis+modules+api+hindi,https://youtube.com/results?search_query=redis+modules+api+kannada,https://youtube.com/results?search_query=redis+modules+api+tamil,https://youtube.com/results?search_query=redis+modules+api+telugu
Redis,Advanced,How does Redis Cluster handle data partitioning and resharding?,Architecture,Clustering,Hash slots, resharding, migration, gossip protocol,Redis Cluster uses 16384 hash slots partitioned across nodes. Keys are mapped to slots using CRC16. Resharding involves moving slots between nodes while maintaining availability using the redis-trib tool. The cluster uses gossip for node discovery.,https://redis.io/topics/cluster-tutorial,https://youtube.com/results?search_query=redis+cluster+resharding,https://youtube.com/results?search_query=redis+cluster+resharding+hindi,https://youtube.com/results?search_query=redis+cluster+resharding+kannada,https://youtube.com/results?search_query=redis+cluster+resharding+tamil,https://youtube.com/results?search_query=redis+cluster+resharding+telugu
Redis,Advanced,Explain Redis RDB and AOF persistence trade-offs in high-write scenarios,Persistence,Data Durability,RDB snapshots, AOF logging, fsync policies,"RDB provides point-in-time snapshots with better performance but risk of data loss. AOF logs every write with configurable fsync (every second, always, none). In high-write scenarios", RDB causes fork overhead while AOF can become large. Hybrid approach (AOF with RDB) is often used.,https://redis.io/topics/persistence,https://youtube.com/results?search_query=redis+rdb+vs+aof,https://youtube.com/results?search_query=redis+rdb+vs+aof+hindi,https://youtube.com/results?search_query=redis+rdb+vs+aof+kannada,https://youtube.com/results?search_query=redis+rdb+vs+aof+tamil,https://youtube.com/results?search_query=redis+rdb+vs+aof+telugu
Redis,Advanced,What are Redis Lua script atomicity guarantees and limitations?,Scripting,Transactions,Atomicity, Lua scripts, EVAL," SHA-1,Lua scripts in Redis are atomic - they execute without interruption. However, they block the server during execution, can't yield", and have limitations like no access to external systems. Use SCRIPT KILL for long-running scripts.,https://redis.io/commands/eval,https://youtube.com/results?search_query=redis+lua+scripts,https://youtube.com/results?search_query=redis+lua+scripts+hindi,https://youtube.com/results?search_query=redis+lua+scripts+kannada,https://youtube.com/results?search_query=redis+lua+scripts+tamil,https://youtube.com/results?search_query=redis+lua+scripts+telugu
Redis,Advanced,How does Redis implement lazy expiration and active expiry?,Performance,Memory Management,Expiration, lazy deletion, active deletion," Redis 4.0+,Redis uses both active (periodic) and lazy expiration. Active: Randomly samples keys with expires", deletes expired ones. Lazy: Checks expiry on key access. Redis 4.0+ added lazy freeing for UNLINK and memory reclaim during idle.,https://redis.io/commands/expire,https://youtube.com/results?search_query=redis+key+expiration,https://youtube.com/results?search_query=redis+key+expiration+hindi,https://youtube.com/results?search_query=redis+key+expiration+kannada,https://youtube.com/results?search_query=redis+key+expiration+tamil,https://youtube.com/results?search_query=redis+key+expiration+telugu
Redis,Advanced,Explain Redis Sentinel architecture for high availability,Architecture,High Availability,Sentinel, quorum, failover, monitoring,Redis Sentinel provides automatic failover. It's a distributed system where multiple Sentinel instances monitor masters and replicas. They use gossip protocol and vote for failover when master is down. Minimum 3 Sentinels recommended.,https://redis.io/topics/sentinel,https://youtube.com/results?search_query=redis+sentinel,https://youtube.com/results?search_query=redis+sentinel+hindi,https://youtube.com/results?search_query=redis+sentinel+kannada,https://youtube.com/results?search_query=redis+sentinel+tamil,https://youtube.com/results?search_query=redis+sentinel+telugu
Redis,Advanced,What is Redis RESP protocol and how does it enable client diversity?,Architecture,Protocols,RESP, serialization, client-server communication,"RESP (REdis Serialization Protocol) is a simple text-based protocol supporting strings, errors, integers, arrays, and bulk strings. It's human-readable, enables diverse client implementations", and supports pipelining and Pub/Sub.,https://redis.io/topics/protocol,https://youtube.com/results?search_query=redis+resp+protocol,https://youtube.com/results?search_query=redis+resp+protocol+hindi,https://youtube.com/results?search_query=redis+resp+protocol+kannada,https://youtube.com/results?search_query=redis+resp+protocol+tamil,https://youtube.com/results?search_query=redis+resp+protocol+telugu
Redis,Advanced,Explain Redis memory optimization techniques for different data types,Performance,Memory Management,Encoding, ziplist, intset, memory-efficient structures,Redis optimizes memory via encoding: Strings as int/embstr/raw; Lists as ziplist/quicklist; Hashes/Sets/Sorted Sets as ziplist/intset. Config thresholds control encodings. Use SCAN with TYPE for memory profiling.,https://redis.io/topics/memory-optimization,https://youtube.com/results?search_query=redis+memory+optimization,https://youtube.com/results?search_query=redis+memory+optimization+hindi,https://youtube.com/results?search_query=redis+memory+optimization+kannada,https://youtube.com/results?search_query=redis+memory+optimization+tamil,https://youtube.com/results?search_query=redis+memory+optimization+telugu
