skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
AWS,Basic,What does AWS stand for?,Amazon Web Services,Amazon Website Service,Amazon Web Servers,Amazon World Services,A,AWS stands for Amazon Web Services.,Introduction,https://docs.aws.amazon.com/whitepapers/latest/aws-overview/what-is-aws.html,https://youtube.com/results?search_query=aws+introduction+basics,https://youtube.com/results?search_query=aws+basics+hindi,https://youtube.com/results?search_query=aws+basics+kannada,https://youtube.com/results?search_query=aws+basics+tamil,https://youtube.com/results?search_query=aws+basics+telugu
AWS,Basic,Which service provides virtual servers in AWS?,EC2,S3,RDS,Lambda,A,EC2 provides resizable virtual servers.,Compute,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/concepts.html,https://youtube.com/results?search_query=aws+ec2+basics,https://youtube.com/results?search_query=aws+ec2+hindi,https://youtube.com/results?search_query=aws+ec2+kannada,https://youtube.com/results?search_query=aws+ec2+tamil,https://youtube.com/results?search_query=aws+ec2+telugu
AWS,Basic,What is Amazon S3?,Object storage service,Database service,Compute service,Networking service,A,S3 is object storage for storing and retrieving any amount of data.,Storage,https://docs.aws.amazon.com/AmazonS3/latest/userguide/Welcome.html,https://youtube.com/results?search_query=aws+s3+basics,https://youtube.com/results?search_query=aws+s3+hindi,https://youtube.com/results?search_query=aws+s3+kannada,https://youtube.com/results?search_query=aws+s3+tamil,https://youtube.com/results?search_query=aws+s3+telugu
AWS,Basic,What is AWS Lambda used for?,Serverless computing,Data warehousing,File storage,Network routing,A,Lambda runs code without provisioning servers.,Serverless,https://docs.aws.amazon.com/lambda/latest/dg/welcome.html,https://youtube.com/results?search_query=aws+lambda+basics,https://youtube.com/results?search_query=aws+lambda+hindi,https://youtube.com/results?search_query=aws+lambda+kannada,https://youtube.com/results?search_query=aws+lambda+tamil,https://youtube.com/results?search_query=aws+lambda+telugu
AWS,Basic,Which AWS service is a relational database?,RDS,S3,DynamoDB,EC2,A,RDS provides managed relational databases.,Database,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html,https://youtube.com/results?search_query=aws+rds+basics,https://youtube.com/results?search_query=aws+rds+hindi,https://youtube.com/results?search_query=aws+rds+kannada,https://youtube.com/results?search_query=aws+rds+tamil,https://youtube.com/results?search_query=aws+rds+telugu
AWS,Basic,What does VPC stand for in AWS?,Virtual Private Cloud,Virtual Public Cloud,Variable Private Cloud,Visual Private Cloud,A,VPC is a logically isolated network in AWS.,Networking,https://docs.aws.amazon.com/vpc/latest/userguide/what-is-amazon-vpc.html,https://youtube.com/results?search_query=aws+vpc+basics,https://youtube.com/results?search_query=aws+vpc+hindi,https://youtube.com/results?search_query=aws+vpc+kannada,https://youtube.com/results?search_query=aws+vpc+tamil,https://youtube.com/results?search_query=aws+vpc+telugu
AWS,Basic,Which service provides DNS in AWS?,Route 53,CloudFront,API Gateway,Load Balancer,A,Route 53 is AWS's DNS web service.,Networking,https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/Welcome.html,https://youtube.com/results?search_query=aws+route53+basics,https://youtube.com/results?search_query=aws+route53+hindi,https://youtube.com/results?search_query=aws+route53+kannada,https://youtube.com/results?search_query=aws+route53+tamil,https://youtube.com/results?search_query=aws+route53+telugu
AWS,Basic,What is IAM in AWS?,Identity and Access Management,Internet Access Management,Infrastructure Access Management,Instance Access Management,A,IAM manages access to AWS services and resources.,Security,https://docs.aws.amazon.com/IAM/latest/UserGuide/introduction.html,https://youtube.com/results?search_query=aws+iam+basics,https://youtube.com/results?search_query=aws+iam+hindi,https://youtube.com/results?search_query=aws+iam+kannada,https://youtube.com/results?search_query=aws+iam+tamil,https://youtube.com/results?search_query=aws+iam+telugu
AWS,Basic,Which AWS service is a NoSQL database?,DynamoDB,RDS,Redshift,Aurora,A,DynamoDB is a managed NoSQL database.,Database,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/Introduction.html,https://youtube.com/results?search_query=aws+dynamodb+basics,https://youtube.com/results?search_query=aws+dynamodb+hindi,https://youtube.com/results?search_query=aws+dynamodb+kannada,https://youtube.com/results?search_query=aws+dynamodb+tamil,https://youtube.com/results?search_query=aws+dynamodb+telugu
AWS,Basic,What does EC2 stand for?,Elastic Compute Cloud,Elastic Cloud Compute,Enterprise Compute Cloud,Extended Compute Cloud,A,EC2 provides scalable computing capacity.,Compute,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/concepts.html,https://youtube.com/results?search_query=aws+ec2+basics,https://youtube.com/results?search_query=aws+ec2+hindi,https://youtube.com/results?search_query=aws+ec2+kannada,https://youtube.com/results?search_query=aws+ec2+tamil,https://youtube.com/results?search_query=aws+ec2+telugu
AWS,Basic,Which service is used for content delivery?,CloudFront,CloudWatch,CloudTrail,CloudFormation,A,CloudFront is a content delivery network (CDN).,Networking,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/Introduction.html,https://youtube.com/results?search_query=aws+cloudfront+basics,https://youtube.com/results?search_query=aws+cloudfront+hindi,https://youtube.com/results?search_query=aws+cloudfront+kannada,https://youtube.com/results?search_query=aws+cloudfront+tamil,https://youtube.com/results?search_query=aws+cloudfront+telugu
