skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Technology,Level,Question,Category1,Category2,Category3,Category4,Difficulty,Answer,Primary Topic,Official Docs Link,Youtube English,Youtube Hindi,Youtube Kannada,Youtube Tamil,Youtube Telugu
PHP,Basic,What is PHP?,Introduction,Basics,Server-side,Scripting,A,PHP (Hypertext Preprocessor) is a server-side scripting language designed for web development but also used as a general-purpose language.,Introduction,https://www.php.net/manual/en/intro-whatis.php,https://youtube.com/results?search_query=what+is+php,https://youtube.com/results?search_query=what+is+php+hindi,https://youtube.com/results?search_query=what+is+php+kannada,https://youtube.com/results?search_query=what+is+php+tamil,https://youtube.com/results?search_query=what+is+php+telugu
PHP,Basic,Why is PHP called a server-side language?,Basics,Server-side,Processing,Web,A,PHP is called server-side because the code is executed on the web server before the result is sent to the client's browser.,Server-side,https://www.php.net/manual/en/intro-whatis.php,https://youtube.com/results?search_query=why+php+server+side,https://youtube.com/results?search_query=why+php+server+side+hindi,https://youtube.com/results?search_query=why+php+server+side+kannada,https://youtube.com/results?search_query=why+php+server+side+tamil,https://youtube.com/results?search_query=why+php+server+side+telugu
PHP,Basic,How do you start and end PHP code blocks?,Syntax,Code blocks,Delimiters,Basics,A,"Use <?php to start and ?> to end PHP code. For short tags, use <? and ?> (if enabled).",Basic Syntax,https://www.php.net/manual/en/language.basic-syntax.phptags.php,https://youtube.com/results?search_query=php+code+blocks,https://youtube.com/results?search_query=php+code+blocks+hindi,https://youtube.com/results?search_query=php+code+blocks+kannada,https://youtube.com/results?search_query=php+code+blocks+tamil,https://youtube.com/results?search_query=php+code+blocks+telugu
PHP,Basic,Where is PHP code executed?,Execution,Server-side,Processing,A,PHP code is executed on the web server, not in the user's browser like JavaScript.,Execution Model,https://www.php.net/manual/en/intro-whatis.php,https://youtube.com/results?search_query=where+php+executed,https://youtube.com/results?search_query=where+php+executed+hindi,https://youtube.com/results?search_query=where+php+executed+kannada,https://youtube.com/results?search_query=where+php+executed+tamil,https://youtube.com/results?search_query=where+php+executed+telugu
PHP,Basic,What kind of applications can be built with PHP?,Applications,Web,Types,Use cases,A,"PHP can build dynamic websites, web applications, e-commerce sites, content management systems (like WordPress), APIs, and more.",Applications,https://www.php.net/manual/en/intro-whatcando.php,https://youtube.com/results?search_query=php+applications+types,https://youtube.com/results?search_query=php+applications+types+hindi,https://youtube.com/results?search_query=php+applications+types+kannada,https://youtube.com/results?search_query=php+applications+types+tamil,https://youtube.com/results?search_query=php+applications+types+telugu
PHP,Basic,Why use echo in PHP?,Output,echo,Printing,Display,A,echo is used to output one or more strings to the browser or command line.,Output Functions,https://www.php.net/manual/en/function.echo.php,https://youtube.com/results?search_query=why+use+echo+php,https://youtube.com/results?search_query=why+use+echo+php+hindi,https://youtube.com/results?search_query=why+use+echo+php+kannada,https://youtube.com/results?search_query=why+use+echo+php+tamil,https://youtube.com/results?search_query=why+use+echo+php+telugu
PHP,Basic,How to comment code in PHP?,Syntax,Comments,Documentation,Basics,A,"Use // for single-line comments, # for single-line (shell style), and /* */ for multi-line comments.",Comments,https://www.php.net/manual/en/language.basic-syntax.comments.php,https://youtube.com/results?search_query=php+comments,https://youtube.com/results?search_query=php+comments+hindi,https://youtube.com/results?search_query=php+comments+kannada,https://youtube.com/results?search_query=php+comments+tamil,https://youtube.com/results?search_query=php+comments+telugu
PHP,Basic,When should you use print instead of echo?,Output,print vs echo,Comparison,A,print is similar to echo but returns 1 (so can be used in expressions), while echo is slightly faster and can take multiple parameters.,Output Functions,https://www.php.net/manual/en/function.print.php,https://youtube.com/results?search_query=print+vs+echo+php,https://youtube.com/results?search_query=print+vs+echo+php+hindi,https://youtube.com/results?search_query=print+vs+echo+php+kannada,https://youtube.com/results?search_query=print+vs+echo+php+tamil,https://youtube.com/results?search_query=print+vs+echo+php+telugu
PHP,Basic,Where do you define variables in PHP?,Variables,Declaration,Scope,Basics,A,Variables can be defined anywhere in PHP code using $ sign followed by variable name.,Variables,https://www.php.net/manual/en/language.variables.basics.php,https://youtube.com/results?search_query=php+variables+definition,https://youtube.com/results?search_query=php+variables+definition+hindi,https://youtube.com/results?search_query=php+variables+definition+kannada,https://youtube.com/results?search_query=php+variables+definition+tamil,https://youtube.com/results?search_query=php+variables+definition+telugu
PHP,Basic,What kind of data types does PHP support?,Data Types,Types,Variables,A,PHP supports 8 primitive types: 4 scalar (int," float, string, bool), 2 compound (array, object), and 2 special (resource, null).",Data Types,https://www.php.net/manual/en/language.types.php,https://youtube.com/results?search_query=php+data+types,https://youtube.com/results?search_query=php+data+types+hindi,https://youtube.com/results?search_query=php+data+types+kannada,https://youtube.com/results?search_query=php+data+types+tamil,https://youtube.com/results?search_query=php+data+types+telugu
PHP,Basic,Why are PHP variables prefixed with $?,Syntax,Variables,$ sign,Basics,A,The $ prefix distinguishes variables from other language constructs and makes variable interpolation in strings possible.,Variables,https://www.php.net/manual/en/language.variables.basics.php,https://youtube.com/results?search_query=why+php+variables+dollar,https://youtube.com/results?search_query=why+php+variables+dollar+hindi,https://youtube.com/results?search_query=why+php+variables+dollar+kannada,https://youtube.com/results?search_query=why+php+variables+dollar+tamil,https://youtube.com/results?search_query=why+php+variables+dollar+telugu
