skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
ReactJS,Intermediate,How does the key prop help React optimize list rendering?,Performance,Keys,Virtual DOM,Keys help React identify which items changed, were added, or removed, enabling efficient updates to the Virtual DOM.,https://reactjs.org/docs/lists-and-keys.html,https://youtube.com/results?search_query=react+keys+explained,https://youtube.com/results?search_query=react+keys+hindi,https://youtube.com/results?search_query=react+keys+kannada,https://youtube.com/results?search_query=react+keys+tamil,https://youtube.com/results?search_query=react+keys+telugu
ReactJS,Intermediate,When should you use Context API vs Redux for state management?,State Management,Context API,Redux,Use Context API for simple global state (theme, auth). Use Redux for complex state with middleware, time-travel, devtools.,https://reactjs.org/docs/context.html,https://youtube.com/results?search_query=context+api+vs+redux,https://youtube.com/results?search_query=context+redux+hindi,https://youtube.com/results?search_query=context+redux+kannada,https://youtube.com/results?search_query=context+redux+tamil,https://youtube.com/results?search_query=context+redux+telugu
ReactJS,Intermediate,How do you implement infinite scrolling in React?,Patterns,Infinite Scroll,Pagination,Use IntersectionObserver or scroll event to detect bottom, fetch more data, append to existing list, show loading indicator.,https://reactjs.org/docs/faq-ajax.html,https://youtube.com/results?search_query=react+infinite+scroll,https://youtube.com/results?search_query=infinite+scroll+hindi,https://youtube.com/results?search_query=infinite+scroll+kannada,https://youtube.com/results?search_query=infinite+scroll+tamil,https://youtube.com/results?search_query=infinite+scroll+telugu
ReactJS,Intermediate,What are React portals useful for besides modals?,Advanced Features,Portals,Use Cases,Tooltips, dropdowns," notifications, loading overlays", or any UI that needs to break out of parent overflow/z-index constraints.,https://reactjs.org/docs/portals.html,https://youtube.com/results?search_query=react+portals+use+cases,https://youtube.com/results?search_query=portals+use+cases+hindi,https://youtube.com/results?search_query=portals+use+cases+kannada,https://youtube.com/results?search_query=portals+use+cases+tamil,https://youtube.com/results?search_query=portals+use+cases+telugu
ReactJS,Intermediate,How do you implement real-time updates with WebSocket in React?,Advanced Features,WebSocket,Real-time,Use useEffect to create WebSocket connection, handle messages with event listeners, cleanup on unmount, manage connection state.,https://reactjs.org/docs/hooks-effect.html,https://youtube.com/results?search_query=react+websocket,https://youtube.com/results?search_query=websocket+react+hindi,https://youtube.com/results?search_query=websocket+react+kannada,https://youtube.com/results?search_query=websocket+react+tamil,https://youtube.com/results?search_query=websocket+react+telugu
ReactJS,Intermediate,What are React component lifecycle methods in class components?,Core Concepts,Lifecycle,Class Components,mounting: constructor, render," componentDidMount; updating: shouldComponentUpdate, render", componentDidUpdate; unmounting: componentWillUnmount.,https://reactjs.org/docs/react-component.html,https://youtube.com/results?search_query=react+lifecycle+methods,https://youtube.com/results?search_query=lifecycle+hindi,https://youtube.com/results?search_query=lifecycle+kannada,https://youtube.com/results?search_query=lifecycle+tamil,https://youtube.com/results?search_query=lifecycle+telugu
ReactJS,Intermediate,How do you implement pagination in React?,Patterns,Pagination,Data Fetching,Manage current page state, calculate offset/limit for API calls," render page numbers, handle page change events", disable buttons during loading.,https://reactjs.org/docs/faq-ajax.html,https://youtube.com/results?search_query=react+pagination,https://youtube.com/results?search_query=pagination+react+hindi,https://youtube.com/results?search_query=pagination+react+kannada,https://youtube.com/results?search_query=pagination+react+tamil,https://youtube.com/results?search_query=pagination+react+telugu
ReactJS,Intermediate,How do you implement breadcrumb navigation in React Router?,Routing,Breadcrumbs,React Router,Use useLocation, matchPath, or route config to determine current location hierarchy, render breadcrumb links based on route segments.,https://reactrouter.com/web/example/breadcrumbs,https://youtube.com/results?search_query=react+breadcrumb+navigation,https://youtube.com/results?search_query=breadcrumb+react+hindi,https://youtube.com/results?search_query=breadcrumb+react+kannada,https://youtube.com/results?search_query=breadcrumb+react+tamil,https://youtube.com/results?search_query=breadcrumb+react+telugu
ReactJS,Intermediate,How do you handle CSS-in-JS with styled-components or emotion?,Styling,CSS-in-JS,Styled Components,Use styled-components to create styled React components with template literals, supporting props, themes, and dynamic styling.,https://styled-components.com/docs/basics,https://youtube.com/results?search_query=styled+components+react,https://youtube.com/results?search_query=styled+components+hindi,https://youtube.com/results?search_query=styled+components+kannada,https://youtube.com/results?search_query=styled+components+tamil,https://youtube.com/results?search_query=styled+components+telugu
ReactJS,Intermediate,What are React component patterns for reusable UI?,Patterns,Reusable Components,Design,Container/presentational, compound components," render props, higher-order components", custom hooks for logic reuse.,https://reactjs.org/docs/design-principles.html,https://youtube.com/results?search_query=react+component+patterns,https://youtube.com/results?search_query=component+patterns+hindi,https://youtube.com/results?search_query=component+patterns+kannada,https://youtube.com/results?search_query=component+patterns+tamil,https://youtube.com/results?search_query=component+patterns+telugu
ReactJS,Intermediate,How do you handle SEO in React applications?,Advanced Features,SEO,Server Side,Use server-side rendering (Next.js), static site generation, React Helmet for meta tags, and ensure content is crawlable without JavaScript.,https://reactjs.org/docs/react-dom-server.html,https://youtube.com/results?search_query=react+seo,https://youtube.com/results?search_query=react+seo+hindi,https://youtube.com/results?search_query=react+seo+kannada,https://youtube.com/results?search_query=react+seo+tamil,https://youtube.com/results?search_query=react+seo+telugu
ReactJS,Intermediate,What are React performance optimization techniques for production?,Performance,Optimization,Production,Code splitting, lazy loading," memoization, virtualization, avoiding inline functions/objects, use Production build", enable compression.,https://reactjs.org/docs/optimizing-performance.html,https://youtube.com/results?search_query=react+performance+optimization,https://youtube.com/results?search_query=react+performance+hindi,https://youtube.com/results?search_query=react+performance+kannada,https://youtube.com/results?search_query=react+performance+tamil,https://youtube.com/results?search_query=react+performance+telugu
ReactJS,Intermediate,What are React hooks best practices and common pitfalls?,Hooks,Best Practices,Pitfalls,Don't call hooks conditionally, specify all dependencies," use custom hooks for reuse, avoid too many useState calls", cleanup effects.,https://reactjs.org/docs/hooks-rules.html,https://youtube.com/results?search_query=react+hooks+best+practices,https://youtube.com/results?search_query=hooks+best+practices+hindi,https://youtube.com/results?search_query=hooks+best+practices+kannada,https://youtube.com/results?search_query=hooks+best+practices+tamil,https://youtube.com/results?search_query=hooks+best+practices+telugu
ReactJS,Intermediate,How do you handle animations in React?,Styling,Animations,Transitions,Use CSS transitions/animations, React Transition Group, Framer Motion, or React Spring for declarative animations.,https://reactjs.org/docs/animation.html,https://youtube.com/results?search_query=react+animations,https://youtube.com/results?search_query=react+animations+hindi,https://youtube.com/results?search_query=react+animations+kannada,https://youtube.com/results?search_query=react+animations+tamil,https://youtube.com/results?search_query=react+animations+telugu
ReactJS,Intermediate,What is React server-side rendering (SSR) and its benefits?,Advanced Features,SSR,Performance,SSR renders React on server, sends HTML to client. Benefits: SEO, faster initial load, better performance on low-power devices.,https://reactjs.org/docs/react-dom-server.html,https://youtube.com/results?search_query=react+server+side+rendering,https://youtube.com/results?search_query=react+ssr+hindi,https://youtube.com/results?search_query=react+ssr+kannada,https://youtube.com/results?search_query=react+ssr+tamil,https://youtube.com/results?search_query=react+ssr+telugu
ReactJS,Intermediate,What are React component composition patterns?,Patterns,Composition,Reusability,Children prop, specialization, containment, and inheritance (rarely used). Prefer composition over inheritance for code reuse.,https://reactjs.org/docs/composition-vs-inheritance.html,https://youtube.com/results?search_query=react+composition,https://youtube.com/results?search_query=react+composition+hindi,https://youtube.com/results?search_query=react+composition+kannada,https://youtube.com/results?search_query=react+composition+tamil,https://youtube.com/results?search_query=react+composition+telugu
ReactJS,Intermediate,How do you handle API errors and loading states in React?,State Management,Error Handling,Loading,Use state variables for loading, error," data. Set loading true before API call, false after, catch errors", display appropriate UI.,https://reactjs.org/docs/faq-ajax.html,https://youtube.com/results?search_query=react+api+error+handling,https://youtube.com/results?search_query=api+error+hindi,https://youtube.com/results?search_query=api+error+kannada,https://youtube.com/results?search_query=api+error+tamil,https://youtube.com/results?search_query=api+error+telugu
ReactJS,Intermediate,What is React context consumer and provider pattern?,State Management,Context,Consumer,Provider supplies context value, Consumer or useContext hook accesses it. Use for theme, auth, language preferences.,https://reactjs.org/docs/context.html#contextconsumer,https://youtube.com/results?search_query=react+context+consumer,https://youtube.com/results?search_query=context+consumer+hindi,https://youtube.com/results?search_query=context+consumer+kannada,https://youtube.com/results?search_query=context+consumer+tamil,https://youtube.com/results?search_query=context+consumer+telugu
ReactJS,Intermediate,What are React hooks for state management alternatives to Redux?,State Management,Hooks,Alternatives,useReducer + Context, Zustand," Recoil, MobX with hooks", or SWR/React Query for server state.,https://reactjs.org/docs/hooks-reference.html#usereducer,https://youtube.com/results?search_query=react+state+management+hooks,https://youtube.com/results?search_query=state+hooks+hindi,https://youtube.com/results?search_query=state+hooks+kannada,https://youtube.com/results?search_query=state+hooks+tamil,https://youtube.com/results?search_query=state+hooks+telugu
ReactJS,Intermediate,How do you implement autocomplete/search suggestions in React?,UI Patterns,Autocomplete,Search,Debounce input, fetch suggestions on change," display dropdown, handle keyboard navigation", select item to fill input.,https://reactjs.org/docs/faq-ajax.html,https://youtube.com/results?search_query=react+autocomplete,https://youtube.com/results?search_query=autocomplete+react+hindi,https://youtube.com/results?search_query=autocomplete+react+kannada,https://youtube.com/results?search_query=autocomplete+react+tamil,https://youtube.com/results?search_query=autocomplete+react+telugu
ReactJS,Intermediate,What is React component testing with Jest and Testing Library?,Testing,Jest,Testing Library,Render components, simulate events," assert on output, test props/state changes, mock APIs", test accessibility.,https://reactjs.org/docs/testing.html,https://youtube.com/results?search_query=react+testing+library,https://youtube.com/results?search_query=react+testing+hindi,https://youtube.com/results?search_query=react+testing+kannada,https://youtube.com/results?search_query=react+testing+tamil,https://youtube.com/results?search_query=react+testing+telugu
ReactJS,Intermediate,How do you handle scroll events in React efficiently?,Performance,Scroll Events,Debounce,Use useEffect to add/remove scroll listener, debounce/throttle handler, clean up on unmount, use passive listeners for performance.,https://reactjs.org/docs/hooks-effect.html,https://youtube.com/results?search_query=react+scroll+events,https://youtube.com/results?search_query=scroll+events+hindi,https://youtube.com/results?search_query=scroll+events+kannada,https://youtube.com/results?search_query=scroll+events+tamil,https://youtube.com/results?search_query=scroll+events+telugu
ReactJS,Intermediate,How do you implement shopping cart functionality in React?,State Management,Cart,E-commerce,Manage cart state with array of items, functions to add/remove/update quantity, calculate totals, persist to localStorage.,https://reactjs.org/docs/hooks-reference.html#usereducer,https://youtube.com/results?search_query=react+shopping+cart,https://youtube.com/results?search_query=react+cart+hindi,https://youtube.com/results?search_query=react+cart+kannada,https://youtube.com/results?search_query=react+cart+tamil,https://youtube.com/results?search_query=react+cart+telugu
ReactJS,Intermediate,What are React hooks for data fetching (SWR, React Query)?,Data Fetching,SWR,React Query,SWR and React Query handle caching," revalidation, pagination, mutations for server state", reducing boilerplate code.,https://swr.vercel.app/,https://youtube.com/results?search_query=react+query+swr,https://youtube.com/results?search_query=react+query+hindi,https://youtube.com/results?search_query=react+query+kannada,https://youtube.com/results?search_query=react+query+tamil,https://youtube.com/results?search_query=react+query+telugu
ReactJS,Intermediate,How do you implement drag to reorder lists in React?,Advanced Features,Drag to Reorder,UI,Use react-beautiful-dnd or similar, manage list state, handle drag start/end events, update array order on drop.,https://github.com/atlassian/react-beautiful-dnd,https://youtube.com/results?search_query=react+drag+reorder,https://youtube.com/results?search_query=drag+reorder+hindi,https://youtube.com/results?search_query=drag+reorder+kannada,https://youtube.com/results?search_query=drag+reorder+tamil,https://youtube.com/results?search_query=drag+reorder+telugu
ReactJS,Intermediate,How do you implement password strength meter in React?,Forms,Validation,Password,Check password criteria (length, complexity) on change, calculate score, display visual feedback with color-coded indicators.,https://reactjs.org/docs/forms.html,https://youtube.com/results?search_query=react+password+strength,https://youtube.com/results?search_query=password+meter+hindi,https://youtube.com/results?search_query=password+meter+kannada,https://youtube.com/results?search_query=password+meter+tamil,https://youtube.com/results?search_query=password+meter+telugu
ReactJS,Intermediate,How do you implement copy to clipboard in React?,UI Patterns,Clipboard,API,Use navigator.clipboard.writeText() with button click, show feedback, handle errors, check permissions for secure contexts.,https://reactjs.org/docs/events.html,https://youtube.com/results?search_query=react+copy+to+clipboard,https://youtube.com/results?search_query=copy+clipboard+hindi,https://youtube.com/results?search_query=copy+clipboard+kannada,https://youtube.com/results?search_query=copy+clipboard+tamil,https://youtube.com/results?search_query=copy+clipboard+telugu
