Topic,Difficulty,Question,Tag1,Tag2,Tag3,Tag4,Correct Option,Explanation,Category,Doc URL,Video Search EN,Video Search HI,Video Search KN,Video Search TA,Video Search TE
GCP,Advanced,How does Google's global load balancing differ from traditional load balancers in terms of architecture?,Global Load Balancing,Anycast IP,Low latency,Global routing,A,Google's global load balancers use Anycast IP addresses and Google's global network to route traffic to nearest healthy backend.,Networking,https://cloud.google.com/load-balancing/docs/load-balancing-overview,https://youtube.com/results?search_query=gcp+global+load+balancing+architecture,https://youtube.com/results?search_query=gcp+global+load+balancing+architecture+hindi,https://youtube.com/results?search_query=gcp+global+load+balancing+architecture+kannada,https://youtube.com/results?search_query=gcp+global+load+balancing+architecture+tamil,https://youtube.com/results?search_query=gcp+global+load+balancing+architecture+telugu
GCP,Advanced,What is the purpose of VPC Service Controls and how do they enhance security beyond firewall rules?,VPC Service Controls,Data exfiltration,Service perimeters,Security boundaries,A,VPC Service Controls create service perimeters to prevent data exfiltration via API calls, complementing network firewall rules.,Security,https://cloud.google.com/vpc-service-controls/docs/overview,https://youtube.com/results?search_query=gcp+vpc+service+controls+security,https://youtube.com/results?search_query=gcp+vpc+service+controls+security+hindi,https://youtube.com/results?search_query=gcp+vpc+service+controls+security+kannada,https://youtube.com/results?search_query=gcp+vpc+service+controls+security+tamil,https://youtube.com/results?search_query=gcp+vpc+service+controls+security+telugu
GCP,Advanced,How does Cloud Spanner's TrueTime API enable global consistency in distributed databases?,Spanner,TrueTime API,Global consistency,Clock synchronization,A,TrueTime uses atomic clocks and GPS to provide bounded clock uncertainty, enabling external consistency across global regions.,Databases,https://cloud.google.com/spanner/docs/true-time-external-consistency,https://youtube.com/results?search_query=gcp+spanner+truetime+consistency,https://youtube.com/results?search_query=gcp+spanner+truetime+consistency+hindi,https://youtube.com/results?search_query=gcp+spanner+truetime+consistency+kannada,https://youtube.com/results?search_query=gcp+spanner+truetime+consistency+tamil,https://youtube.com/results?search_query=gcp+spanner+truetime+consistency+telugu
GCP,Advanced,What is the difference between Shared VPC and VPC Network Peering in GCP networking?,Shared VPC,VPC Peering,Network isolation,Cross-project networking,A,Shared VPC allows resource sharing within organization; VPC Peering connects different VPC networks for communication.,Networking,https://cloud.google.com/vpc/docs/shared-vpc,https://youtube.com/results?search_query=gcp+shared+vpc+vs+peering,https://youtube.com/results?search_query=gcp+shared+vpc+vs+peering+hindi,https://youtube.com/results?search_query=gcp+shared+vpc+vs+peering+kannada,https://youtube.com/results?search_query=gcp+shared+vpc+vs+peering+tamil,https://youtube.com/results?search_query=gcp+shared+vpc+vs+peering+telugu
GCP,Advanced,How does Cloud Memorystore's multi-region replication differ from single-region deployment for Redis?,Memorystore,Multi-region,Redis replication,High availability,A,Multi-region Memorystore provides cross-region replication with automatic failover, while single-region has zonal redundancy.,Databases,https://cloud.google.com/memorystore/docs/redis/ha-overview,https://youtube.com/results?search_query=gcp+memorystore+multi+region+redis,https://youtube.com/results?search_query=gcp+memorystore+multi+region+redis+hindi,https://youtube.com/results?search_query=gcp+memorystore+multi+region+redis+kannada,https://youtube.com/results?search_query=gcp+memorystore+multi+region+redis+tamil,https://youtube.com/results?search_query=gcp+memorystore+multi+region+redis+telugu
GCP,Advanced,What is the purpose of Cloud IAM Conditions and how do they enable fine-grained access control?,IAM Conditions,Attribute-based access,Temporal restrictions,Context-aware,A,IAM Conditions add context-aware policies based on resource attributes, request attributes, or time for granular access control.,IAM,https://cloud.google.com/iam/docs/conditions-overview,https://youtube.com/results?search_query=gcp+iam+conditions+fine+grained+access,https://youtube.com/results?search_query=gcp+iam+conditions+fine+grained+access+hindi,https://youtube.com/results?search_query=gcp+iam+conditions+fine+grained+access+kannada,https://youtube.com/results?search_query=gcp+iam+conditions+fine+grained+access+tamil,https://youtube.com/results?search_query=gcp+iam+conditions+fine+grained+access+telugu
GCP,Advanced,How does Dataflow's autoscaling differ from traditional fixed-worker data processing pipelines?,Dataflow,Autoscaling,Streaming analytics,Worker management,A,Dataflow dynamically scales workers based on backlog and throughput, unlike fixed pipelines requiring manual scaling.,Data Analytics,https://cloud.google.com/dataflow/docs/guides/deploying-a-pipeline#autoscaling,https://youtube.com/results?search_query=gcp+dataflow+autoscaling+vs+fixed,https://youtube.com/results?search_query=gcp+dataflow+autoscaling+vs+fixed+hindi,https://youtube.com/results?search_query=gcp+dataflow+autoscaling+vs+fixed+kannada,https://youtube.com/results?search_query=gcp+dataflow+autoscaling+vs+fixed+tamil,https://youtube.com/results?search_query=gcp+dataflow+autoscaling+vs+fixed+telugu
GCP,Advanced,What is the purpose of Cloud Run's concurrency model and how does it affect cold starts?,Cloud Run,Concurrency,Cold starts,Request processing,A,Cloud Run's concurrency setting controls requests per container instance, affecting cold start frequency and resource utilization.,Compute,https://cloud.google.com/run/docs/about-concurrency,https://youtube.com/results?search_query=gcp+cloud+run+concurrency+cold+starts,https://youtube.com/results?search_query=gcp+cloud+run+concurrency+cold+starts+hindi,https://youtube.com/results?search_query=gcp+cloud+run+concurrency+cold+starts+kannada,https://youtube.com/results?search_query=gcp+cloud+run+concurrency+cold+starts+tamil,https://youtube.com/results?search_query=gcp+cloud+run+concurrency+cold+starts+telugu
GCP,Advanced,How does Anthos enable hybrid and multi-cloud deployments beyond traditional Kubernetes?,Anthos,Hybrid cloud,Multi-cloud,Kubernetes fleet,A,Anthos provides consistent platform across on-prem, GCP, and other clouds with centralized management and policy enforcement.,Hybrid Cloud,https://cloud.google.com/anthos/docs/concepts/overview,https://youtube.com/results?search_query=gcp+anthos+hybrid+multi+cloud,https://youtube.com/results?search_query=gcp+anthos+hybrid+multi+cloud+hindi,https://youtube.com/results?search_query=gcp+anthos+hybrid+multi+cloud+kannada,https://youtube.com/results?search_query=gcp+anthos+hybrid+multi+cloud+tamil,https://youtube.com/results?search_query=gcp+anthos+hybrid+multi+cloud+telugu
GCP,Advanced,What is the difference between Cloud Storage's multi-regional and regional storage classes?,Cloud Storage,Storage classes,Data locality,Availability SLA,A,Multi-regional provides higher availability (99.95%) across regions; regional offers lower cost with single-region availability.,Storage,https://cloud.google.com/storage/docs/storage-classes,https://youtube.com/results?search_query=gcp+storage+multi+regional+vs+regional,https://youtube.com/results?search_query=gcp+storage+multi+regional+vs+regional+hindi,https://youtube.com/results?search_query=gcp+storage+multi+regional+vs+regional+kannada,https://youtube.com/results?search_query=gcp+storage+multi+regional+vs+regional+tamil,https://youtube.com/results?search_query=gcp+storage+multi+regional+vs+regional+telugu
GCP,Advanced,How does Cloud Pub/Sub's exactly-once delivery differ from at-least-once semantics?,Pub/Sub,Exactly-once delivery,Message deduplication,Idempotency,A,Exactly-once delivery uses message ordering keys and deduplication to prevent duplicates, while at-least-once may redeliver.,Messaging,https://cloud.google.com/pubsub/docs/exactly-once-delivery,https://youtube.com/results?search_query=gcp+pubsub+exactly+once+delivery,https://youtube.com/results?search_query=gcp+pubsub+exactly+once+delivery+hindi,https://youtube.com/results?search_query=gcp+pubsub+exactly+once+delivery+kannada,https://youtube.com/results?search_query=gcp+pubsub+exactly+once+delivery+tamil,https://youtube.com/results?search_query=gcp+pubsub+exactly+once+delivery+telugu
GCP,Advanced,What is the purpose of Cloud Armor and how does it provide DDoS protection at Google scale?,Cloud Armor,DDoS protection,WAF,Security policies,A,Cloud Armor provides network-level DDoS protection and application-layer WAF capabilities leveraging Google's global infrastructure.,Security,https://cloud.google.com/armor/docs/cloud-armor-overview,https://youtube.com/results?search_query=gcp+cloud+armor+ddos+protection,https://youtube.com/results?search_query=gcp+cloud+armor+ddos+protection+hindi,https://youtube.com/results?search_query=gcp+cloud+armor+ddos+protection+kannada,https://youtube.com/results?search_query=gcp+cloud+armor+ddos+protection+tamil,https://youtube.com/results?search_query=gcp+cloud+armor+ddos+protection+telugu
GCP,Advanced,How does BigQuery's separation of storage and compute enable independent scaling?,BigQuery,Storage compute separation,Scalability,Serverless,A,BigQuery's decoupled architecture allows storage to scale independently from compute, enabling on-demand query processing.,Data Analytics,https://cloud.google.com/bigquery/docs/introduction,https://youtube.com/results?search_query=gcp+bigquery+storage+compute+separation,https://youtube.com/results?search_query=gcp+bigquery+storage+compute+separation+hindi,https://youtube.com/results?search_query=gcp+bigquery+storage+compute+separation+kannada,https://youtube.com/results?search_query=gcp+bigquery+storage+compute+separation+tamil,https://youtube.com/results?search_query=gcp+bigquery+storage+compute+separation+telugu
GCP,Advanced,What is the difference between Cloud SQL's high availability and read replicas?,Cloud SQL,High availability,Read replicas,Failover,A,HA provides automated failover with standby instance; read replicas scale reads but require manual promotion for failover.,Databases,https://cloud.google.com/sql/docs/mysql/high-availability,https://youtube.com/results?search_query=gcp+cloud+sql+ha+vs+read+replicas,https://youtube.com/results?search_query=gcp+cloud+sql+ha+vs+read+replicas+hindi,https://youtube.com/results?search_query=gcp+cloud+sql+ha+vs+read+replicas+kannada,https://youtube.com/results?search_query=gcp+cloud+sql+ha+vs+read+replicas+tamil,https://youtube.com/results?search_query=gcp+cloud+sql+ha+vs+read+replicas+telugu
GCP,Advanced,How does Cloud CDN integrate with Google's global network for content delivery?,Cloud CDN,Edge caching,Global network,Low latency,A,Cloud CDN caches content at Google's globally distributed edge points, reducing latency and origin load.,Networking,https://cloud.google.com/cdn/docs/overview,https://youtube.com/results?search_query=gcp+cloud+cdn+global+network,https://youtube.com/results?search_query=gcp+cloud+cdn+global+network+hindi,https://youtube.com/results?search_query=gcp+cloud+cdn+global+network+kannada,https://youtube.com/results?search_query=gcp+cloud+cdn+global+network+tamil,https://youtube.com/results?search_query=gcp+cloud+cdn+global+network+telugu
GCP,Advanced,What is the purpose of Organization Policy Constraints and how do they enforce governance?,Organization policies,Constraints,Resource governance,Compliance,A,Organization Policy Constraints set guardrails on resource configurations across projects for security and compliance.,Governance,https://cloud.google.com/resource-manager/docs/organization-policy/overview,https://youtube.com/results?search_query=gcp+organization+policy+constraints,https://youtube.com/results?search_query=gcp+organization+policy+constraints+hindi,https://youtube.com/results?search_query=gcp+organization+policy+constraints+kannada,https://youtube.com/results?search_query=gcp+organization+policy+constraints+tamil,https://youtube.com/results?search_query=gcp+organization+policy+constraints+telugu
GCP,Advanced,How does Cloud Functions' second generation improve upon first generation architecture?,Cloud Functions,Gen2,Eventarc,Cloud Run underlay,A,Gen2 uses Cloud Run underlay providing longer timeouts, larger instances, and Eventarc for richer event sources.,Compute,https://cloud.google.com/functions/docs/concepts/version-comparison,https://youtube.com/results?search_query=gcp+cloud+functions+gen2+improvements,https://youtube.com/results?search_query=gcp+cloud+functions+gen2+improvements+hindi,https://youtube.com/results?search_query=gcp+cloud+functions+gen2+improvements+kannada,https://youtube.com/results?search_query=gcp+cloud+functions+gen2+improvements+tamil,https://youtube.com/results?search_query=gcp+cloud+functions+gen2+improvements+telugu
GCP,Advanced,What is the difference between Cloud NAT and Cloud Router for network address translation?,Cloud NAT,Cloud Router,NAT gateway,BGP routing,A,Cloud NAT provides outbound NAT for VMs without public IPs; Cloud Router manages BGP sessions for hybrid connectivity.,Networking,https://cloud.google.com/nat/docs/overview,https://youtube.com/results?search_query=gcp+cloud+nat+vs+cloud+router,https://youtube.com/results?search_query=gcp+cloud+nat+vs+cloud+router+hindi,https://youtube.com/results?search_query=gcp+cloud+nat+vs+cloud+router+kannada,https://youtube.com/results?search_query=gcp+cloud+nat+vs+cloud+router+tamil,https://youtube.com/results?search_query=gcp+cloud+nat+vs+cloud+router+telugu
GCP,Advanced,How does Cloud Data Loss Prevention (DLP) automate sensitive data discovery and protection?,DLP,Sensitive data discovery,Data classification,Redaction,A,Cloud DLP uses machine learning to discover, classify, and protect sensitive data through inspection, masking, and redaction.,Security,https://cloud.google.com/dlp/docs/overview,https://youtube.com/results?search_query=gcp+dlp+sensitive+data+protection,https://youtube.com/results?search_query=gcp+dlp+sensitive+data+protection+hindi,https://youtube.com/results?search_query=gcp+dlp+sensitive+data+protection+kannada,https://youtube.com/results?search_query=gcp+dlp+sensitive+data+protection+tamil,https://youtube.com/results?search_query=gcp+dlp+sensitive+data+protection+telugu
GCP,Advanced,What is the purpose of Cloud Scheduler and how does it differ from cron jobs?,Cloud Scheduler,Cron jobs,Job scheduling,HTTP triggers,A,Cloud Scheduler provides managed cron service with HTTP/App Engine/PubSub targets, offering monitoring and retries.,Compute,https://cloud.google.com/scheduler/docs,https://youtube.com/results?search_query=gcp+cloud+scheduler+vs+cron,https://youtube.com/results?search_query=gcp+cloud+scheduler+vs+cron+hindi,https://youtube.com/results?search_query=gcp+cloud+scheduler+vs+cron+kannada,https://youtube.com/results?search_query=gcp+cloud+scheduler+vs+cron+tamil,https://youtube.com/results?search_query=gcp+cloud+scheduler+vs+cron+telugu
GCP,Advanced,How does Cloud Monitoring's uptime checks differ from traditional health monitoring?,Cloud Monitoring,Uptime checks,Global monitoring,Synthetic monitoring,A,Uptime checks perform synthetic monitoring from multiple global locations, detecting issues before real users are affected.,Monitoring,https://cloud.google.com/monitoring/uptime-checks,https://youtube.com/results?search_query=gcp+monitoring+uptime+checks,https://youtube.com/results?search_query=gcp+monitoring+uptime+checks+hindi,https://youtube.com/results?search_query=gcp+monitoring+uptime+checks+kannada,https://youtube.com/results?search_query=gcp+monitoring+uptime+checks+tamil,https://youtube.com/results?search_query=gcp+monitoring+uptime+checks+telugu
GCP,Advanced,What is the difference between Cloud Build and Cloud Deploy for CI/CD pipelines?,Cloud Build,Cloud Deploy,CI/CD,Deployment automation,A,Cloud Build is CI tool for building/testing; Cloud Deploy is CD service for automated deployments to GKE and other targets.,CI/CD,https://cloud.google.com/build/docs/overview,https://youtube.com/results?search_query=gcp+cloud+build+vs+cloud+deploy,https://youtube.com/results?search_query=gcp+cloud+build+vs+cloud+deploy+hindi,https://youtube.com/results?search_query=gcp+cloud+build+vs+cloud+deploy+kannada,https://youtube.com/results?search_query=gcp+cloud+build+vs+cloud+deploy+tamil,https://youtube.com/results?search_query=gcp+cloud+build+vs+cloud+deploy+telugu
GCP,Advanced,How does Cloud Identity-Aware Proxy (IAP) enable zero-trust access to applications?,IAP,Zero-trust,Context-aware access,Identity verification,A,IAP provides identity-based access to apps without VPNs, verifying user identity and context before allowing access.,Security,https://cloud.google.com/iap/docs/concepts-overview,https://youtube.com/results?search_query=gcp+iap+zero+trust+access,https://youtube.com/results?search_query=gcp+iap+zero+trust+access+hindi,https://youtube.com/results?search_query=gcp+iap+zero+trust+access+kannada,https://youtube.com/results?search_query=gcp+iap+zero+trust+access+tamil,https://youtube.com/results?search_query=gcp+iap+zero+trust+access+telugu
