skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
HTML,Intermediate,What is semantic HTML?,Tags with meaning,Tags with color,Tags with style,Hidden tags,A,Semantic HTML describes meaning of content.,Semantic,https://developer.mozilla.org/en-US/docs/Glossary/Semantics,https://youtube.com/results?search_query=semantic+html+tutorial,https://youtube.com/results?search_query=semantic+html+hindi,https://youtube.com/results?search_query=semantic+html+kannada,https://youtube.com/results?search_query=semantic+html+tamil,https://youtube.com/results?search_query=semantic+html+telugu
HTML,Intermediate,Which tag represents navigation?,<nav>,<menu>,<section>,<aside>,A,Nav defines navigation links.,Semantic,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/nav,https://youtube.com/results?search_query=semantic+html+tutorial,https://youtube.com/results?search_query=semantic+html+hindi,https://youtube.com/results?search_query=semantic+html+kannada,https://youtube.com/results?search_query=semantic+html+tamil,https://youtube.com/results?search_query=semantic+html+telugu
HTML,Intermediate,Which tag defines footer?,<bottom>,<footer>,<end>,<last>,B,Footer defines bottom section.,Semantic,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/footer,https://youtube.com/results?search_query=semantic+html+tutorial,https://youtube.com/results?search_query=semantic+html+hindi,https://youtube.com/results?search_query=semantic+html+kannada,https://youtube.com/results?search_query=semantic+html+tamil,https://youtube.com/results?search_query=semantic+html+telugu
HTML,Intermediate,Which tag defines article?,<post>,<article>,<content>,<section>,B,Article represents independent content.,Semantic,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/article,https://youtube.com/results?search_query=semantic+html+tutorial,https://youtube.com/results?search_query=semantic+html+hindi,https://youtube.com/results?search_query=semantic+html+kannada,https://youtube.com/results?search_query=semantic+html+tamil,https://youtube.com/results?search_query=semantic+html+telugu
HTML,Intermediate,Which tag defines sidebar?,<aside>,<sidebar>,<section>,<nav>,A,Aside is used for side content.,Semantic,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/aside,https://youtube.com/results?search_query=semantic+html+tutorial,https://youtube.com/results?search_query=semantic+html+hindi,https://youtube.com/results?search_query=semantic+html+kannada,https://youtube.com/results?search_query=semantic+html+tamil,https://youtube.com/results?search_query=semantic+html+telugu

HTML,Intermediate,Which attribute opens link in new tab?,target="_blank",newtab="true",open="new",tab="blank",A,Target blank opens new tab.,Links,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/a,https://youtube.com/results?search_query=html+links+advanced,https://youtube.com/results?search_query=html+links+hindi,https://youtube.com/results?search_query=html+links+kannada,https://youtube.com/results?search_query=html+links+tamil,https://youtube.com/results?search_query=html+links+telugu
HTML,Intermediate,Which attribute sets tooltip?,title,alt,label,tip,A,Title shows tooltip.,Links,https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/title,https://youtube.com/results?search_query=html+links+advanced,https://youtube.com/results?search_query=html+links+hindi,https://youtube.com/results?search_query=html+links+kannada,https://youtube.com/results?search_query=html+links+tamil,https://youtube.com/results?search_query=html+links+telugu
HTML,Intermediate,Which attribute downloads file?,download,save,file,get,A,Download attribute forces download.,Links,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/a#download,https://youtube.com/results?search_query=html+links+advanced,https://youtube.com/results?search_query=html+links+hindi,https://youtube.com/results?search_query=html+links+kannada,https://youtube.com/results?search_query=html+links+tamil,https://youtube.com/results?search_query=html+links+telugu
HTML,Intermediate,Rel attribute is used for?,Relationship,Reload,Return,Render,A,Rel defines relationship.,Links,https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/rel,https://youtube.com/results?search_query=html+links+advanced,https://youtube.com/results?search_query=html+links+hindi,https://youtube.com/results?search_query=html+links+kannada,https://youtube.com/results?search_query=html+links+tamil,https://youtube.com/results?search_query=html+links+telugu
HTML,Intermediate,Which tag creates email link?,<mail>,<a>,<email>,<link>,B,A tag with mailto.,Links,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/a,https://youtube.com/results?search_query=html+links+advanced,https://youtube.com/results?search_query=html+links+hindi,https://youtube.com/results?search_query=html+links+kannada,https://youtube.com/results?search_query=html+links+tamil,https://youtube.com/results?search_query=html+links+telugu

HTML,Intermediate,Which input type hides characters?,password,text,hidden,email,A,Password hides input.,Forms,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/password,https://youtube.com/results?search_query=html+forms+advanced,https://youtube.com/results?search_query=html+forms+hindi,https://youtube.com/results?search_query=html+forms+kannada,https://youtube.com/results?search_query=html+forms+tamil,https://youtube.com/results?search_query=html+forms+telugu
HTML,Intermediate,Which attribute is required field?,required,validate,need,must,A,Required enforces input.,Forms,https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/required,https://youtube.com/results?search_query=html+forms+advanced,https://youtube.com/results?search_query=html+forms+hindi,https://youtube.com/results?search_query=html+forms+kannada,https://youtube.com/results?search_query=html+forms+tamil,https://youtube.com/results?search_query=html+forms+telugu
HTML,Intermediate,Which input type selects color?,color,paint,shade,hex,A,Color picker input.,Forms,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/color,https://youtube.com/results?search_query=html+forms+advanced,https://youtube.com/results?search_query=html+forms+hindi,https://youtube.com/results?search_query=html+forms+kannada,https://youtube.com/results?search_query=html+forms+tamil,https://youtube.com/results?search_query=html+forms+telugu
HTML,Intermediate,Which input selects date?,date,calendar,time,day,A,Date picker input.,Forms,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/date,https://youtube.com/results?search_query=html+forms+advanced,https://youtube.com/results?search_query=html+forms+hindi,https://youtube.com/results?search_query=html+forms+kannada,https://youtube.com/results?search_query=html+forms+tamil,https://youtube.com/results?search_query=html+forms+telugu
HTML,Intermediate,Which tag groups form fields?,<fieldset>,<group>,<formset>,<section>,A,Fieldset groups fields.,Forms,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/fieldset,https://youtube.com/results?search_query=html+forms+advanced,https://youtube.com/results?search_query=html+forms+hindi,https://youtube.com/results?search_query=html+forms+kannada,https://youtube.com/results?search_query=html+forms+tamil,https://youtube.com/results?search_query=html+forms+telugu

