skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Technology,Basic,Question,Category1,Category2,Category3,Category4,Difficulty,Answer,Primary Topic,Official Docs Link,Youtube English,Youtube Hindi,Youtube Kannada,Youtube Tamil,Youtube Telugu
Mongodb,Basic,What is MongoDB?,Introduction,NoSQL,Database,Document store,A,"MongoDB is a NoSQL document database that stores data in flexible, JSON-like documents.",Introduction,https://www.mongodb.com/what-is-mongodb,https://youtube.com/results?search_query=what+is+mongodb,https://youtube.com/results?search_query=what+is+mongodb+hindi,https://youtube.com/results?search_query=what+is+mongodb+kannada,https://youtube.com/results?search_query=what+is+mongodb+tamil,https://youtube.com/results?search_query=what+is+mongodb+telugu
Mongodb,Basic,What is a document in MongoDB?,Core Concepts,Document,Data model,BSON,A,"A document is a record in MongoDB stored in BSON format (binary JSON), similar to a row in SQL databases.",Documents,https://www.mongodb.com/docs/manual/core/document/,https://youtube.com/results?search_query=mongodb+document,https://youtube.com/results?search_query=mongodb+document+hindi,https://youtube.com/results?search_query=mongodb+document+kannada,https://youtube.com/results?search_query=mongodb+document+tamil,https://youtube.com/results?search_query=mongodb+document+telugu
Mongodb,Basic,What is a collection in MongoDB?,Core Concepts,Collection,Data organization,Table equivalent,A,"A collection is a grouping of MongoDB documents, similar to a table in relational databases.",Collections,https://www.mongodb.com/docs/manual/core/databases-and-collections/,https://youtube.com/results?search_query=mongodb+collection,https://youtube.com/results?search_query=mongodb+collection+hindi,https://youtube.com/results?search_query=mongodb+collection+kannada,https://youtube.com/results?search_query=mongodb+collection+tamil,https://youtube.com/results?search_query=mongodb+collection+telugu
Mongodb,Basic,What is a database in MongoDB?,Core Concepts,Database,Storage,Namespace,A,"A database is a container for collections, storing related data together.",Databases,https://www.mongodb.com/docs/manual/core/databases-and-collections/,https://youtube.com/results?search_query=mongodb+database,https://youtube.com/results?search_query=mongodb+database+hindi,https://youtube.com/results?search_query=mongodb+database+kannada,https://youtube.com/results?search_query=mongodb+database+tamil,https://youtube.com/results?search_query=mongodb+database+telugu
Mongodb,Basic,What is BSON?,Data Format,BSON,Binary JSON,Storage,A,BSON (Binary JSON) is a binary-encoded serialization of JSON-like documents used by MongoDB.,BSON,https://www.mongodb.com/docs/manual/reference/bson/,https://youtube.com/results?search_query=mongodb+bson,https://youtube.com/results?search_query=mongodb+bson+hindi,https://youtube.com/results?search_query=mongodb+bson+kannada,https://youtube.com/results?search_query=mongodb+bson+tamil,https://youtube.com/results?search_query=mongodb+bson+telugu
Mongodb,Basic,What is the difference between MongoDB and SQL databases?,Comparison,SQL vs NoSQL,Relational vs Document,A,MongoDB is document-based,"schema-less, horizontal scaling; SQL is table-based, schema-required, vertical scaling.",Comparison,https://www.mongodb.com/compare/mongodb-vs-mysql,https://youtube.com/results?search_query=mongodb+vs+sql,https://youtube.com/results?search_query=mongodb+vs+sql+hindi,https://youtube.com/results?search_query=mongodb+vs+sql+kannada,https://youtube.com/results?search_query=mongodb+vs+sql+tamil,https://youtube.com/results?search_query=mongodb+vs+sql+telugu
Mongodb,Basic,How to start MongoDB server?,Installation,Server,Startup,Basic commands,A,Run `mongod` command or `mongosh` for MongoDB shell.,Installation,https://www.mongodb.com/docs/manual/tutorial/install-mongodb-on-windows/,https://youtube.com/results?search_query=start+mongodb+server,https://youtube.com/results?search_query=start+mongodb+server+hindi,https://youtube.com/results?search_query=start+mongodb+server+kannada,https://youtube.com/results?search_query=start+mongodb+server+tamil,https://youtube.com/results?search_query=start+mongodb+server+telugu
Mongodb,Basic,How to connect to MongoDB using shell?,CLI,Mongo shell,Connection,Basic commands,A,Run `mongosh` or `mongo` command in terminal.,Mongo Shell,https://www.mongodb.com/docs/mongodb-shell/,https://youtube.com/results?search_query=connect+to+mongodb+shell,https://youtube.com/results?search_query=connect+to+mongodb+shell+hindi,https://youtube.com/results?search_query=connect+to+mongodb+shell+kannada,https://youtube.com/results?search_query=connect+to+mongodb+shell+tamil,https://youtube.com/results?search_query=connect+to+mongodb+shell+telugu
Mongodb,Basic,How to show all databases?,CRUD,Show databases,Information,Basic commands,A,`show dbs` or `show databases` in MongoDB shell.,Basic Commands,https://www.mongodb.com/docs/manual/reference/method/db.getSiblingDB/,https://youtube.com/results?search_query=mongodb+show+databases,https://youtube.com/results?search_query=mongodb+show+databases+hindi,https://youtube.com/results?search_query=mongodb+show+databases+kannada,https://youtube.com/results?search_query=mongodb+show+databases+tamil,https://youtube.com/results?search_query=mongodb+show+databases+telugu
