skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
HTML,Advanced,Which API allows drawing graphics via JavaScript?,Canvas API,Storage API,Fetch API,History API,A,Canvas API enables dynamic graphics rendering.,Canvas & SVG,https://developer.mozilla.org/en-US/docs/Web/API/Canvas_API,https://youtube.com/results?search_query=html+canvas+advanced,https://youtube.com/results?search_query=html+canvas+hindi,https://youtube.com/results?search_query=html+canvas+kannada,https://youtube.com/results?search_query=html+canvas+tamil,https://youtube.com/results?search_query=html+canvas+telugu
HTML,Advanced,Which tag defines vector graphics?,<svg>,<vector>,<graphic>,<draw>,A,SVG creates scalable vector graphics.,Canvas & SVG,https://developer.mozilla.org/en-US/docs/Web/SVG,https://youtube.com/results?search_query=html+svg+tutorial,https://youtube.com/results?search_query=html+svg+hindi,https://youtube.com/results?search_query=html+svg+kannada,https://youtube.com/results?search_query=html+svg+tamil,https://youtube.com/results?search_query=html+svg+telugu
HTML,Advanced,Which attribute makes element editable?,contenteditable,editable,modify,write,A,contenteditable allows inline editing.,Global Attributes,https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/contenteditable,https://youtube.com/results?search_query=html+contenteditable,https://youtube.com/results?search_query=html+contenteditable+hindi,https://youtube.com/results?search_query=html+contenteditable+kannada,https://youtube.com/results?search_query=html+contenteditable+tamil,https://youtube.com/results?search_query=html+contenteditable+telugu
HTML,Advanced,Which attribute stores custom data?,data-*,custom-*,store-*,meta-*,A,data-* stores custom data attributes.,Global Attributes,https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/data-*,https://youtube.com/results?search_query=html+data+attributes,https://youtube.com/results?search_query=html+data+attributes+hindi,https://youtube.com/results?search_query=html+data+attributes+kannada,https://youtube.com/results?search_query=html+data+attributes+tamil,https://youtube.com/results?search_query=html+data+attributes+telugu
HTML,Advanced,Which element embeds another webpage?,<iframe>,<embed>,<frame>,<object>,A,Iframe embeds external page.,Iframes,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/iframe,https://youtube.com/results?search_query=html+iframe+advanced,https://youtube.com/results?search_query=html+iframe+hindi,https://youtube.com/results?search_query=html+iframe+kannada,https://youtube.com/results?search_query=html+iframe+tamil,https://youtube.com/results?search_query=html+iframe+telugu

HTML,Advanced,Which tag defines audio content?,<audio>,<sound>,<music>,<media>,A,Audio embeds sound.,Media,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/audio,https://youtube.com/results?search_query=html+audio+video+advanced,https://youtube.com/results?search_query=html+audio+video+hindi,https://youtube.com/results?search_query=html+audio+video+kannada,https://youtube.com/results?search_query=html+audio+video+tamil,https://youtube.com/results?search_query=html+audio+video+telugu
HTML,Advanced,Which tag defines video?,<video>,<movie>,<media>,<play>,A,Video embeds videos.,Media,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/video,https://youtube.com/results?search_query=html+audio+video+advanced,https://youtube.com/results?search_query=html+audio+video+hindi,https://youtube.com/results?search_query=html+audio+video+kannada,https://youtube.com/results?search_query=html+audio+video+tamil,https://youtube.com/results?search_query=html+audio+video+telugu
HTML,Advanced,Which tag adds subtitles?,<track>,<subtitle>,<text>,<caption>,A,Track provides subtitles.,Media,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/track,https://youtube.com/results?search_query=html+audio+video+advanced,https://youtube.com/results?search_query=html+audio+video+hindi,https://youtube.com/results?search_query=html+audio+video+kannada,https://youtube.com/results?search_query=html+audio+video+tamil,https://youtube.com/results?search_query=html+audio+video+telugu
HTML,Advanced,Which attribute allows autoplay?,autoplay,auto,start,play,A,Autoplay starts media automatically.,Media,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/video#attr-autoplay,https://youtube.com/results?search_query=html+audio+video+advanced,https://youtube.com/results?search_query=html+audio+video+hindi,https://youtube.com/results?search_query=html+audio+video+kannada,https://youtube.com/results?search_query=html+audio+video+tamil,https://youtube.com/results?search_query=html+audio+video+telugu
HTML,Advanced,Which attribute loops media?,loop,repeat,cycle,again,A,Loop repeats media.,Media,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/video#attr-loop,https://youtube.com/results?search_query=html+audio+video+advanced,https://youtube.com/results?search_query=html+audio+video+hindi,https://youtube.com/results?search_query=html+audio+video+kannada,https://youtube.com/results?search_query=html+audio+video+tamil,https://youtube.com/results?search_query=html+audio+video+telugu

HTML,Advanced,Which meta tag enables responsiveness?,viewport,screen,device,responsive,A,Viewport controls layout scaling.,Meta & SEO,https://developer.mozilla.org/en-US/docs/Web/HTML/Viewport_meta_tag,https://youtube.com/results?search_query=html+meta+tags+advanced,https://youtube.com/results?search_query=html+meta+tags+hindi,https://youtube.com/results?search_query=html+meta+tags+kannada,https://youtube.com/results?search_query=html+meta+tags+tamil,https://youtube.com/results?search_query=html+meta+tags+telugu
HTML,Advanced,Which meta tag defines charset?,charset,encoding,type,lang,A,Charset defines encoding.,Meta & SEO,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/meta,https://youtube.com/results?search_query=html+meta+tags+advanced,https://youtube.com/results?search_query=html+meta+tags+hindi,https://youtube.com/results?search_query=html+meta+tags+kannada,https://youtube.com/results?search_query=html+meta+tags+tamil,https://youtube.com/results?search_query=html+meta+tags+telugu
HTML,Advanced,Which tag links external CSS?,<link>,<style>,<css>,<script>,A,Link connects CSS file.,Meta & SEO,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/link,https://youtube.com/results?search_query=html+meta+tags+advanced,https://youtube.com/results?search_query=html+meta+tags+hindi,https://youtube.com/results?search_query=html+meta+tags+kannada,https://youtube.com/results?search_query=html+meta+tags+tamil,https://youtube.com/results?search_query=html+meta+tags+telugu
HTML,Advanced,Which attribute specifies language?,lang,language,locale,type,A,Lang defines page language.,Meta & SEO,https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/lang,https://youtube.com/results?search_query=html+meta+tags+advanced,https://youtube.com/results?search_query=html+meta+tags+hindi,https://youtube.com/results?search_query=html+meta+tags+kannada,https://youtube.com/results?search_query=html+meta+tags+tamil,https://youtube.com/results?search_query=html+meta+tags+telugu
HTML,Advanced,Which tag defines base URL?,<base>,<url>,<root>,<home>,A,Base sets base URL.,Meta & SEO,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/base,https://youtube.com/results?search_query=html+meta+tags+advanced,https://youtube.com/results?search_query=html+meta+tags+hindi,https://youtube.com/results?search_query=html+meta+tags+kannada,https://youtube.com/results?search_query=html+meta+tags+tamil,https://youtube.com/results?search_query=html+meta+tags+telugu
