skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
MongoDB,Intermediate,What's the difference between find() and findOne() methods?,Query methods,Single document,Multiple documents,Result format,A,find() returns cursor for multiple documents; findOne() returns single document or null.,Querying,https://docs.mongodb.com/manual/reference/method/db.collection.findOne/,https://youtube.com/results?search_query=mongodb+find+vs+findOne,https://youtube.com/results?search_query=mongodb+find+vs+findOne+hindi,https://youtube.com/results?search_query=mongodb+find+vs+findOne+kannada,https://youtube.com/results?search_query=mongodb+find+vs+findOne+tamil,https://youtube.com/results?search_query=mongodb+find+vs+findOne+telugu
MongoDB,Intermediate,How do you create indexes in MongoDB?,Performance optimization,Query speed,Index creation,Schema design,A,"Use createIndex() method with field specification and optional index type (unique, sparse, etc.).",Indexes,https://docs.mongodb.com/manual/indexes/,https://youtube.com/results?search_query=mongodb+create+indexes,https://youtube.com/results?search_query=mongodb+create+indexes+hindi,https://youtube.com/results?search_query=mongodb+create+indexes+kannada,https://youtube.com/results?search_query=mongodb+create+indexes+tamil,https://youtube.com/results?search_query=mongodb+create+indexes+telugu
MongoDB,Intermediate,What's the purpose of aggregation pipeline in MongoDB?,Data processing,Aggregation framework,Pipeline stages,Data transformation,A,"Aggregation pipeline processes documents through stages (match, group, sort, project) for complex queries.",Aggregation,https://docs.mongodb.com/manual/aggregation/,https://youtube.com/results?search_query=mongodb+aggregation+pipeline,https://youtube.com/results?search_query=mongodb+aggregation+pipeline+hindi,https://youtube.com/results?search_query=mongodb+aggregation+pipeline+kannada,https://youtube.com/results?search_query=mongodb+aggregation+pipeline+tamil,https://youtube.com/results?search_query=mongodb+aggregation+pipeline+telugu
MongoDB,Intermediate,How do you perform joins in MongoDB using $lookup?,Joins,Related data,Multiple collections,Data relationships,A,"$lookup stage performs left outer join between collections, similar to SQL JOIN operations.",Aggregation,https://docs.mongodb.com/manual/reference/operator/aggregation/lookup/,https://youtube.com/results?search_query=mongodb+lookup+join,https://youtube.com/results?search_query=mongodb+lookup+join+hindi,https://youtube.com/results?search_query=mongodb+lookup+join+kannada,https://youtube.com/results?search_query=mongodb+lookup+join+tamil,https://youtube.com/results?search_query=mongodb+lookup+join+telugu
MongoDB,Intermediate,What's the difference between updateOne() and updateMany()?,Update operations,Single document,Multiple documents,Batch updates,A,updateOne() updates first matching document; updateMany() updates all matching documents.,Updates,https://docs.mongodb.com/manual/reference/method/db.collection.updateMany/,https://youtube.com/results?search_query=mongodb+updateOne+vs+updateMany,https://youtube.com/results?search_query=mongodb+updateOne+vs+updateMany+hindi,https://youtube.com/results?search_query=mongodb+updateOne+vs+updateMany+kannada,https://youtube.com/results?search_query=mongodb+updateOne+vs+updateMany+tamil,https://youtube.com/results?search_query=mongodb+updateOne+vs+updateMany+telugu
MongoDB,Intermediate,How do you implement transactions in MongoDB?,ACID properties,Multi-document transactions,Data consistency,Atomicity,A,"Use sessions with startTransaction(), commitTransaction(), abortTransaction() for multi-document ops.",Transactions,https://docs.mongodb.com/manual/core/transactions/,https://youtube.com/results?search_query=mongodb+transactions,https://youtube.com/results?search_query=mongodb+transactions+hindi,https://youtube.com/results?search_query=mongodb+transactions+kannada,https://youtube.com/results?search_query=mongodb+transactions+tamil,https://youtube.com/results?search_query=mongodb+transactions+telugu
MongoDB,Intermediate,What's the purpose of $match and $group stages in aggregation?,Pipeline stages,Filtering,Grouping operations,Data aggregation,A,$match filters documents; $group groups documents by specified _id and applies accumulator operations.,Aggregation,https://docs.mongodb.com/manual/reference/operator/aggregation/match/,https://youtube.com/results?search_query=mongodb+match+group+stages,https://youtube.com/results?search_query=mongodb+match+group+stages+hindi,https://youtube.com/results?search_query=mongodb+match+group+stages+kannada,https://youtube.com/results?search_query=mongodb+match+group+stages+tamil,https://youtube.com/results?search_query=mongodb+match+group+stages+telugu
MongoDB,Intermediate,How do you handle replica sets in MongoDB?,High availability,Data replication,Failover,Read scaling,A,Replica sets provide redundancy and automatic failover with primary-secondary architecture.,Replication,https://docs.mongodb.com/manual/replication/,https://youtube.com/results?search_query=mongodb+replica+sets,https://youtube.com/results?search_query=mongodb+replica+sets+hindi,https://youtube.com/results?search_query=mongodb+replica+sets+kannada,https://youtube.com/results?search_query=mongodb+replica+sets+tamil,https://youtube.com/results?search_query=mongodb+replica+sets+telugu
MongoDB,Intermediate,What's the difference between embedded documents and references?,Data modeling,Relationships,Normalization,Denormalization,A,Embedded: nest documents (denormalized); References: store IDs and join (normalized).,Data Modeling,https://docs.mongodb.com/manual/core/data-model-design/,https://youtube.com/results?search_query=mongodb+embedded+vs+references,https://youtube.com/results?search_query=mongodb+embedded+vs+references+hindi,https://youtube.com/results?search_query=mongodb+embedded+vs+references+kannada,https://youtube.com/results?search_query=mongodb+embedded+vs+references+tamil,https://youtube.com/results?search_query=mongodb+embedded+vs+references+telugu
MongoDB,Intermediate,How do you implement text search in MongoDB?,Full-text search,Text indexing,Search relevance,Text queries,A,"Create text index on fields, use $text operator with $search for text search with scoring.",Indexes,https://docs.mongodb.com/manual/text-search/,https://youtube.com/results?search_query=mongodb+text+search,https://youtube.com/results?search_query=mongodb+text+search+hindi,https://youtube.com/results?search_query=mongodb+text+search+kannada,https://youtube.com/results?search_query=mongodb+text+search+tamil,https://youtube.com/results?search_query=mongodb+text+search+telugu
MongoDB,Intermediate,What's the purpose of sharding in MongoDB?,Horizontal scaling,Data distribution,Cluster scaling,Shard key,A,Sharding distributes data across multiple servers for horizontal scaling and load distribution.,Sharding,https://docs.mongodb.com/manual/sharding/,https://youtube.com/results?search_query=mongodb+sharding,https://youtube.com/results?search_query=mongodb+sharding+hindi,https://youtube.com/results?search_query=mongodb+sharding+kannada,https://youtube.com/results?search_query=mongodb+sharding+tamil,https://youtube.com/results?search_query=mongodb+sharding+telugu
MongoDB,Intermediate,How do you use $project stage in aggregation?,Field projection,Field inclusion/exclusion,Field transformation,Reshaping data,A,"$project includes, excludes, or transforms fields in output documents (1 to include, 0 to exclude).",Aggregation,https://docs.mongodb.com/manual/reference/operator/aggregation/project/,https://youtube.com/results?search_query=mongodb+project+stage,https://youtube.com/results?search_query=mongodb+project+stage+hindi,https://youtube.com/results?search_query=mongodb+project+stage+kannada,https://youtube.com/results?search_query=mongodb+project+stage+tamil,https://youtube.com/results?search_query=mongodb+project+stage+telugu
MongoDB,Intermediate,What's the difference between $push and $addToSet array operators?,Array operators,Duplicate handling,Array updates,Set operations,A,$push adds element to array; $addToSet adds only if element doesn't exist (set semantics).,Updates,https://docs.mongodb.com/manual/reference/operator/update/push/,https://youtube.com/results?search_query=mongodb+push+vs+addToSet,https://youtube.com/results?search_query=mongodb+push+vs+addToSet+hindi,https://youtube.com/results?search_query=mongodb+push+vs+addToSet+kannada,https://youtube.com/results?search_query=mongodb+push+vs+addToSet+tamil,https://youtube.com/results?search_query=mongodb+push+vs+addToSet+telugu
MongoDB,Intermediate,How do you implement compound indexes in MongoDB?,Multi-field indexes,Query optimization,Index combinations,Sort order,A,"Create index on multiple fields: db.collection.createIndex({field1: 1, field2: -1}).",Indexes,https://docs.mongodb.com/manual/core/index-compound/,https://youtube.com/results?search_query=mongodb+compound+indexes,https://youtube.com/results?search_query=mongodb+compound+indexes+hindi,https://youtube.com/results?search_query=mongodb+compound+indexes+kannada,https://youtube.com/results?search_query=mongodb+compound+indexes+tamil,https://youtube.com/results?search_query=mongodb+compound+indexes+telugu
MongoDB,Intermediate,What's the purpose of $unwind stage in aggregation?,Array deconstruction,Document generation,Array elements,Multiple documents,A,"$unwind deconstructs array field, outputting one document per array element for processing.",Aggregation,https://docs.mongodb.com/manual/reference/operator/aggregation/unwind/,https://youtube.com/results?search_query=mongodb+unwind+stage,https://youtube.com/results?search_query=mongodb+unwind+stage+hindi,https://youtube.com/results?search_query=mongodb+unwind+stage+kannada,https://youtube.com/results?search_query=mongodb+unwind+stage+tamil,https://youtube.com/results?search_query=mongodb+unwind+stage+telugu
MongoDB,Intermediate,How do you handle database backups in MongoDB?,Backup strategies,Data protection,Mongodump,Mongoexport,A,"Use mongodump for binary backups, mongoexport for JSON/CSV, or filesystem snapshots.",Backup,https://docs.mongodb.com/database-tools/mongodump/,https://youtube.com/results?search_query=mongodb+backups,https://youtube.com/results?search_query=mongodb+backups+hindi,https://youtube.com/results?search_query=mongodb+backups+kannada,https://youtube.com/results?search_query=mongodb+backups+tamil,https://youtube.com/results?search_query=mongodb+backups+telugu
MongoDB,Intermediate,What's the difference between find() and aggregate()?,Query methods,Cursor vs pipeline,Simple vs complex,Performance,A,find() for simple queries; aggregate() for complex data processing with pipeline stages.,Querying,https://docs.mongodb.com/manual/aggregation/,https://youtube.com/results?search_query=mongodb+find+vs+aggregate,https://youtube.com/results?search_query=mongodb+find+vs+aggregate+hindi,https://youtube.com/results?search_query=mongodb+find+vs+aggregate+kannada,https://youtube.com/results?search_query=mongodb+find+vs+aggregate+tamil,https://youtube.com/results?search_query=mongodb+find+vs+aggregate+telugu
MongoDB,Intermediate,How do you implement geospatial queries in MongoDB?,Location data,Geo queries,Spatial indexes,Location search,A,"Create 2dsphere index, use $near, $geoWithin, $geoIntersects operators for location queries.",Indexes,https://docs.mongodb.com/manual/geospatial-queries/,https://youtube.com/results?search_query=mongodb+geospatial+queries,https://youtube.com/results?search_query=mongodb+geospatial+queries+hindi,https://youtube.com/results?search_query=mongodb+geospatial+queries+kannada,https://youtube.com/results?search_query=mongodb+geospatial+queries+tamil,https://youtube.com/results?search_query=mongodb+geospatial+queries+telugu
MongoDB,Intermediate,What's the purpose of $sort stage in aggregation?,Sorting,Ordering results,Sort criteria,Performance impact,A,"$sort orders documents by specified fields (1 ascending, -1 descending); memory intensive.",Aggregation,https://docs.mongodb.com/manual/reference/operator/aggregation/sort/,https://youtube.com/results?search_query=mongodb+sort+stage,https://youtube.com/results?search_query=mongodb+sort+stage+hindi,https://youtube.com/results?search_query=mongodb+sort+stage+kannada,https://youtube.com/results?search_query=mongodb+sort+stage+tamil,https://youtube.com/results?search_query=mongodb+sort+stage+telugu
MongoDB,Intermediate,How do you use $elemMatch in queries?,Array queries,Element matching,Nested arrays,Query conditions,A,$elemMatch matches documents where array contains at least one element satisfying all conditions.,Querying,https://docs.mongodb.com/manual/reference/operator/query/elemMatch/,https://youtube.com/results?search_query=mongodb+elemMatch,https://youtube.com/results?search_query=mongodb+elemMatch+hindi,https://youtube.com/results?search_query=mongodb+elemMatch+kannada,https://youtube.com/results?search_query=mongodb+elemMatch+tamil,https://youtube.com/results?search_query=mongodb+elemMatch+telugu
MongoDB,Intermediate,What's the difference between $inc and $set update operators?,Update operators,Increment operations,Field modification,Atomic updates,A,$inc increments numeric field by specified value; $set sets field to specified value.,Updates,https://docs.mongodb.com/manual/reference/operator/update/inc/,https://youtube.com/results?search_query=mongodb+inc+vs+set,https://youtube.com/results?search_query=mongodb+inc+vs+set+hindi,https://youtube.com/results?search_query=mongodb+inc+vs+set+kannada,https://youtube.com/results?search_query=mongodb+inc+vs+set+tamil,https://youtube.com/results?search_query=mongodb+inc+vs+set+telugu
MongoDB,Intermediate,How do you implement change streams in MongoDB?,Real-time changes,Event streaming,Data changes,Notifications,A,"Change streams watch collections for changes (insert, update, delete), return change events.",Change Streams,https://docs.mongodb.com/manual/changeStreams/,https://youtube.com/results?search_query=mongodb+change+streams,https://youtube.com/results?search_query=mongodb+change+streams+hindi,https://youtube.com/results?search_query=mongodb+change+streams+kannada,https://youtube.com/results?search_query=mongodb+change+streams+tamil,https://youtube.com/results?search_query=mongodb+change+streams+telugu
MongoDB,Intermediate,What's the purpose of $facet stage in aggregation?,Multiple aggregations,Bucket processing,Faceted search,Parallel pipelines,A,"$facet processes multiple aggregation pipelines within single stage, outputs multiple results.",Aggregation,https://docs.mongodb.com/manual/reference/operator/aggregation/facet/,https://youtube.com/results?search_query=mongodb+facet+stage,https://youtube.com/results?search_query=mongodb+facet+stage+hindi,https://youtube.com/results?search_query=mongodb+facet+stage+kannada,https://youtube.com/results?search_query=mongodb+facet+stage+tamil,https://youtube.com/results?search_query=mongodb+facet+stage+telugu
MongoDB,Intermediate,How do you handle connection pooling in MongoDB?,Performance,Connection management,Resource optimization,Pool size,A,"Configure minPoolSize, maxPoolSize in connection string; driver manages pool automatically.",Performance,https://docs.mongodb.com/drivers/connection-pooling/,https://youtube.com/results?search_query=mongodb+connection+pooling,https://youtube.com/results?search_query=mongodb+connection+pooling+hindi,https://youtube.com/results?search_query=mongodb+connection+pooling+kannada,https://youtube.com/results?search_query=mongodb+connection+pooling+tamil,https://youtube.com/results?search_query=mongodb+connection+pooling+telugu
MongoDB,Intermediate,What's the difference between $and and $or query operators?,Logical operators,Condition combinations,Query logic,Boolean operations,A,$and joins clauses with AND; $or joins clauses with OR (at least one condition true).,Querying,https://docs.mongodb.com/manual/reference/operator/query/and/,https://youtube.com/results?search_query=mongodb+and+vs+or,https://youtube.com/results?search_query=mongodb+and+vs+or+hindi,https://youtube.com/results?search_query=mongodb+and+vs+or+kannada,https://youtube.com/results?search_query=mongodb+and+vs+or+tamil,https://youtube.com/results?search_query=mongodb+and+vs+or+telugu
MongoDB,Intermediate,How do you implement TTL indexes in MongoDB?,Time-based data,Automatic expiration,Document TTL,Data cleanup,A,"Create TTL index: db.collection.createIndex({field: 1}, {expireAfterSeconds: 3600}).",Indexes,https://docs.mongodb.com/manual/core/index-ttl/,https://youtube.com/results?search_query=mongodb+ttl+indexes,https://youtube.com/results?search_query=mongodb+ttl+indexes+hindi,https://youtube.com/results?search_query=mongodb+ttl+indexes+kannada,https://youtube.com/results?search_query=mongodb+ttl+indexes+tamil,https://youtube.com/results?search_query=mongodb+ttl+indexes+telugu
MongoDB,Intermediate,What's the purpose of $graphLookup stage in aggregation?,Graph traversal,Recursive lookups,Hierarchical data,Tree traversal,A,"$graphLookup performs recursive search on collection, useful for hierarchical/graph data.",Aggregation,https://docs.mongodb.com/manual/reference/operator/aggregation/graphLookup/,https://youtube.com/results?search_query=mongodb+graphLookup,https://youtube.com/results?search_query=mongodb+graphLookup+hindi,https://youtube.com/results?search_query=mongodb+graphLookup+kannada,https://youtube.com/results?search_query=mongodb+graphLookup+tamil,https://youtube.com/results?search_query=mongodb+graphLookup+telugu
MongoDB,Intermediate,How do you use $regex operator for pattern matching?,Pattern matching,Regular expressions,Text patterns,Wildcard search,A,"Use $regex operator in queries: {field: {$regex: 'pattern', $options: 'i'}} for case-insensitive.",Querying,https://docs.mongodb.com/manual/reference/operator/query/regex/,https://youtube.com/results?search_query=mongodb+regex,https://youtube.com/results?search_query=mongodb+regex+hindi,https://youtube.com/results?search_query=mongodb+regex+kannada,https://youtube.com/results?search_query=mongodb+regex+tamil,https://youtube.com/results?search_query=mongodb+regex+telugu
MongoDB,Intermediate,What's the difference between $pull and $pullAll array operators?,Array removal,Element removal,Multiple elements,Conditional removal,A,$pull removes all elements matching query; $pullAll removes all elements matching values in array.,Updates,https://docs.mongodb.com/manual/reference/operator/update/pull/,https://youtube.com/results?search_query=mongodb+pull+vs+pullAll,https://youtube.com/results?search_query=mongodb+pull+vs+pullAll+hindi,https://youtube.com/results?search_query=mongodb+pull+vs+pullAll+kannada,https://youtube.com/results?search_query=mongodb+pull+vs+pullAll+tamil,https://youtube.com/results?search_query=mongodb+pull+vs+pullAll+telugu
MongoDB,Intermediate,How do you implement bulk write operations in MongoDB?,Bulk operations,Batch writes,Performance optimization,Atomicity,A,"Use bulkWrite() with array of operations (insert, update, delete) for optimized batch processing.",Updates,https://docs.mongodb.com/manual/core/bulk-write-operations/,https://youtube.com/results?search_query=mongodb+bulk+write,https://youtube.com/results?search_query=mongodb+bulk+write+hindi,https://youtube.com/results?search_query=mongodb+bulk+write+kannada,https://youtube.com/results?search_query=mongodb+bulk+write+tamil,https://youtube.com/results?search_query=mongodb+bulk+write+telugu
MongoDB,Intermediate,What's the purpose of $bucket and $bucketAuto stages?,Bucketing,Data grouping,Histograms,Ranges,A,$bucket groups documents into buckets by specified boundaries; $bucketAuto creates equal buckets.,Aggregation,https://docs.mongodb.com/manual/reference/operator/aggregation/bucket/,https://youtube.com/results?search_query=mongodb+bucket+stages,https://youtube.com/results?search_query=mongodb+bucket+stages+hindi,https://youtube.com/results?search_query=mongodb+bucket+stages+kannada,https://youtube.com/results?search_query=mongodb+bucket+stages+tamil,https://youtube.com/results?search_query=mongodb+bucket+stages+telugu
MongoDB,Intermediate,How do you handle database migrations in MongoDB?,Schema evolution,Data migration,Version upgrades,Rolling updates,A,"Write migration scripts, use application-level versioning, or gradual schema updates.",Data Modeling,https://docs.mongodb.com/manual/core/data-model-operations/,https://youtube.com/results?search_query=mongodb+database+migrations,https://youtube.com/results?search_query=mongodb+database+migrations+hindi,https://youtube.com/results?search_query=mongodb+database+migrations+kannada,https://youtube.com/results?search_query=mongodb+database+migrations+tamil,https://youtube.com/results?search_query=mongodb+database+migrations+telugu
MongoDB,Intermediate,What's the difference between $exists and $type query operators?,Field existence,Type checking,Null values,Schema validation,A,"$exists checks if field exists; $type checks field's BSON type (string, number, array, etc.).",Querying,https://docs.mongodb.com/manual/reference/operator/query/exists/,https://youtube.com/results?search_query=mongodb+exists+vs+type,https://youtube.com/results?search_query=mongodb+exists+vs+type+hindi,https://youtube.com/results?search_query=mongodb+exists+vs+type+kannada,https://youtube.com/results?search_query=mongodb+exists+vs+type+tamil,https://youtube.com/results?search_query=mongodb+exists+vs+type+telugu
MongoDB,Intermediate,How do you implement covered queries in MongoDB?,Query optimization,Index-only queries,Performance,Covered indexes,A,"Create index that includes all fields in query and projection, so query uses only index.",Indexes,https://docs.mongodb.com/manual/core/query-optimization/#covered-query,https://youtube.com/results?search_query=mongodb+covered+queries,https://youtube.com/results?search_query=mongodb+covered+queries+hindi,https://youtube.com/results?search_query=mongodb+covered+queries+kannada,https://youtube.com/results?search_query=mongodb+covered+queries+tamil,https://youtube.com/results?search_query=mongodb+covered+queries+telugu
