skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Java,Intermediate,What are default methods in interfaces (Java 8)?,Java 8,Interfaces,Default methods,A,Default methods provide implementation in interfaces, allowing backward compatibility when adding new methods.,Java 8 Features,https://docs.oracle.com/javase/tutorial/java/IandI/defaultmethods.html,https://youtube.com/results?search_query=java+default+methods+interface,https://youtube.com/results?search_query=java+default+methods+interface+hindi,https://youtube.com/results?search_query=java+default+methods+interface+kannada,https://youtube.com/results?search_query=java+default+methods+interface+tamil,https://youtube.com/results?search_query=java+default+methods+interface+telugu
Java,Intermediate,What are static methods in interfaces (Java 8)?,Java 8,Interfaces,Static methods,A,Static methods in interfaces provide utility methods that belong to interface, not instances.,Java 8 Features,https://docs.oracle.com/javase/tutorial/java/IandI/defaultmethods.html,https://youtube.com/results?search_query=java+static+methods+interface,https://youtube.com/results?search_query=java+static+methods+interface+hindi,https://youtube.com/results?search_query=java+static+methods+interface+kannada,https://youtube.com/results?search_query=java+static+methods+interface+tamil,https://youtube.com/results?search_query=java+static+methods+interface+telugu
Java,Intermediate,What is the Stream API in Java 8?,Java 8,Streams,Functional programming,A,Stream API provides functional-style operations on collections: filter," map, reduce, collect.",Java 8 Features,https://docs.oracle.com/javase/8/docs/api/java/util/stream/Stream.html,https://youtube.com/results?search_query=java+stream+api,https://youtube.com/results?search_query=java+stream+api+hindi,https://youtube.com/results?search_query=java+stream+api+kannada,https://youtube.com/results?search_query=java+stream+api+tamil,https://youtube.com/results?search_query=java+stream+api+telugu
Java,Intermediate,What is the difference between intermediate and terminal operations in Stream API?,Java 8,Streams,Operations,A,Intermediate operations (filter," map) return Stream and are lazy; terminal operations (collect, forEach) produce result and close stream.",Java 8 Features,https://docs.oracle.com/javase/tutorial/collections/streams/,https://youtube.com/results?search_query=java+stream+intermediate+terminal+operations,https://youtube.com/results?search_query=java+stream+intermediate+terminal+operations+hindi,https://youtube.com/results?search_query=java+stream+intermediate+terminal+operations+kannada,https://youtube.com/results?search_query=java+stream+intermediate+terminal+operations+tamil,https://youtube.com/results?search_query=java+stream+intermediate+terminal+operations+telugu
Java,Intermediate,What are method references in Java 8?,Java 8,Method references,Syntactic sugar,A,Class::method shorthand for lambda expressions: System.out::println, String::length.,Java 8 Features,https://docs.oracle.com/javase/tutorial/java/javaOO/methodreferences.html,https://youtube.com/results?search_query=java+method+references,https://youtube.com/results?search_query=java+method+references+hindi,https://youtube.com/results?search_query=java+method+references+kannada,https://youtube.com/results?search_query=java+method+references+tamil,https://youtube.com/results?search_query=java+method+references+telugu
Java,Intermediate,What are Collectors in Stream API?,Java 8,Streams,Collectors,A,Collectors utility class provides reduction operations: toList()," groupingBy(), joining(), etc.",Java 8 Features,https://docs.oracle.com/javase/8/docs/api/java/util/stream/Collectors.html,https://youtube.com/results?search_query=java+collectors+stream,https://youtube.com/results?search_query=java+collectors+stream+hindi,https://youtube.com/results?search_query=java+collectors+stream+kannada,https://youtube.com/results?search_query=java+collectors+stream+tamil,https://youtube.com/results?search_query=java+collectors+stream+telugu
Java,Intermediate,What are CompletableFuture and its advantages over Future?,Java 8,Concurrency,Async programming,A,CompletableFuture provides non-blocking async programming," chaining, combining futures.",Concurrency,https://docs.oracle.com/javase/8/docs/api/java/util/concurrent/CompletableFuture.html,https://youtube.com/results?search_query=java+completablefuture,https://youtube.com/results?search_query=java+completablefuture+hindi,https://youtube.com/results?search_query=java+completablefuture+kannada,https://youtube.com/results?search_query=java+completablefuture+tamil,https://youtube.com/results?search_query=java+completablefuture+telugu
Java,Intermediate,What is the fail-fast vs fail-safe iterator behavior?,Collections,Iterators,Concurrent modification,A,Fail-fast throws ConcurrentModificationException; fail-safe works on copy, doesn't throw.,Collections Framework,https://docs.oracle.com/javase/8/docs/api/java/util/ConcurrentModificationException.html,https://youtube.com/results?search_query=java+fail+fast+vs+fail+safe,https://youtube.com/results?search_query=java+fail+fast+vs+fail+safe+hindi,https://youtube.com/results?search_query=java+fail+fast+vs+fail+safe+kannada,https://youtube.com/results?search_query=java+fail+fast+vs+fail+safe+tamil,https://youtube.com/results?search_query=java+fail+fast+vs+fail+safe+telugu
Java,Intermediate,What is the difference between ArrayList and LinkedList?,Collections,List implementations,Performance,A,ArrayList: array-based," fast random access; LinkedList: doubly-linked, fast insert/delete.",Collections Framework,https://docs.oracle.com/javase/tutorial/collections/implementations/list.html,https://youtube.com/results?search_query=java+arraylist+vs+linkedlist,https://youtube.com/results?search_query=java+arraylist+vs+linkedlist+hindi,https://youtube.com/results?search_query=java+arraylist+vs+linkedlist+kannada,https://youtube.com/results?search_query=java+arraylist+vs+linkedlist+tamil,https://youtube.com/results?search_query=java+arraylist+vs+linkedlist+telugu
Java,Intermediate,What is the difference between HashMap and HashTable?,Collections,Map implementations,Thread safety,A,HashMap not synchronized," allows null; HashTable synchronized, doesn't allow null.",Collections Framework,https://docs.oracle.com/javase/8/docs/api/java/util/HashMap.html,https://youtube.com/results?search_query=java+hashmap+vs+hashtable,https://youtube.com/results?search_query=java+hashmap+vs+hashtable+hindi,https://youtube.com/results?search_query=java+hashmap+vs+hashtable+kannada,https://youtube.com/results?search_query=java+hashmap+vs+hashtable+tamil,https://youtube.com/results?search_query=java+hashmap+vs+hashtable+telugu
