skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Topic,Basic,Question,Tag1,Tag2,Tag3,Tag4,Correct Option,Explanation,Category,Doc URL,Video Search EN,Video Search HI,Video Search KN,Video Search TA,Video Search TE
Opengl,Basic,What is OpenGL?,Basics,Introduction,Graphics API,Rendering,A,OpenGL (Open Graphics Library) is a cross-platform API for rendering 2D and 3D vector graphics.,Basics,https://www.opengl.org/,https://youtube.com/results?search_query=what+is+opengl,https://youtube.com/results?search_query=opengl+kya+hai+hindi,https://youtube.com/results?search_query=opengl+enu+andre+kannada,https://youtube.com/results?search_query=opengl+enna+tamil,https://youtube.com/results?search_query=opengl+enti+telugu
Opengl,Basic,Who maintains OpenGL?,Basics,Organization,Khronos Group,Maintenance,A,The Khronos Group maintains and develops the OpenGL specification.,Basics,https://www.khronos.org/opengl/,https://youtube.com/results?search_query=who+maintains+opengl,https://youtube.com/results?search_query=opengl+kaun+maintain+karta+hai+hindi,https://youtube.com/results?search_query=opengl+yaru+nadesutide+kannada,https://youtube.com/results?search_query=opengl+yar+pathukappu+tamil,https://youtube.com/results?search_query=opengl+evadu+maintain+chesthadu+telugu
Opengl,Basic,What is the latest version of OpenGL?,Basics,Versions,Modern OpenGL,Specification,A,"OpenGL 4.6 (as of knowledge cutoff, released July 2017).",Basics,https://www.khronos.org/registry/OpenGL/index_gl.php,https://youtube.com/results?search_query=latest+opengl+version,https://youtube.com/results?search_query=latest+opengl+version+hindi,https://youtube.com/results?search_query=latest+opengl+version+kannada,https://youtube.com/results?search_query=latest+opengl+version+tamil,https://youtube.com/results?search_query=latest+opengl+version+telugu
Opengl,Basic,What is GLSL?,Basics,Shaders,GLSL,Shader Language,A,GLSL (OpenGL Shading Language) is a C-like language used to write shaders for OpenGL.,Basics,https://www.khronos.org/opengl/wiki/OpenGL_Shading_Language,https://youtube.com/results?search_query=what+is+glsl,https://youtube.com/results?search_query=glsl+kya+hai+hindi,https://youtube.com/results?search_query=glsl+enu+andre+kannada,https://youtube.com/results?search_query=glsl+enna+tamil,https://youtube.com/results?search_query=glsl+enti+telugu
Opengl,Basic,What is a vertex shader?,Basics,Shaders,Vertex Shader,Pipeline,A,"A vertex shader processes each vertex, performing transformations and passing data to later pipeline stages.",Basics,https://www.khronos.org/opengl/wiki/Vertex_Shader,https://youtube.com/results?search_query=vertex+shader+opengl,https://youtube.com/results?search_query=vertex+shader+opengl+hindi,https://youtube.com/results?search_query=vertex+shader+opengl+kannada,https://youtube.com/results?search_query=vertex+shader+opengl+tamil,https://youtube.com/results?search_query=vertex+shader+opengl+telugu
Opengl,Basic,What is a fragment shader?,Basics,Shaders,Fragment Shader,Pixel Shader,A,"A fragment shader processes each fragment (potential pixel), determining its color and other attributes.",Basics,https://www.khronos.org/opengl/wiki/Fragment_Shader,https://youtube.com/results?search_query=fragment+shader+opengl,https://youtube.com/results?search_query=fragment+shader+opengl+hindi,https://youtube.com/results?search_query=fragment+shader+opengl+kannada,https://youtube.com/results?search_query=fragment+shader+opengl+tamil,https://youtube.com/results?search_query=fragment+shader+opengl+telugu
Opengl,Basic,What is VAO in OpenGL?,Basics,Objects,VAO,Vertex Array Object,A,VAO (Vertex Array Object) stores vertex attribute configurations and VBO bindings.,Basics,https://www.khronos.org/opengl/wiki/Vertex_Specification#Vertex_Array_Object,https://youtube.com/results?search_query=vao+opengl,https://youtube.com/results?search_query=vao+opengl+hindi,https://youtube.com/results?search_query=vao+opengl+kannada,https://youtube.com/results?search_query=vao+opengl+tamil,https://youtube.com/results?search_query=vao+opengl+telugu
Opengl,Basic,What is VBO in OpenGL?,Basics,Objects,VBO,Vertex Buffer Object,A,"VBO (Vertex Buffer Object) stores vertex data (positions, colors, normals, etc.) in GPU memory.",Basics,https://www.khronos.org/opengl/wiki/Vertex_Specification#Vertex_Buffer_Object,https://youtube.com/results?search_query=vbo+opengl,https://youtube.com/results?search_query=vbo+opengl+hindi,https://youtube.com/results?search_query=vbo+opengl+kannada,https://youtube.com/results?search_query=vbo+opengl+tamil,https://youtube.com/results?search_query=vbo+opengl+telugu
Opengl,Basic,What is EBO/IBO in OpenGL?,Basics,Objects,EBO,Element Buffer Object,A,EBO/IBO (Element Buffer Object/Index Buffer Object) stores indices for indexed drawing to reuse vertices.,Basics,https://www.khronos.org/opengl/wiki/Vertex_Specification#Element_buffer_objects,https://youtube.com/results?search_query=ebo+opengl,https://youtube.com/results?search_query=ebo+opengl+hindi,https://youtube.com/results?search_query=ebo+opengl+kannada,https://youtube.com/results?search_query=ebo+opengl+tamil,https://youtube.com/results?search_query=ebo+opengl+telugu
Opengl,Basic,What is a shader program in OpenGL?,Basics,Shaders,Program,Linking,A,"A shader program is a linked collection of shaders (vertex, fragment, etc.) that run on the GPU.",Basics,https://www.khronos.org/opengl/wiki/Shader_Compilation,https://youtube.com/results?search_query=shader+program+opengl,https://youtube.com/results?search_query=shader+program+opengl+hindi,https://youtube.com/results?search_query=shader+program+opengl+kannada,https://youtube.com/results?search_query=shader+program+opengl+tamil,https://youtube.com/results?search_query=shader+program+opengl+telugu
Opengl,Basic,What is glClearColor used for?,Basics,Functions,glClearColor,Background,A,glClearColor sets the color used when clearing the color buffer (background color).,Basics,https://www.khronos.org/registry/OpenGL-Refpages/gl4/html/glClearColor.xhtml,https://youtube.com/results?search_query=glClearColor+opengl,https://youtube.com/results?search_query=glClearColor+opengl+hindi,https://youtube.com/results?search_query=glClearColor+opengl+kannada,https://youtube.com/results?search_query=glClearColor+opengl+tamil,https://youtube.com/results?search_query=glClearColor+opengl+telugu
Opengl,Basic,What is glClear used for?,Basics,Functions,glClear,Clear Buffers,A,"glClear clears specified buffers (color, depth, stencil) to preset values.",Basics,https://www.khronos.org/registry/OpenGL-Refpages/gl4/html/glClear.xhtml,https://youtube.com/results?search_query=glClear+opengl,https://youtube.com/results?search_query=glClear+opengl+hindi,https://youtube.com/results?search_query=glClear+opengl+kannada,https://youtube.com/results?search_query=glClear+opengl+tamil,https://youtube.com/results?search_query=glClear+opengl+telugu
Opengl,Basic,What is glViewport used for?,Basics,Functions,glViewport,Viewport,A,glViewport sets the viewport rectangle where rendering will be displayed on the window.,Basics,https://www.khronos.org/registry/OpenGL-Refpages/gl4/html/glViewport.xhtml,https://youtube.com/results?search_query=glViewport+opengl,https://youtube.com/results?search_query=glViewport+opengl+hindi,https://youtube.com/results?search_query=glViewport+opengl+kannada,https://youtube.com/results?search_query=glViewport+opengl+tamil,https://youtube.com/results?search_query=glViewport+opengl+telugu
Opengl,Basic,What is glDrawArrays used for?,Basics,Rendering,glDrawArrays,Draw,A,glDrawArrays renders primitives from array data without using indices.,Basics,https://www.khronos.org/registry/OpenGL-Refpages/gl4/html/glDrawArrays.xhtml,https://youtube.com/results?search_query=glDrawArrays+opengl,https://youtube.com/results?search_query=glDrawArrays+opengl+hindi,https://youtube.com/results?search_query=glDrawArrays+opengl+kannada,https://youtube.com/results?search_query=glDrawArrays+opengl+tamil,https://youtube.com/results?search_query=glDrawArrays+opengl+telugu
