skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Technology,Basic,Question,Category1,Category2,Category3,Category4,Difficulty,Answer,Primary Topic,Official Docs Link,Youtube English,Youtube Hindi,Youtube Kannada,Youtube Tamil,Youtube Telugu
Jest,Basic,What command installs Jest in a project?,Setup,Installation,NPM,Configuration,A,npm install --save-dev jest,Installation,https://jestjs.io/docs/getting-started,https://youtube.com/results?search_query=jest+installation,https://youtube.com/results?search_query=jest+installation+hindi,https://youtube.com/results?search_query=jest+installation+kannada,https://youtube.com/results?search_query=jest+installation+tamil,https://youtube.com/results?search_query=jest+installation+telugu
Jest,Basic,How do you initialize Jest in package.json?,Configuration,Setup,NPM,Scripts,A,Add test: jest to scripts section,Configuration,https://jestjs.io/docs/getting-started,https://youtube.com/results?search_query=jest+package+json+setup,https://youtube.com/results?search_query=jest+package+json+setup+hindi,https://youtube.com/results?search_query=jest+package+json+setup+kannada,https://youtube.com/results?search_query=jest+package+json+setup+tamil,https://youtube.com/results?search_query=jest+package+json+setup+telugu
Jest,Basic,What's the basic file naming convention for Jest test files?,Naming,Conventions,File structure,Organization,A,*.test.js or *.spec.js,Naming Conventions,https://jestjs.io/docs/getting-started,https://youtube.com/results?search_query=jest+test+file+naming,https://youtube.com/results?search_query=jest+test+file+naming+hindi,https://youtube.com/results?search_query=jest+test+file+naming+kannada,https://youtube.com/results?search_query=jest+test+file+naming+tamil,https://youtube.com/results?search_query=jest+test+file+naming+telugu
Jest,Basic,How do you run all Jest tests?,Commands,Running tests,NPM,CLI,A,npm test or npx jest,Running Tests,https://jestjs.io/docs/cli,https://youtube.com/results?search_query=run+jest+tests,https://youtube.com/results?search_query=run+jest+tests+hindi,https://youtube.com/results?search_query=run+jest+tests+kannada,https://youtube.com/results?search_query=run+jest+tests+tamil,https://youtube.com/results?search_query=run+jest+tests+telugu
Jest,Basic,How do you run tests in watch mode?,Development,Watch mode,Hot reload,Productivity,A,npm test -- --watch or npx jest --watch,Watch Mode,https://jestjs.io/docs/cli#--watch,https://youtube.com/results?search_query=jest+watch+mode,https://youtube.com/results?search_query=jest+watch+mode+hindi,https://youtube.com/results?search_query=jest+watch+mode+kannada,https://youtube.com/results?search_query=jest+watch+mode+tamil,https://youtube.com/results?search_query=jest+watch+mode+telugu
Jest,Basic,What does the --coverage flag do in Jest?,Coverage,Reports,Metrics,Analysis,A,Generates code coverage report showing test coverage percentages,Coverage Reports,https://jestjs.io/docs/cli#--coverage,https://youtube.com/results?search_query=jest+coverage+report,https://youtube.com/results?search_query=jest+coverage+report+hindi,https://youtube.com/results?search_query=jest+coverage+report+kannada,https://youtube.com/results?search_query=jest+coverage+report+tamil,https://youtube.com/results?search_query=jest+coverage+report+telugu
Jest,Basic,How do you run a specific test file?,Commands,Filtering,Specific tests,Targeting,A,npx jest filename.test.js,Running Specific Tests,https://jestjs.io/docs/cli,https://youtube.com/results?search_query=jest+run+specific+file,https://youtube.com/results?search_query=jest+run+specific+file+hindi,https://youtube.com/results?search_query=jest+run+specific+file+kannada,https://youtube.com/results?search_query=jest+run+specific+file+tamil,https://youtube.com/results?search_query=jest+run+specific+file+telugu
Jest,Basic,What's the purpose of jest.config.js?,Configuration,Settings,Customization,Setup,A,To configure Jest options and customize test environment,Configuration Files,https://jestjs.io/docs/configuration,https://youtube.com/results?search_query=jest+config+js,https://youtube.com/results?search_query=jest+config+js+hindi,https://youtube.com/results?search_query=jest+config+js+kannada,https://youtube.com/results?search_query=jest+config+js+tamil,https://youtube.com/results?search_query=jest+config+js+telugu
Jest,Basic,How do you create a simple test in Jest?,Basic syntax,Test structure,Writing tests,Fundamentals,A,"test('description', () => { expect(value).toBe(expected); })",Test Structure,https://jestjs.io/docs/using-matchers,https://youtube.com/results?search_query=jest+basic+test,https://youtube.com/results?search_query=jest+basic+test+hindi,https://youtube.com/results?search_query=jest+basic+test+kannada,https://youtube.com/results?search_query=jest+basic+test+tamil,https://youtube.com/results?search_query=jest+basic+test+telugu
Jest,Basic,What's the basic structure of a test in Jest?,Syntax,Structure,Organization,Patterns,A,test() or it() with description string and callback function,Test Anatomy,https://jestjs.io/docs/api#testname-fn-timeout,https://youtube.com/results?search_query=jest+test+structure,https://youtube.com/results?search_query=jest+test+structure+hindi,https://youtube.com/results?search_query=jest+test+structure+kannada,https://youtube.com/results?search_query=jest+test+structure+tamil,https://youtube.com/results?search_query=jest+test+structure+telugu
Jest,Basic,How do you group related tests together?,Organization,Structure,Describe blocks,Grouping,A,Using describe() blocks to organize tests into logical groups,Test Organization,https://jestjs.io/docs/api#describename-fn,https://youtube.com/results?search_query=jest+describe+blocks,https://youtube.com/results?search_query=jest+describe+blocks+hindi,https://youtube.com/results?search_query=jest+describe+blocks+kannada,https://youtube.com/results?search_query=jest+describe+blocks+tamil,https://youtube.com/results?search_query=jest+describe+blocks+telugu
Jest,Basic,What command runs tests with verbose output?,CLI options,Verbose,Debugging,Output,A,npx jest --verbose,Verbose Output,https://jestjs.io/docs/cli#--verbose,https://youtube.com/results?search_query=jest+verbose+mode,https://youtube.com/results?search_query=jest+verbose+mode+hindi,https://youtube.com/results?search_query=jest+verbose+mode+kannada,https://youtube.com/results?search_query=jest+verbose+mode+tamil,https://youtube.com/results?search_query=jest+verbose+mode+telugu
Jest,Basic,How do you run tests matching a specific name pattern?,Filtering,Pattern matching,Test selection,CLI,A,npx jest -t test name pattern or jest --testNamePattern,Test Filtering,https://jestjs.io/docs/cli#--testnamepatternregex,https://youtube.com/results?search_query=jest+test+name+pattern,https://youtube.com/results?search_query=jest+test+name+pattern+hindi,https://youtube.com/results?search_query=jest+test+name+pattern+kannada,https://youtube.com/results?search_query=jest+test+name+pattern+tamil,https://youtube.com/results?search_query=jest+test+name+pattern+telugu
Jest,Basic,What's the purpose of setupFiles in Jest config?,Setup,Initialization,Configuration,Environment,A,To run setup files before executing tests for global configuration,Setup Configuration,https://jestjs.io/docs/configuration#setupfiles-array,https://youtube.com/results?search_query=jest+setupfiles,https://youtube.com/results?search_query=jest+setupfiles+hindi,https://youtube.com/results?search_query=jest+setupfiles+kannada,https://youtube.com/results?search_query=jest+setupfiles+tamil,https://youtube.com/results?search_query=jest+setupfiles+telugu
Jest,Basic,How do you exclude test files from running?,Configuration,Exclusion,Filtering,Ignore,A,Using testPathIgnorePatterns in jest.config.js,File Exclusion,https://jestjs.io/docs/configuration#testpathignorepatterns-arraystring,https://youtube.com/results?search_query=jest+exclude+tests,https://youtube.com/results?search_query=jest+exclude+tests+hindi,https://youtube.com/results?search_query=jest+exclude+tests+kannada,https://youtube.com/results?search_query=jest+exclude+tests+tamil,https://youtube.com/results?search_query=jest+exclude+tests+telugu
Jest,Basic,What matcher checks for exact equality?,Matchers,Assertions,Equality,Comparison,A,"toBe() for primitives, toEqual() for objects and arrays",Equality Matchers,https://jestjs.io/docs/expect#tobevalue,https://youtube.com/results?search_query=jest+tobe+matcher,https://youtube.com/results?search_query=jest+tobe+matcher+hindi,https://youtube.com/results?search_query=jest+tobe+matcher+kannada,https://youtube.com/results?search_query=jest+tobe+matcher+tamil,https://youtube.com/results?search_query=jest+tobe+matcher+telugu
Jest,Basic,How do you test if a value is truthy?,Matchers,Truthiness,Boolean,Assertions,A,expect(value).toBeTruthy(),Truthy Matchers,https://jestjs.io/docs/expect#tobetruthy,https://youtube.com/results?search_query=jest+tobetruthy,https://youtube.com/results?search_query=jest+tobetruthy+hindi,https://youtube.com/results?search_query=jest+tobetruthy+kannada,https://youtube.com/results?search_query=jest+tobetruthy+tamil,https://youtube.com/results?search_query=jest+tobetruthy+telugu
Jest,Basic,What matcher checks if a value is null?,Matchers,Null,Assertions,Comparison,A,expect(value).toBeNull(),Null Matchers,https://jestjs.io/docs/expect#tobenull,https://youtube.com/results?search_query=jest+tobenull,https://youtube.com/results?search_query=jest+tobenull+hindi,https://youtube.com/results?search_query=jest+tobenull+kannada,https://youtube.com/results?search_query=jest+tobenull+tamil,https://youtube.com/results?search_query=jest+tobenull+telugu
Jest,Basic,How do you test if a value is undefined?,Matchers,Undefined,Assertions,Existence,A,expect(value).toBeUndefined(),Undefined Matchers,https://jestjs.io/docs/expect#tobeundefined,https://youtube.com/results?search_query=jest+tobeundefined,https://youtube.com/results?search_query=jest+tobeundefined+hindi,https://youtube.com/results?search_query=jest+tobeundefined+kannada,https://youtube.com/results?search_query=jest+tobeundefined+tamil,https://youtube.com/results?search_query=jest+tobeundefined+telugu
Jest,Basic,What matcher checks if a number is greater than another?,Matchers,Numbers,Comparison,Assertions,A,expect(value).toBeGreaterThan(threshold),Number Matchers,https://jestjs.io/docs/expect#tobegreaterthannumber,https://youtube.com/results?search_query=jest+tobegreaterthan,https://youtube.com/results?search_query=jest+tobegreaterthan+hindi,https://youtube.com/results?search_query=jest+tobegreaterthan+kannada,https://youtube.com/results?search_query=jest+tobegreaterthan+tamil,https://youtube.com/results?search_query=jest+tobegreaterthan+telugu
Jest,Basic,How do you test if an array contains a specific item?,Matchers,Arrays,Containment,Assertions,A,expect(array).toContain(item),Array Matchers,https://jestjs.io/docs/expect#tocontainitem,https://youtube.com/results?search_query=jest+tocontain,https://youtube.com/results?search_query=jest+tocontain+hindi,https://youtube.com/results?search_query=jest+tocontain+kannada,https://youtube.com/results?search_query=jest+tocontain+tamil,https://youtube.com/results?search_query=jest+tocontain+telugu
Jest,Basic,What matcher checks if a string matches a regex?,Matchers,String,Regex,Pattern matching,A,expect(string).toMatch(regex),String Matchers,https://jestjs.io/docs/expect#tomatchregexp--string,https://youtube.com/results?search_query=jest+tomatch+regex,https://youtube.com/results?search_query=jest+tomatch+regex+hindi,https://youtube.com/results?search_query=jest+tomatch+regex+kannada,https://youtube.com/results?search_query=jest+tomatch+regex+tamil,https://youtube.com/results?search_query=jest+tomatch+regex+telugu
Jest,Basic,How do you test if an object has a specific property?,Matchers,Objects,Properties,Assertions,A,expect(object).toHaveProperty('prop'),Object Matchers,https://jestjs.io/docs/expect#tohavepropertykeypath-value,https://youtube.com/results?search_query=jest+tohaveproperty,https://youtube.com/results?search_query=jest+tohaveproperty+hindi,https://youtube.com/results?search_query=jest+tohaveproperty+kannada,https://youtube.com/results?search_query=jest+tohaveproperty+tamil,https://youtube.com/results?search_query=jest+tohaveproperty+telugu
Jest,Basic,What matcher checks if a function throws an error?,Matchers,Errors,Exception handling,Assertions,A,expect(fn).toThrow() or expect(fn).toThrowError(),Error Matchers,https://jestjs.io/docs/expect#tothrowerror,https://youtube.com/results?search_query=jest+tothrow,https://youtube.com/results?search_query=jest+tothrow+hindi,https://youtube.com/results?search_query=jest+tothrow+kannada,https://youtube.com/results?search_query=jest+tothrow+tamil,https://youtube.com/results?search_query=jest+tothrow+telugu
Jest,Basic,How do you test if a value is NaN?,Matchers,NaN,Special values,Assertions,A,expect(value).toBeNaN(),Special Value Matchers,https://jestjs.io/docs/expect#tobenan,https://youtube.com/results?search_query=jest+tobenan,https://youtube.com/results?search_query=jest+tobenan+hindi,https://youtube.com/results?search_query=jest+tobenan+kannada,https://youtube.com/results?search_query=jest+tobenan+tamil,https://youtube.com/results?search_query=jest+tobenan+telugu
Jest,Basic,What's the difference between toBe and toEqual?,Matchers,Equality,Deep comparison,Assertions,A,"toBe() uses === for strict equality, toEqual() does deep equality for objects and arrays",Equality Comparison,https://jestjs.io/docs/expect#tobevalue,https://youtube.com/results?search_query=jest+tobe+vs+toequal,https://youtube.com/results?search_query=jest+tobe+vs+toequal+hindi,https://youtube.com/results?search_query=jest+tobe+vs+toequal+kannada,https://youtube.com/results?search_query=jest+tobe+vs+toequal+tamil,https://youtube.com/results?search_query=jest+tobe+vs+toequal+telugu
Jest,Basic,How do you test for approximate equality with numbers?,Matchers,Numbers,Approximation,Floating point,A,"expect(value).toBeCloseTo(number, precision)",Approximation Matchers,https://jestjs.io/docs/expect#tobeclosetonumber-numdigits,https://youtube.com/results?search_query=jest+tobecloseto,https://youtube.com/results?search_query=jest+tobecloseto+hindi,https://youtube.com/results?search_query=jest+tobecloseto+kannada,https://youtube.com/results?search_query=jest+tobecloseto+tamil,https://youtube.com/results?search_query=jest+tobecloseto+telugu
Jest,Basic,What matcher checks if a value is less than another?,Matchers,Numbers,Comparison,Assertions,A,expect(value).toBeLessThan(threshold),Comparison Matchers,https://jestjs.io/docs/expect#tobelessthannumber,https://youtube.com/results?search_query=jest+tobelessthan,https://youtube.com/results?search_query=jest+tobelessthan+hindi,https://youtube.com/results?search_query=jest+tobelessthan+kannada,https://youtube.com/results?search_query=jest+tobelessthan+tamil,https://youtube.com/results?search_query=jest+tobelessthan+telugu
Jest,Basic,How do you test if an array has a specific length?,Matchers,Arrays,Length,Size,A,expect(array).toHaveLength(n),Array Size Matchers,https://jestjs.io/docs/expect#tohavelengthnumber,https://youtube.com/results?search_query=jest+tohavelength,https://youtube.com/results?search_query=jest+tohavelength+hindi,https://youtube.com/results?search_query=jest+tohavelength+kannada,https://youtube.com/results?search_query=jest+tohavelength+tamil,https://youtube.com/results?search_query=jest+tohavelength+telugu
Jest,Basic,What matcher checks if an object contains specific properties?,Matchers,Objects,Partial matching,Assertions,A,expect(object).toMatchObject({prop: value}),Object Matching,https://jestjs.io/docs/expect#tomatchobjectobject,https://youtube.com/results?search_query=jest+tomatchobject,https://youtube.com/results?search_query=jest+tomatchobject+hindi,https://youtube.com/results?search_query=jest+tomatchobject+kannada,https://youtube.com/results?search_query=jest+tomatchobject+tamil,https://youtube.com/results?search_query=jest+tomatchobject+telugu
Jest,Basic,How do you test the opposite of a matcher?,Matchers,Negation,Inverse,Assertions,A,expect(value).not.toBe(expected),Negation,https://jestjs.io/docs/expect#not,https://youtube.com/results?search_query=jest+not+matcher,https://youtube.com/results?search_query=jest+not+matcher+hindi,https://youtube.com/results?search_query=jest+not+matcher+kannada,https://youtube.com/results?search_query=jest+not+matcher+tamil,https://youtube.com/results?search_query=jest+not+matcher+telugu
Jest,Basic,What matcher checks if a value is defined (not undefined)?,Matchers,Defined,Existence,Assertions,A,expect(value).toBeDefined(),Defined Matchers,https://jestjs.io/docs/expect#tobedefined,https://youtube.com/results?search_query=jest+tobedefined,https://youtube.com/results?search_query=jest+tobedefined+hindi,https://youtube.com/results?search_query=jest+tobedefined+kannada,https://youtube.com/results?search_query=jest+tobedefined+tamil,https://youtube.com/results?search_query=jest+tobedefined+telugu
Jest,Basic,How do you test if a string contains a substring?,Matchers,String,Containment,Assertions,A,expect(string).toContain(substring),String Containment,https://jestjs.io/docs/expect#tocontainitem,https://youtube.com/results?search_query=jest+string+contain,https://youtube.com/results?search_query=jest+string+contain+hindi,https://youtube.com/results?search_query=jest+string+contain+kannada,https://youtube.com/results?search_query=jest+string+contain+tamil,https://youtube.com/results?search_query=jest+string+contain+telugu
Jest,Basic,What matcher checks if an array is empty?,Matchers,Arrays,Empty,Size,A,expect(array).toHaveLength(0) or expect(array).toEqual([]),Empty Arrays,https://jestjs.io/docs/expect#tohavelengthnumber,https://youtube.com/results?search_query=jest+test+empty+array,https://youtube.com/results?search_query=jest+test+empty+array+hindi,https://youtube.com/results?search_query=jest+test+empty+array+kannada,https://youtube.com/results?search_query=jest+test+empty+array+tamil,https://youtube.com/results?search_query=jest+test+empty+array+telugu
Jest,Basic,How do you test if an object is empty?,Matchers,Objects,Empty,Properties,A,expect(Object.keys(object)).toHaveLength(0),Empty Objects,https://jestjs.io/docs/expect#tohavelengthnumber,https://youtube.com/results?search_query=jest+test+empty+object,https://youtube.com/results?search_query=jest+test+empty+object+hindi,https://youtube.com/results?search_query=jest+test+empty+object+kannada,https://youtube.com/results?search_query=jest+test+empty+object+tamil,https://youtube.com/results?search_query=jest+test+empty+object+telugu
