skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
React.js,Advanced,What is the Context API and when should it replace Redux?,State Management,Context API,Redux,Context API provides a way to pass data through component tree without prop drilling. Replace Redux for simple global state needs, but Redux is better for complex state logic, middleware, and dev tools.,https://react.dev/reference/react/useContext,https://youtube.com/results?search_query=react+context+api+vs+redux,https://youtube.com/results?search_query=react+context+api+vs+redux+hindi,https://youtube.com/results?search_query=react+context+api+vs+redux+kannada,https://youtube.com/results?search_query=react+context+api+vs+redux+tamil,https://youtube.com/results?search_query=react+context+api+vs+redux+telugu
React.js,Advanced,What are React Portals and their use cases?,Advanced Features,Portals,DOM Manipulation,Portals render children into a DOM node outside parent hierarchy. Use cases: modals, tooltips, dropdowns, global notification systems that need to break out of container CSS.,https://react.dev/reference/react-dom/createPortal,https://youtube.com/results?search_query=react+portals+advanced,https://youtube.com/results?search_query=react+portals+advanced+hindi,https://youtube.com/results?search_query=react+portals+advanced+kannada,https://youtube.com/results?search_query=react+portals+advanced+tamil,https://youtube.com/results?search_query=react+portals+advanced+telugu
React.js,Advanced,What are Higher-Order Components (HOCs) and their limitations?,Patterns,HOCs,Composition,HOCs are functions that take a component and return enhanced component. Limitations: prop collisions, static composition (hard to debug), wrapper hell, and they don't work well with hooks.,https://legacy.reactjs.org/docs/higher-order-components.html,https://youtube.com/results?search_query=react+higher+order+components,https://youtube.com/results?search_query=react+higher+order+components+hindi,https://youtube.com/results?search_query=react+higher+order+components+kannada,https://youtube.com/results?search_query=react+higher+order+components+tamil,https://youtube.com/results?search_query=react+higher+order+components+telugu
React.js,Advanced,How to implement drag and drop in React?,Advanced Features,Drag and Drop,Interactivity,Use HTML5 Drag and Drop API with React events (onDragStart, onDragOver, onDrop), or libraries like react-dnd or react-beautiful-dnd for complex scenarios.,https://react.dev/reference/react-dom/components/common#dragevent-handler,https://youtube.com/results?search_query=react+drag+and+drop,https://youtube.com/results?search_query=react+drag+and+drop+hindi,https://youtube.com/results?search_query=react+drag+and+drop+kannada,https://youtube.com/results?search_query=react+drag+and+drop+tamil,https://youtube.com/results?search_query=react+drag+and+drop+telugu
React.js,Advanced,What is React Server Components and how do they differ?,Advanced Features,Server Components,Rendering,React Server Components render on server, send minimal JavaScript to client. They can directly access server-side data, reduce bundle size, and improve performance compared to traditional SSR.,https://react.dev/blog/2020/12/21/data-fetching-with-react-server-components,https://youtube.com/results?search_query=react+server+components,https://youtube.com/results?search_query=react+server+components+hindi,https://youtube.com/results?search_query=react+server+components+kannada,https://youtube.com/results?search_query=react+server+components+tamil,https://youtube.com/results?search_query=react+server+components+telugu
React.js,Advanced,How to implement authentication flow in React?,Security,Authentication,JWT,Use context/provider for auth state, intercept API calls with axios interceptors," store tokens securely (httpOnly cookies preferred), handle token refresh", and protect routes.,https://react.dev/learn/passing-data-deeply-with-context,https://youtube.com/results?search_query=react+authentication+flow,https://youtube.com/results?search_query=react+authentication+flow+hindi,https://youtube.com/results?search_query=react+authentication+flow+kannada,https://youtube.com/results?search_query=react+authentication+flow+tamil,https://youtube.com/results?search_query=react+authentication+flow+telugu
React.js,Advanced,How to implement React application with TypeScript?,Type Safety,TypeScript,Integration,Use create-react-app with TypeScript template, define props/interfaces, use generics for hooks (useState<Type>), and configure tsconfig.json for strict type checking.,https://create-react-app.dev/docs/adding-typescript/,https://youtube.com/results?search_query=react+typescript+advanced,https://youtube.com/results?search_query=react+typescript+advanced+hindi,https://youtube.com/results?search_query=react+typescript+advanced+kannada,https://youtube.com/results?search_query=react+typescript+advanced+tamil,https://youtube.com/results?search_query=react+typescript+advanced+telugu
React.js,Advanced,What are React's new features in version 18?,Advanced Features,React 18,Updates,React 18 features: Concurrent Mode (createRoot), Automatic Batching," Transitions (startTransition), Suspense for SSR, new hooks (useId, useTransition", useDeferredValue).,https://react.dev/blog/2022/03/29/react-v18,https://youtube.com/results?search_query=react+18+new+features,https://youtube.com/results?search_query=react+18+new+features+hindi,https://youtube.com/results?search_query=react+18+new+features+kannada,https://youtube.com/results?search_query=react+18+new+features+tamil,https://youtube.com/results?search_query=react+18+new+features+telugu
React.js,Advanced,How to implement React with GraphQL?,Data Fetching,GraphQL,Apollo,Use Apollo Client or Relay. Apollo provides useQuery, useMutation hooks, cache management, and optimistic UI. Relay is Facebook's official GraphQL client with compile-time optimizations.,https://www.apollographql.com/docs/react/,https://youtube.com/results?search_query=react+graphql+apollo,https://youtube.com/results?search_query=react+graphql+apollo+hindi,https://youtube.com/results?search_query=react+graphql+apollo+kannada,https://youtube.com/results?search_query=react+graphql+apollo+tamil,https://youtube.com/results?search_query=react+graphql+apollo+telugu
React.js,Advanced,How to implement custom hooks for API calls?,Custom Hooks,API,Data Fetching,Create custom hook using useState for data/loading/error, useEffect for fetching," with cleanup. Add parameters for URL, options", and dependency array for refetching.,https://react.dev/learn/reusing-logic-with-custom-hooks,https://youtube.com/results?search_query=react+custom+hooks+api,https://youtube.com/results?search_query=react+custom+hooks+api+hindi,https://youtube.com/results?search_query=react+custom+hooks+api+kannada,https://youtube.com/results?search_query=react+custom+hooks+api+tamil,https://youtube.com/results?search_query=react+custom+hooks+api+telugu
