skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
React Native,Advanced,What is the architecture difference between React Native and Flutter?,Architecture,Comparison,Flutter,React Native uses JavaScript bridge for communication between JS and native threads, while Flutter uses Skia rendering engine and compiles to native ARM code. React Native has separate threads for UI, Native Modules, and JavaScript.,https://reactnative.dev/docs/next/architecture-overview,https://youtube.com/results?search_query=react+native+vs+flutter+architecture,https://youtube.com/results?search_query=react+native+vs+flutter+architecture+hindi,https://youtube.com/results?search_query=react+native+vs+flutter+architecture+kannada,https://youtube.com/results?search_query=react+native+vs+flutter+architecture+tamil,https://youtube.com/results?search_query=react+native+vs+flutter+architecture+telugu
React Native,Advanced,When should you use Native Modules versus JavaScript implementations?,Architecture,Native Modules,Performance,Use Native Modules when you need platform-specific APIs, performance-critical operations," or hardware access. Use JavaScript for business logic, UI components that don't require native features", and cross-platform compatibility.,https://reactnative.dev/docs/native-modules-intro,https://youtube.com/results?search_query=react+native+native+modules+vs+javascript,https://youtube.com/results?search_query=react+native+native+modules+vs+javascript+hindi,https://youtube.com/results?search_query=react+native+native+modules+vs+javascript+kannada,https://youtube.com/results?search_query=react+native+native+modules+vs+javascript+tamil,https://youtube.com/results?search_query=react+native+native+modules+vs+javascript+telugu
React Native,Advanced,Why is Fabric the new rendering system in React Native?,Architecture,Fabric,Rendering,Fabric is the new concurrent rendering system that enables synchronous rendering across threads, reduces UI thread blocking, improves scroll performance, and enables React Suspense for better UX.,https://reactnative.dev/docs/next/architecture-overview#fabric-renderer,https://youtube.com/results?search_query=react+native+fabric+renderer,https://youtube.com/results?search_query=react+native+fabric+renderer+hindi,https://youtube.com/results?search_query=react+native+fabric+renderer+kannada,https://youtube.com/results?search_query=react+native+fabric+renderer+tamil,https://youtube.com/results?search_query=react+native+fabric+renderer+telugu
React Native,Advanced,How to implement deep linking with navigation state persistence?,Navigation,Deep Linking,State Persistence,Use Linking API to handle URLs, integrate with React Navigation's linking config, persist navigation state with AsyncStorage or MMKV, and handle cold/warm app starts differently.,https://reactnavigation.org/docs/deep-linking,https://youtube.com/results?search_query=react+native+deep+linking+navigation,https://youtube.com/results?search_query=react+native+deep+linking+navigation+hindi,https://youtube.com/results?search_query=react+native+deep+linking+navigation+kannada,https://youtube.com/results?search_query=react+native+deep+linking+navigation+tamil,https://youtube.com/results?search_query=react+native+deep+linking+navigation+telugu
React Native,Advanced,What is CodePush and when should you use it versus app store updates?,Deployment,CodePush,OTA Updates,CodePush enables over-the-air updates for JavaScript bundles and assets. Use for bug fixes, UI changes," and minor updates. Use app store updates for native code changes, new permissions", or major feature releases.,https://docs.microsoft.com/en-us/appcenter/distribution/codepush/,https://youtube.com/results?search_query=react+native+codepush+vs+app+store,https://youtube.com/results?search_query=react+native+codepush+vs+app+store+hindi,https://youtube.com/results?search_query=react+native+codepush+vs+app+store+kannada,https://youtube.com/results?search_query=react+native+codepush+vs+app+store+tamil,https://youtube.com/results?search_query=react+native+codepush+vs+app+store+telugu
React Native,Advanced,What are the memory management considerations in React Native?,Performance,Memory Management,Leaks,Avoid memory leaks by cleaning up event listeners, clearing intervals/timeouts, unmounting components properly, and releasing native resources. Use Chrome DevTools or Flipper for memory profiling and leak detection.,https://reactnative.dev/docs/performance#profiling,https://youtube.com/results?search_query=react+native+memory+management,https://youtube.com/results?search_query=react+native+memory+management+hindi,https://youtube.com/results?search_query=react+native+memory+management+kannada,https://youtube.com/results?search_query=react+native+memory+management+tamil,https://youtube.com/results?search_query=react+native+memory+management+telugu
React Native,Advanced,How to implement offline-first architecture with conflict resolution?,Offline,Conflict Resolution,Synchronization,Use redux-offline, watermelondb," or realm with sync. Implement optimistic UI, queue operations locally, resolve conflicts with timestamps/version vectors", and handle merge strategies for data consistency.,https://github.com/redux-offline/redux-offline,https://youtube.com/results?search_query=react+native+offline+first+architecture,https://youtube.com/results?search_query=react+native+offline+first+architecture+hindi,https://youtube.com/results?search_query=react+native+offline+first+architecture+kannada,https://youtube.com/results?search_query=react+native+offline+first+architecture+tamil,https://youtube.com/results?search_query=react+native+offline+first+architecture+telugu
React Native,Advanced,What is the difference between Thread, UI, and JavaScript threads?,Architecture,Threads,Concurrency,UI Thread (Main Thread) handles native UI rendering. JavaScript Thread executes JavaScript code. Native Modules Thread handles native module operations. They communicate via the bridge, which can cause performance issues if not managed properly.,https://reactnative.dev/docs/next/architecture-overview#threading-model,https://youtube.com/results?search_query=react+native+threads+architecture,https://youtube.com/results?search_query=react+native+threads+architecture+hindi,https://youtube.com/results?search_query=react+native+threads+architecture+kannada,https://youtube.com/results?search_query=react+native+threads+architecture+tamil,https://youtube.com/results?search_query=react+native+threads+architecture+telugu
React Native,Advanced,How to implement custom animations with Reanimated 2?,Animations,Reanimated 2,Performance,Reanimated 2 uses worklets that run on UI thread, avoiding bridge communication. Use useSharedValue," useAnimatedStyle, withTiming", withSpring. Implement gesture handlers with react-native-gesture-handler.,https://docs.swmansion.com/react-native-reanimated/,https://youtube.com/results?search_query=react+native+reanimated+2,https://youtube.com/results?search_query=react+native+reanimated+2+hindi,https://youtube.com/results?search_query=react+native+reanimated+2+kannada,https://youtube.com/results?search_query=react+native+reanimated+2+tamil,https://youtube.com/results?search_query=react+native+reanimated+2+telugu
React Native,Advanced,What are the security best practices for React Native apps?,Security,Best Practices,Hardening,Use SSL pinning, encrypt sensitive data," secure storage (Keychain/Keystore), obfuscate code, validate inputs, implement certificate transparency", and regularly update dependencies to patch vulnerabilities.,https://reactnative.dev/docs/security,https://youtube.com/results?search_query=react+native+security+best+practices,https://youtube.com/results?search_query=react+native+security+best+practices+hindi,https://youtube.com/results?search_query=react+native+security+best+practices+kannada,https://youtube.com/results?search_query=react+native+security+best+practices+tamil,https://youtube.com/results?search_query=react+native+security+best+practices+telugu
React Native,Advanced,What is the New Architecture and how to migrate to it?,Architecture,New Architecture,Migration,New Architecture includes Fabric (new renderer), Turbo Modules (new native modules)," and Codegen (type safety). Migration involves updating native code, using new APIs", and ensuring third-party libraries support the new architecture.,https://reactnative.dev/docs/the-new-architecture/landing-page,https://youtube.com/results?search_query=react+native+new+architecture+migration,https://youtube.com/results?search_query=react+native+new+architecture+migration+hindi,https://youtube.com/results?search_query=react+native+new+architecture+migration+kannada,https://youtube.com/results?search_query=react+native+new+architecture+migration+tamil,https://youtube.com/results?search_query=react+native+new+architecture+migration+telugu
React Native,Advanced,How to implement real-time video streaming in React Native?,Multimedia,Video Streaming,Real-time,Use react-native-webrtc for peer-to-peer video, react-native-video for playback," and custom native modules for RTMP/HLS streaming. Handle background audio, picture-in-picture", and DRM for protected content.,https://github.com/react-native-webrtc/react-native-webrtc,https://youtube.com/results?search_query=react+native+video+streaming,https://youtube.com/results?search_query=react+native+video+streaming+hindi,https://youtube.com/results?search_query=react+native+video+streaming+kannada,https://youtube.com/results?search_query=react+native+video+streaming+tamil,https://youtube.com/results?search_query=react+native+video+streaming+telugu
React Native,Advanced,What are the debugging tools and techniques for production issues?,Debugging,Production,Monitoring,Use Sentry for error tracking, Flipper for debugging," Reactotron for state inspection, and custom logging with log levels. Implement crash analytics, performance monitoring", and user session replay for production debugging.,https://reactnative.dev/docs/debugging,https://youtube.com/results?search_query=react+native+production+debugging,https://youtube.com/results?search_query=react+native+production+debugging+hindi,https://youtube.com/results?search_query=react+native+production+debugging+kannada,https://youtube.com/results?search_query=react+native+production+debugging+tamil,https://youtube.com/results?search_query=react+native+production+debugging+telugu
React Native,Advanced,How to implement push notifications with deep linking and rich content?,Notifications,Push Notifications,Deep Linking,Use Firebase Cloud Messaging (FCM) for Android and APNs for iOS. Handle foreground/background states, create notification channels," add actions, support rich media", and implement deep linking to specific app screens.,https://github.com/react-native-push-notification-ios/push-notification-ios,https://youtube.com/results?search_query=react+native+push+notifications+deep+linking,https://youtube.com/results?search_query=react+native+push+notifications+deep+linking+hindi,https://youtube.com/results?search_query=react+native+push+notifications+deep+linking+kannada,https://youtube.com/results?search_query=react+native+push+notifications+deep+linking+tamil,https://youtube.com/results?search_query=react+native+push+notifications+deep+linking+telugu
React Native,Advanced,What is the difference between Metro and other bundlers?,Tooling,Metro,Bundling,Metro is React Native's default bundler optimized for mobile with fast incremental builds, Hermes integration, and platform-specific bundling. Unlike Webpack, it's specifically designed for React Native's needs and doesn't support all web bundler features.,https://facebook.github.io/metro/,https://youtube.com/results?search_query=react+native+metro+bundler,https://youtube.com/results?search_query=react+native+metro+bundler+hindi,https://youtube.com/results?search_query=react+native+metro+bundler+kannada,https://youtube.com/results?search_query=react+native+metro+bundler+tamil,https://youtube.com/results?search_query=react+native+metro+bundler+telugu
