skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Angular,Basic,"What is Angular?","A JavaScript library for building user interfaces","A TypeScript-based web application framework","A back-end runtime environment","A CSS preprocessor",B,"Angular is a platform and framework for building single-page client applications using HTML and TypeScript.",https://angular.io/docs,https://youtube.com/results?search_query=angular+basics,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
Angular,Basic,"Which decorator is used to define a component in Angular?","@NgModule","@Component","@Injectable","@Pipe",B,"@Component decorator associates metadata with the component class, such as template, styles, and selector.",https://angular.io/api/core/Component,https://youtube.com/results?search_query=angular+components,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
Angular,Basic,"In Angular, what does the selector property in @Component define?","The HTML template for the component","The CSS styles for the component","The custom HTML tag for the component","The dependencies to be injected",C,"The selector is a CSS selector that tells Angular to create and insert an instance of this component where it finds a matching tag in the HTML.",https://angular.io/api/core/Directive#selector,https://youtube.com/results?search_query=angular+components,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
Angular,Basic,"Which symbol is used for interpolation in Angular templates?","{{ }}","[ ]","( )","* ",A,"Interpolation uses double curly braces to embed dynamic values from the component into the template.",https://angular.io/guide/interpolation,https://youtube.com/results?search_query=angular+data+binding,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
Angular,Basic,"What is property binding in Angular?","Binding a method to a button click","Binding a component property to an element's property using [ ]","Binding data from template to component using ( )","Binding a class to a condition",B,"Property binding sets an element's property to a component's property value using square brackets.",https://angular.io/guide/property-binding,https://youtube.com/results?search_query=angular+data+binding,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
Angular,Basic,"How do you bind an event like a button click in Angular?","{{ click() }}","[click]=""handleClick()""","(click)=""handleClick()""","*click=""handleClick()""",C,"Event binding uses parentheses around the event name to listen to events and call a method.",https://angular.io/guide/event-binding,https://youtube.com/results?search_query=angular+event+binding,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
Angular,Basic,"Which directive is used for two-way data binding in Angular forms?","ngModel","ngIf","ngFor","ngClass",A,"ngModel with [()] syntax (banana in a box) provides two-way binding between a form element and a component property.",https://angular.io/api/forms/NgModel,https://youtube.com/results?search_query=angular+two+way+binding,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
Angular,Basic,"What is the purpose of the *ngIf directive?","To loop over a list","To conditionally include a template","To add CSS classes","To bind properties",B,"*ngIf conditionally adds or removes an element from the DOM based on a boolean expression.",https://angular.io/api/common/NgIf,https://youtube.com/results?search_query=angular+directives,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
Angular,Basic,"Which directive is used to render a list of items in Angular?","ngIf","ngSwitch","ngFor","ngClass",C,"*ngFor repeats a template for each item in an iterable list.",https://angular.io/api/common/NgFor,https://youtube.com/results?search_query=angular+directives,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
Angular,Basic,"What is a service in Angular?","A class that manages a template","A class with specific business logic, data, or functionality that can be shared across components","A decorator for components","A module that imports other modules",B,"Services are singleton objects that provide functionality like data fetching, logging, or business logic to components.",https://angular.io/guide/architecture-services,https://youtube.com/results?search_query=angular+services,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
Angular,Basic,"How is a service typically made available for dependency injection in Angular?","By importing it directly into a component","By providing it in a module's providers array or component's providers array","By declaring it in the declarations array","By adding it to the bootstrap array",B,"A service must be registered with a provider, usually at the module level (root) or component level, to be injectable.",https://angular.io/guide/providers,https://youtube.com/results?search_query=angular+dependency+injection,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
Angular,Basic,"What is the purpose of an Angular module (NgModule)?","To define a component's template","To organize the application into cohesive blocks of functionality","To handle HTTP requests","To format data",B,"An NgModule declares components, directives, pipes, and services that belong together, and imports other modules.",https://angular.io/guide/ngmodules,https://youtube.com/results?search_query=angular+modules,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
Angular,Basic,"Which property in @NgModule lists the components, directives, and pipes that belong to this module?","imports","exports","declarations","providers",C,"The declarations array tells Angular which components, directives, and pipes are part of the module.",https://angular.io/api/core/NgModule#declarations,https://youtube.com/results?search_query=angular+modules,https://youtube.com/results?search_query=angular+hindi,https://youtube.com/results?search_query=angular+kannada,https://youtube.com/results?search_query=angular+tamil,https://youtube.com/results?search_query=angular+telugu
