skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Cypress,Basic,How do you scroll the page to specific coordinates?,Scrolling,Coordinates,Page navigation,A,cy.scrollTo(0,500),Scrolling,https://docs.cypress.io/api/commands/scrollto,https://youtube.com/results?search_query=cypress+scrollto,https://youtube.com/results?search_query=cypress+scrollto+hindi,https://youtube.com/results?search_query=cypress+scrollto+kannada,https://youtube.com/results?search_query=cypress+scrollto+tamil,https://youtube.com/results?search_query=cypress+scrollto+telugu
Cypress,Basic,How do you assert an element has specific CSS properties?,CSS styles,Style validation,Visual testing,A,cy.get('element').should('have.css',"'color', 'rgb(255, 0, 0)')",Assertions,https://docs.cypress.io/guides/references/assertions,https://youtube.com/results?search_query=cypress+css+assertion,https://youtube.com/results?search_query=cypress+css+assertion+hindi,https://youtube.com/results?search_query=cypress+css+assertion+kannada,https://youtube.com/results?search_query=cypress+css+assertion+tamil,https://youtube.com/results?search_query=cypress+css+assertion+telugu
Cypress,Basic,How do you check if an element has children?,Child elements,Nested content,Structure validation,A,cy.get('element').children().should('have.length.gt',0),Assertions,https://docs.cypress.io/api/commands/children,https://youtube.com/results?search_query=cypress+children+elements,https://youtube.com/results?search_query=cypress+children+elements+hindi,https://youtube.com/results?search_query=cypress+children+elements+kannada,https://youtube.com/results?search_query=cypress+children+elements+tamil,https://youtube.com/results?search_query=cypress+children+elements+telugu
Cypress,Basic,What is the command to check element count?,Element count,Length verification,List validation,A,cy.get('li').should('have.length',5),Assertions,https://docs.cypress.io/guides/references/assertions,https://youtube.com/results?search_query=cypress+length+assertion,https://youtube.com/results?search_query=cypress+length+assertion+hindi,https://youtube.com/results?search_query=cypress+length+assertion+kannada,https://youtube.com/results?search_query=cypress+length+assertion+tamil,https://youtube.com/results?search_query=cypress+length+assertion+telugu
Cypress,Basic,How do you set a cookie?,Cookies,Session management,Authentication,A,cy.setCookie('name','value'),Browser Storage,https://docs.cypress.io/api/commands/setcookie,https://youtube.com/results?search_query=cypress+set+cookie,https://youtube.com/results?search_query=cypress+set+cookie+hindi,https://youtube.com/results?search_query=cypress+set+cookie+kannada,https://youtube.com/results?search_query=cypress+set+cookie+tamil,https://youtube.com/results?search_query=cypress+set+cookie+telugu
Cypress,Basic,How do you write to a file?,File writing,Output generation,Data export,A,cy.writeFile('path/to/file.txt','content'),File Operations,https://docs.cypress.io/api/commands/writefile,https://youtube.com/results?search_query=cypress+writefile,https://youtube.com/results?search_query=cypress+writefile+hindi,https://youtube.com/results?search_query=cypress+writefile+kannada,https://youtube.com/results?search_query=cypress+writefile+tamil,https://youtube.com/results?search_query=cypress+writefile+telugu
Cypress,Basic,How do you wait for an element to appear?,Async waiting,Element visibility,Dynamic content,A,cy.get('element',{ timeout: 10000 }).should('be.visible'),Timing,https://docs.cypress.io/guides/core-concepts/retry-ability,https://youtube.com/results?search_query=cypress+wait+for+element,https://youtube.com/results?search_query=cypress+wait+for+element+hindi,https://youtube.com/results?search_query=cypress+wait+for+element+kannada,https://youtube.com/results?search_query=cypress+wait+for+element+tamil,https://youtube.com/results?search_query=cypress+wait+for+element+telugu
Cypress,Basic,What is the command to wait for page load?,Page loading,Network requests,Initialization,A,cy.visit('url',{ timeout: 30000 }) // default timeout is 30s,Navigation,https://docs.cypress.io/api/commands/visit,https://youtube.com/results?search_query=cypress+page+load,https://youtube.com/results?search_query=cypress+page+load+hindi,https://youtube.com/results?search_query=cypress+page+load+kannada,https://youtube.com/results?search_query=cypress+page+load+tamil,https://youtube.com/results?search_query=cypress+page+load+telugu
Cypress,Basic,How do you handle alerts and confirm dialogs?,Alerts,Confirm dialogs,Modal windows,A,Use cy.on('window:alert',"callback) or cy.on('window:confirm', callback)",Alert Testing,https://docs.cypress.io/api/events/catalog-of-events,https://youtube.com/results?search_query=cypress+alert+testing,https://youtube.com/results?search_query=cypress+alert+testing+hindi,https://youtube.com/results?search_query=cypress+alert+testing+kannada,https://youtube.com/results?search_query=cypress+alert+testing+tamil,https://youtube.com/results?search_query=cypress+alert+testing+telugu
Cypress,Basic,How do you test element's width and height dimensions?,Dimensions,CSS properties,Size validation,A,cy.get('element').should('have.css',"'width', '100px') and cy.get('element').should('have.css', 'height', '50px')",Assertions,https://docs.cypress.io/guides/references/assertions,https://youtube.com/results?search_query=cypress+element+dimensions,https://youtube.com/results?search_query=cypress+element+dimensions+hindi,https://youtube.com/results?search_query=cypress+element+dimensions+kannada,https://youtube.com/results?search_query=cypress+element+dimensions+tamil,https://youtube.com/results?search_query=cypress+element+dimensions+telugu
Cypress,Basic,What is the command to test element's position?,Position,CSS positioning,Location validation,A,cy.get('element').should('have.css',"'position', 'absolute') and check top/left values",Assertions,https://docs.cypress.io/guides/references/assertions,https://youtube.com/results?search_query=cypress+element+position,https://youtube.com/results?search_query=cypress+element+position+hindi,https://youtube.com/results?search_query=cypress+element+position+kannada,https://youtube.com/results?search_query=cypress+element+position+tamil,https://youtube.com/results?search_query=cypress+element+position+telugu
Cypress,Basic,How do you test element's background color?,Background color,CSS styles,Visual validation,A,cy.get('element').should('have.css',"'background-color', 'rgb(255, 0, 0)')",Assertions,https://docs.cypress.io/guides/references/assertions,https://youtube.com/results?search_query=cypress+background+color,https://youtube.com/results?search_query=cypress+background+color+hindi,https://youtube.com/results?search_query=cypress+background+color+kannada,https://youtube.com/results?search_query=cypress+background+color+tamil,https://youtube.com/results?search_query=cypress+background+color+telugu
Cypress,Basic,What is the command to test element's font size?,Font size,Typography,CSS validation,A,cy.get('element').should('have.css',"'font-size', '16px')",Assertions,https://docs.cypress.io/guides/references/assertions,https://youtube.com/results?search_query=cypress+font+size,https://youtube.com/results?search_query=cypress+font+size+hindi,https://youtube.com/results?search_query=cypress+font+size+kannada,https://youtube.com/results?search_query=cypress+font+size+tamil,https://youtube.com/results?search_query=cypress+font+size+telugu
Cypress,Basic,How do you test element's border properties?,Borders,CSS borders,Style validation,A,cy.get('element').should('have.css',"'border', '1px solid rgb(0, 0, 0)')",Assertions,https://docs.cypress.io/guides/references/assertions,https://youtube.com/results?search_query=cypress+border+testing,https://youtube.com/results?search_query=cypress+border+testing+hindi,https://youtube.com/results?search_query=cypress+border+testing+kannada,https://youtube.com/results?search_query=cypress+border+testing+tamil,https://youtube.com/results?search_query=cypress+border+testing+telugu
