skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
GLSL,Intermediate,How do you implement Phong lighting model in GLSL?,Lighting models,Phong shading,Surface illumination,Realistic lighting,A,"Calculate ambient + diffuse + specular components using light position, surface normal, and viewer direction.",Lighting,https://learnopengl.com/Lighting/Basic-Lighting,https://youtube.com/results?search_query=glsl+phong+lighting,https://youtube.com/results?search_query=glsl+phong+lighting+hindi,https://youtube.com/results?search_query=glsl+phong+lighting+kannada,https://youtube.com/results?search_query=glsl+phong+lighting+tamil,https://youtube.com/results?search_query=glsl+phong+lighting+telugu
GLSL,Intermediate,What's the purpose of the gl_FragCoord variable in fragment shaders?,Fragment position,Screen coordinates,Pixel location,Rendering context,A,"gl_FragCoord contains window-relative coordinates (x,y) and depth of current fragment for screen-space effects.",Built-in Variables,https://www.khronos.org/registry/OpenGL-Refpages/gl4/html/gl_FragCoord.xhtml,https://youtube.com/results?search_query=glsl+gl_FragCoord,https://youtube.com/results?search_query=glsl+gl_FragCoord+hindi,https://youtube.com/results?search_query=glsl+gl_FragCoord+kannada,https://youtube.com/results?search_query=glsl+gl_FragCoord+tamil,https://youtube.com/results?search_query=glsl+gl_FragCoord+telugu
GLSL,Intermediate,How do you implement normal mapping in GLSL?,Surface detail,Normal perturbation,Texture-based normals,Bump mapping,A,"Sample normal from texture, transform from tangent to world space, use for lighting calculations.",Texturing,https://learnopengl.com/Advanced-Lighting/Normal-Mapping,https://youtube.com/results?search_query=glsl+normal+mapping,https://youtube.com/results?search_query=glsl+normal+mapping+hindi,https://youtube.com/results?search_query=glsl+normal+mapping+kannada,https://youtube.com/results?search_query=glsl+normal+mapping+tamil,https://youtube.com/results?search_query=glsl+normal+mapping+telugu
GLSL,Intermediate,What's the difference between discard and return in fragment shaders?,Fragment rejection,Early termination,Pixel elimination,Shader flow,A,discard completely discards fragment (no writing); return exits function but fragment may still be written.,Fragment Control,https://www.khronos.org/opengl/wiki/Fragment_Shader#Special_operations,https://youtube.com/results?search_query=glsl+discard+return,https://youtube.com/results?search_query=glsl+discard+return+hindi,https://youtube.com/results?search_query=glsl+discard+return+kannada,https://youtube.com/results?search_query=glsl+discard+return+tamil,https://youtube.com/results?search_query=glsl+discard+return+telugu
GLSL,Intermediate,How do you implement environment mapping/cubemap reflection?,Reflections,Cubemap sampling,Environment capture,Realistic materials,A,Sample cubemap texture using reflection vector calculated from surface normal and view direction.,Cubemaps,https://learnopengl.com/Advanced-OpenGL/Cubemaps,https://youtube.com/results?search_query=glsl+environment+mapping,https://youtube.com/results?search_query=glsl+environment+mapping+hindi,https://youtube.com/results?search_query=glsl+environment+mapping+kannada,https://youtube.com/results?search_query=glsl+environment+mapping+tamil,https://youtube.com/results?search_query=glsl+environment+mapping+telugu
GLSL,Intermediate,What's the purpose of the gl_Position variable in vertex shaders?,Vertex transformation,Clip space output,Projection result,GPU output,A,gl_Position must be written with clip-space position for vertex; used by fixed-function rasterization.,Vertex Output,https://www.khronos.org/registry/OpenGL-Refpages/gl4/html/gl_Position.xhtml,https://youtube.com/results?search_query=glsl+gl_Position,https://youtube.com/results?search_query=glsl+gl_Position+hindi,https://youtube.com/results?search_query=glsl+gl_Position+kannada,https://youtube.com/results?search_query=glsl+gl_Position+tamil,https://youtube.com/results?search_query=glsl+gl_Position+telugu
GLSL,Intermediate,How do you implement shadow mapping in GLSL?,Shadows,Depth testing,Light perspective,Shadow calculation,A,"Render depth from light's view, compare fragment depth to shadow map depth with bias to avoid shadow acne.",Shadows,https://learnopengl.com/Advanced-Lighting/Shadows/Shadow-Mapping,https://youtube.com/results?search_query=glsl+shadow+mapping,https://youtube.com/results?search_query=glsl+shadow+mapping+hindi,https://youtube.com/results?search_query=glsl+shadow+mapping+kannada,https://youtube.com/results?search_query=glsl+shadow+mapping+tamil,https://youtube.com/results?search_query=glsl+shadow+mapping+telugu
GLSL,Intermediate,What's the difference between smooth, flat, and noperspective interpolation qualifiers?,Varying interpolation,Rasterization behavior,Perspective correction,"Fragment input,A,smooth: perspective-correct, flat: no interpolation, noperspective: linear without perspective correction.",Interpolation,https://www.khronos.org/opengl/wiki/Type_Qualifier_(GLSL)#Interpolation_qualifiers,https://youtube.com/results?search_query=glsl+interpolation+qualifiers,https://youtube.com/results?search_query=glsl+interpolation+qualifiers+hindi,https://youtube.com/results?search_query=glsl+interpolation+qualifiers+kannada,https://youtube.com/results?search_query=glsl+interpolation+qualifiers+tamil,https://youtube.com/results?search_query=glsl+interpolation+qualifiers+telugu
GLSL,Intermediate,How do you implement Gaussian blur in GLSL?,Image processing,Blur effects,Convolution filters,Post-processing,A,Apply two-pass separable Gaussian blur using weight samples from normal distribution in both directions.,Post-processing,https://learnopengl.com/Advanced-OpenGL/Framebuffers,https://youtube.com/results?search_query=glsl+gaussian+blur,https://youtube.com/results?search_query=glsl+gaussian+blur+hindi,https://youtube.com/results?search_query=glsl+gaussian+blur+kannada,https://youtube.com/results?search_query=glsl+gaussian+blur+tamil,https://youtube.com/results?search_query=glsl+gaussian+blur+telugu
GLSL,Intermediate,What's the purpose of the gl_FragDepth variable in fragment shaders?,Depth override,Custom depth,Depth manipulation,Z-buffer control,A,gl_FragDepth allows writing custom depth value instead of interpolated depth; enables advanced depth effects.,Depth Buffer,https://www.khronos.org/registry/OpenGL-Refpages/gl4/html/gl_FragDepth.xhtml,https://youtube.com/results?search_query=glsl+gl_FragDepth,https://youtube.com/results?search_query=glsl+gl_FragDepth+hindi,https://youtube.com/results?search_query=glsl+gl_FragDepth+kannada,https://youtube.com/results?search_query=glsl+gl_FragDepth+tamil,https://youtube.com/results?search_query=glsl+gl_FragDepth+telugu
GLSL,Intermediate,How do you implement screen-space ambient occlusion (SSAO)?,Ambient occlusion,Screen-space effects,Contact shadows,Global illumination,A,"Sample depth buffer around fragment, compare depths to estimate occlusion, blur results for smooth occlusion.",Screen-space Effects,https://learnopengl.com/Advanced-Lighting/SSAO,https://youtube.com/results?search_query=glsl+ssao,https://youtube.com/results?search_query=glsl+ssao+hindi,https://youtube.com/results?search_query=glsl+ssao+kannada,https://youtube.com/results?search_query=glsl+ssao+tamil,https://youtube.com/results?search_query=glsl+ssao+telugu
GLSL,Intermediate,What's the difference between texture() and texelFetch() functions?,Texture sampling,Coordinate types,Direct access,Filtered sampling,A,texture() uses normalized coordinates with filtering; texelFetch() uses integer coordinates without filtering.,Texture Functions,https://www.khronos.org/registry/OpenGL-Refpages/gl4/html/texture.xhtml,https://youtube.com/results?search_query=glsl+texture+texelfetch,https://youtube.com/results?search_query=glsl+texture+texelfetch+hindi,https://youtube.com/results?search_query=glsl+texture+texelfetch+kannada,https://youtube.com/results?search_query=glsl+texture+texelfetch+tamil,https://youtube.com/results?search_query=glsl+texture+texelfetch+telugu
GLSL,Intermediate,How do you implement parallax occlusion mapping?,Height mapping,Parallax effects,Surface displacement,Depth illusion,A,Ray march through height field using view direction to find intersection point for texture coordinate offset.,Parallax Mapping,https://learnopengl.com/Advanced-Lighting/Parallax-Mapping,https://youtube.com/results?search_query=glsl+parallax+occlusion,https://youtube.com/results?search_query=glsl+parallax+occlusion+hindi,https://youtube.com/results?search_query=glsl+parallax+occlusion+kannada,https://youtube.com/results?search_query=glsl+parallax+occlusion+tamil,https://youtube.com/results?search_query=glsl+parallax+occlusion+telugu
GLSL,Intermediate,What's the purpose of the gl_VertexID variable in vertex shaders?,Vertex identification,Index access,Draw call context,Array indexing,A,"gl_VertexID provides integer index of current vertex being processed, useful for procedural geometry.",Built-in Variables,https://www.khronos.org/registry/OpenGL-Refpages/gl4/html/gl_VertexID.xhtml,https://youtube.com/results?search_query=glsl+gl_VertexID,https://youtube.com/results?search_query=glsl+gl_VertexID+hindi,https://youtube.com/results?search_query=glsl+gl_VertexID+kannada,https://youtube.com/results?search_query=glsl+gl_VertexID+tamil,https://youtube.com/results?search_query=glsl+gl_VertexID+telugu
GLSL,Intermediate,How do you implement bloom effect in GLSL?,Glow effects,HDR rendering,Brightness extraction,Post-processing,A,"Extract bright areas, blur with Gaussian filter, combine with original image using additive blending.",Bloom,https://learnopengl.com/Advanced-Lighting/Bloom,https://youtube.com/results?search_query=glsl+bloom+effect,https://youtube.com/results?search_query=glsl+bloom+effect+hindi,https://youtube.com/results?search_query=glsl+bloom+effect+kannada,https://youtube.com/results?search_query=glsl+bloom+effect+tamil,https://youtube.com/results?search_query=glsl+bloom+effect+telugu
GLSL,Intermediate,What's the difference between mat2, mat2x2, and mat2x3 matrix types?,Matrix dimensions,Data layout,Memory organization,"Type specification,A,mat2 = mat2x2 (2x2), mat2x3 is 2-column, 3-row matrix - different dimensions for different transformations.",Data Types,https://www.khronos.org/opengl/wiki/Data_Type_(GLSL)#Matrices,https://youtube.com/results?search_query=glsl+matrix+types,https://youtube.com/results?search_query=glsl+matrix+types+hindi,https://youtube.com/results?search_query=glsl+matrix+types+kannada,https://youtube.com/results?search_query=glsl+matrix+types+tamil,https://youtube.com/results?search_query=glsl+matrix+types+telugu
