skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
DevTools,Intermediate,What's the difference between Elements and Computed tabs in Styles panel?,CSS inspection,Style debugging,Computed values,Applied styles,A,Elements shows applied CSS rules; Computed shows final computed values after all rules applied.,Elements,https://developer.chrome.com/docs/devtools/css/,https://youtube.com/results?search_query=devtools+elements+computed+tabs,https://youtube.com/results?search_query=devtools+elements+computed+tabs+hindi,https://youtube.com/results?search_query=devtools+elements+computed+tabs+kannada,https://youtube.com/results?search_query=devtools+elements+computed+tabs+tamil,https://youtube.com/results?search_query=devtools+elements+computed+tabs+telugu
DevTools,Intermediate,How do you inspect network requests for a specific file type?,Network filtering,File type filtering,Resource inspection,Request analysis,A,"Use filter input with file extension: .css, .js, .png or type:document,type:stylesheet",Network,https://developer.chrome.com/docs/devtools/network/,https://youtube.com/results?search_query=devtools+network+file+filter,https://youtube.com/results?search_query=devtools+network+file+filter+hindi,https://youtube.com/results?search_query=devtools+network+file+filter+kannada,https://youtube.com/results?search_query=devtools+network+file+filter+tamil,https://youtube.com/results?search_query=devtools+network+file+filter+telugu
DevTools,Intermediate,What's the purpose of the "Preserve log" checkbox in Network panel?,Log persistence,Page navigation,Request history,Multi-page debugging,A,Keeps network requests visible across page navigation for debugging multi-page flows.,Network,https://developer.chrome.com/docs/devtools/network/,https://youtube.com/results?search_query=devtools+preserve+log+network,https://youtube.com/results?search_query=devtools+preserve+log+network+hindi,https://youtube.com/results?search_query=devtools+preserve+log+network+kannada,https://youtube.com/results?search_query=devtools+preserve+log+network+tamil,https://youtube.com/results?search_query=devtools+preserve+log+network+telugu
DevTools,Intermediate,How do you emulate mobile devices in DevTools?,Device emulation,Responsive design,Mobile testing,Screen sizes,A,"Click Toggle Device Toolbar or Ctrl+Shift+M, select device preset or set custom dimensions.",Device Mode,https://developer.chrome.com/docs/devtools/device-mode/,https://youtube.com/results?search_query=devtools+mobile+emulation,https://youtube.com/results?search_query=devtools+mobile+emulation+hindi,https://youtube.com/results?search_query=devtools+mobile+emulation+kannada,https://youtube.com/results?search_query=devtools+mobile+emulation+tamil,https://youtube.com/results?search_query=devtools+mobile+emulation+telugu
DevTools,Intermediate,What's the difference between localStorage and sessionStorage in Application panel?,Web storage,Data persistence,Session management,Browser storage,A,localStorage persists across sessions; sessionStorage clears when tab closes.,Application,https://developer.chrome.com/docs/devtools/storage/,https://youtube.com/results?search_query=devtools+localstorage+sessionstorage,https://youtube.com/results?search_query=devtools+localstorage+sessionstorage+hindi,https://youtube.com/results?search_query=devtools+localstorage+sessionstorage+kannada,https://youtube.com/results?search_query=devtools+localstorage+sessionstorage+tamil,https://youtube.com/results?search_query=devtools+localstorage+sessionstorage+telugu
DevTools,Intermediate,How do you use breakpoints in the Sources panel for JavaScript debugging?,Debugging basics,Breakpoint setting,Code stepping,Execution pause,A,Click line numbers in Sources panel or right-click > Add breakpoint; use debug controls to step.,Sources,https://developer.chrome.com/docs/devtools/javascript/breakpoints/,https://youtube.com/results?search_query=devtools+breakpoints+debugging,https://youtube.com/results?search_query=devtools+breakpoints+debugging+hindi,https://youtube.com/results?search_query=devtools+breakpoints+debugging+kannada,https://youtube.com/results?search_query=devtools+breakpoints+debugging+tamil,https://youtube.com/results?search_query=devtools+breakpoints+debugging+telugu
DevTools,Intermediate,What's the purpose of the "Inspect" tool in Elements panel?,Element selection,DOM inspection,Page element picker,Visual selection,A,Click Inspect icon or Ctrl+Shift+C to select page elements and view their HTML/CSS.,Elements,https://developer.chrome.com/docs/devtools/css/,https://youtube.com/results?search_query=devtools+inspect+tool,https://youtube.com/results?search_query=devtools+inspect+tool+hindi,https://youtube.com/results?search_query=devtools+inspect+tool+kannada,https://youtube.com/results?search_query=devtools+inspect+tool+tamil,https://youtube.com/results?search_query=devtools+inspect+tool+telugu
DevTools,Intermediate,How do you edit HTML elements live in the Elements panel?,HTML editing,Live DOM editing,Content modification,Page editing,A,Double-click HTML text or right-click > Edit as HTML to modify elements directly.,Elements,https://developer.chrome.com/docs/devtools/dom/,https://youtube.com/results?search_query=devtools+edit+html+elements,https://youtube.com/results?search_query=devtools+edit+html+elements+hindi,https://youtube.com/results?search_query=devtools+edit+html+elements+kannada,https://youtube.com/results?search_query=devtools+edit+html+elements+tamil,https://youtube.com/results?search_query=devtools+edit+html+elements+telugu
DevTools,Intermediate,What's the difference between Network and Performance panels?,Performance analysis,Network monitoring,Resource loading,Runtime metrics,A,"Network shows resource loading; Performance shows runtime metrics like CPU, rendering.",Performance,https://developer.chrome.com/docs/devtools/network/,https://youtube.com/results?search_query=devtools+network+performance+difference,https://youtube.com/results?search_query=devtools+network+performance+difference+hindi,https://youtube.com/results?search_query=devtools+network+performance+difference+kannada,https://youtube.com/results?search_query=devtools+network+performance+difference+tamil,https://youtube.com/results?search_query=devtools+network+performance+difference+telugu
DevTools,Intermediate,How do you clear browser cache and cookies from DevTools?,Cache clearing,Cookie removal,Storage cleanup,Testing fresh state,A,"Right-click on refresh button > Empty cache and hard reload, or Application > Clear storage.",Application,https://developer.chrome.com/docs/devtools/storage/,https://youtube.com/results?search_query=devtools+clear+cache+cookies,https://youtube.com/results?search_query=devtools+clear+cache+cookies+hindi,https://youtube.com/results?search_query=devtools+clear+cache+cookies+kannada,https://youtube.com/results?search_query=devtools+clear+cache+cookies+tamil,https://youtube.com/results?search_query=devtools+clear+cache+cookies+telugu
